epiweek,Cases
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,2.0
2020-03-09,3.0
2020-03-10,4.0
2020-03-11,8.0
2020-03-12,11.0
2020-03-13,13.0
2020-03-14,20.0
2020-03-15,19.0
2020-03-16,29.0
2020-03-17,43.0
2020-03-18,44.0
2020-03-19,69.0
2020-03-20,78.0
2020-03-21,80.0
2020-03-22,82.0
2020-03-23,94.0
2020-03-24,140.0
2020-03-25,162.0
2020-03-26,159.0
2020-03-27,160.0
2020-03-28,166.0
2020-03-29,139.0
2020-03-30,194.0
2020-03-31,190.0
2020-04-01,196.0
2020-04-02,166.0
2020-04-03,187.0
2020-04-04,160.0
2020-04-05,101.0
2020-04-06,150.0
2020-04-07,157.0
2020-04-08,126.0
2020-04-09,142.0
2020-04-10,121.0
2020-04-11,249.0
2020-04-12,157.0
2020-04-13,188.0
2020-04-14,238.0
2020-04-15,168.0
2020-04-16,255.0
2020-04-17,178.0
2020-04-18,205.0
2020-04-19,221.0
2020-04-20,217.0
2020-04-21,220.0
2020-04-22,248.0
2020-04-23,303.0
2020-04-24,308.0
2020-04-25,304.0
2020-04-26,252.0
2020-04-27,407.0
2020-04-28,515.0
2020-04-29,380.0
2020-04-30,475.0
2020-05-01,467.0
2020-05-02,461.0
2020-05-03,397.0
2020-05-04,511.0
2020-05-05,789.0
2020-05-06,752.0
2020-05-07,775.0
2020-05-08,979.0
2020-05-09,742.0
2020-05-10,476.0
2020-05-11,731.0
2020-05-12,873.0
2020-05-13,847.0
2020-05-14,1060.0
2020-05-15,979.0
2020-05-16,910.0
2020-05-17,841.0
2020-05-18,1202.0
2020-05-19,1162.0
2020-05-20,1396.0
2020-05-21,1365.0
2020-05-22,1412.0
2020-05-23,1424.0
2020-05-24,907.0
2020-05-25,1179.0
2020-05-26,1518.0
2020-05-27,1364.0
2020-05-28,1414.0
2020-05-29,1409.0
2020-05-30,1301.0
2020-05-31,1051.0
2020-06-01,1743.0
2020-06-02,1649.0
2020-06-03,1895.0
2020-06-04,1785.0
2020-06-05,2021.0
2020-06-06,1804.0
2020-06-07,1467.0
2020-06-08,2537.0
2020-06-09,2434.0
2020-06-10,2793.0
2020-06-11,2956.0
2020-06-12,2956.0
2020-06-13,2478.0
2020-06-14,1664.0
2020-06-15,1888.0
2020-06-16,3720.0
2020-06-17,3992.0
2020-06-18,3933.0
2020-06-19,4019.0
2020-06-20,3484.0
2020-06-21,2616.0
2020-06-22,2948.0
2020-06-23,5058.0
2020-06-24,5102.0
2020-06-25,5186.0
2020-06-26,5595.0
2020-06-27,4679.0
2020-06-28,3579.0
2020-06-29,3830.0
2020-06-30,6025.0
2020-07-01,6281.0
2020-07-02,6281.0
2020-07-03,6941.0
2020-07-04,6388.0
2020-07-05,4658.0
2020-07-06,7370.0
2020-07-07,7086.0
2020-07-08,7897.0
2020-07-09,7154.0
2020-07-10,8191.0
2020-07-11,6673.0
2020-07-12,5394.0
2020-07-13,9536.0
2020-07-14,9184.0
2020-07-15,8715.0
2020-07-16,9475.0
2020-07-17,9779.0
2020-07-18,9529.0
2020-07-19,6364.0
2020-07-20,6932.0
2020-07-21,10447.0
2020-07-22,10384.0
2020-07-23,10493.0
2020-07-24,10499.0
2020-07-25,9404.0
2020-07-26,6838.0
2020-07-27,12145.0
2020-07-28,11840.0
2020-07-29,10867.0
2020-07-30,11046.0
2020-07-31,11585.0
2020-08-01,9484.0
2020-08-02,6506.0
2020-08-03,11093.0
2020-08-04,10647.0
2020-08-05,10330.0
