epiweek,Cases
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,4.0
2020-03-26,2.0
2020-03-27,3.0
2020-03-28,5.0
2020-03-29,1.0
2020-03-30,5.0
2020-03-31,5.0
2020-04-01,4.0
2020-04-02,7.0
2020-04-03,14.0
2020-04-04,16.0
2020-04-05,8.0
2020-04-06,12.0
2020-04-07,9.0
2020-04-08,5.0
2020-04-09,14.0
2020-04-10,5.0
2020-04-11,9.0
2020-04-12,12.0
2020-04-13,7.0
2020-04-14,11.0
2020-04-15,12.0
2020-04-16,16.0
2020-04-17,5.0
2020-04-18,13.0
2020-04-19,9.0
2020-04-20,10.0
2020-04-21,10.0
2020-04-22,9.0
2020-04-23,10.0
2020-04-24,15.0
2020-04-25,11.0
2020-04-26,18.0
2020-04-27,11.0
2020-04-28,13.0
2020-04-29,21.0
2020-04-30,26.0
2020-05-01,13.0
2020-05-02,21.0
2020-05-03,19.0
2020-05-04,21.0
2020-05-05,20.0
2020-05-06,25.0
2020-05-07,28.0
2020-05-08,22.0
2020-05-09,20.0
2020-05-10,19.0
2020-05-11,34.0
2020-05-12,13.0
2020-05-13,14.0
2020-05-14,23.0
2020-05-15,27.0
2020-05-16,20.0
2020-05-17,26.0
2020-05-18,28.0
2020-05-19,32.0
2020-05-20,32.0
2020-05-21,31.0
2020-05-22,46.0
2020-05-23,45.0
2020-05-24,42.0
2020-05-25,28.0
2020-05-26,52.0
2020-05-27,41.0
2020-05-28,44.0
2020-05-29,53.0
2020-05-30,54.0
2020-05-31,51.0
2020-06-01,55.0
2020-06-02,62.0
2020-06-03,87.0
2020-06-04,65.0
2020-06-05,80.0
2020-06-06,71.0
2020-06-07,78.0
2020-06-08,78.0
2020-06-09,84.0
2020-06-10,78.0
2020-06-11,84.0
2020-06-12,87.0
2020-06-13,86.0
2020-06-14,122.0
2020-06-15,107.0
2020-06-16,119.0
2020-06-17,117.0
2020-06-18,137.0
2020-06-19,119.0
2020-06-20,126.0
2020-06-21,150.0
2020-06-22,149.0
2020-06-23,145.0
2020-06-24,154.0
2020-06-25,151.0
2020-06-26,151.0
2020-06-27,154.0
2020-06-28,149.0
2020-06-29,165.0
2020-06-30,166.0
2020-07-01,162.0
2020-07-02,180.0
2020-07-03,193.0
2020-07-04,158.0
2020-07-05,185.0
2020-07-06,206.0
2020-07-07,228.0
2020-07-08,207.0
2020-07-09,224.0
2020-07-10,216.0
2020-07-11,228.0
2020-07-12,223.0
2020-07-13,268.0
2020-07-14,238.0
2020-07-15,258.0
2020-07-16,258.0
2020-07-17,304.0
2020-07-18,279.0
2020-07-19,268.0
2020-07-20,277.0
2020-07-21,338.0
2020-07-22,316.0
2020-07-23,322.0
2020-07-24,328.0
2020-07-25,304.0
2020-07-26,318.0
2020-07-27,340.0
2020-07-28,343.0
2020-07-29,353.0
2020-07-30,384.0
2020-07-31,359.0
2020-08-01,329.0
2020-08-02,326.0
2020-08-03,369.0
2020-08-04,325.0
2020-08-05,336.0
2020-08-06,345.0
2020-08-07,352.0
2020-08-08,383.0
2020-08-09,347.0
2020-08-10,328.0
2020-08-11,353.0
2020-08-12,301.0
2020-08-13,347.0
2020-08-14,301.0
2020-08-15,307.0
2020-08-16,306.0
2020-08-17,302.0
2020-08-18,323.0
2020-08-19,335.0
2020-08-20,300.0
2020-08-21,320.0
2020-08-22,279.0
2020-08-23,278.0
2020-08-24,296.0
2020-08-25,297.0
2020-08-26,267.0
2020-08-27,308.0
2020-08-28,293.0
2020-08-29,282.0
2020-08-30,225.0
2020-08-31,266.0
2020-09-01,261.0
2020-09-02,258.0
2020-09-03,248.0
2020-09-04,258.0
2020-09-05,243.0
2020-09-06,238.0
2020-09-07,245.0
2020-09-08,240.0
2020-09-09,216.0
2020-09-10,222.0
2020-09-11,229.0
2020-09-12,218.0
2020-09-13,212.0
2020-09-14,219.0
2020-09-15,206.0
2020-09-16,217.0
2020-09-17,221.0
2020-09-18,193.0
2020-09-19,220.0
2020-09-20,174.0
2020-09-21,233.0
2020-09-22,205.0
2020-09-23,197.0
2020-09-24,193.0
2020-09-25,188.0
2020-09-26,200.0
2020-09-27,200.0
2020-09-28,209.0
2020-09-29,199.0
2020-09-30,193.0
2020-10-01,209.0
2020-10-02,208.0
2020-10-03,180.0
2020-10-04,192.0
2020-10-05,187.0
2020-10-06,211.0
2020-10-07,174.0
2020-10-08,176.0
2020-10-09,181.0
2020-10-10,202.0
2020-10-11,212.0
2020-10-12,207.0
2020-10-13,212.0
2020-10-14,184.0
2020-10-15,202.0
2020-10-16,212.0
2020-10-17,202.0
2020-10-18,182.0
2020-10-19,207.0
2020-10-20,206.0
2020-10-21,207.0
2020-10-22,191.0
2020-10-23,240.0
2020-10-24,213.0
2020-10-25,210.0
2020-10-26,221.0
2020-10-27,220.0
2020-10-28,209.0
2020-10-29,235.0
2020-10-30,224.0
2020-10-31,201.0
2020-11-01,191.0
2020-11-02,219.0
2020-11-03,239.0
2020-11-04,252.0
2020-11-05,211.0
2020-11-06,212.0
2020-11-07,219.0
2020-11-08,189.0
2020-11-09,189.0
2020-11-10,205.0
2020-11-11,203.0
2020-11-12,227.0
2020-11-13,204.0
2020-11-14,210.0
2020-11-15,231.0
2020-11-16,221.0
2020-11-17,188.0
2020-11-18,215.0
2020-11-19,217.0
2020-11-20,213.0
2020-11-21,230.0
2020-11-22,224.0
2020-11-23,217.0
2020-11-24,232.0
2020-11-25,205.0
2020-11-26,232.0
2020-11-27,231.0
2020-11-28,219.0
2020-11-29,211.0
2020-11-30,200.0
2020-12-01,211.0
2020-12-02,217.0
2020-12-03,216.0
2020-12-04,202.0
2020-12-05,215.0
2020-12-06,217.0
2020-12-07,224.0
2020-12-08,218.0
2020-12-09,227.0
2020-12-10,220.0
2020-12-11,252.0
2020-12-12,224.0
2020-12-13,241.0
2020-12-14,220.0
2020-12-15,247.0
2020-12-16,267.0
2020-12-17,265.0
2020-12-18,278.0
2020-12-19,277.0
2020-12-20,284.0
2020-12-21,304.0
2020-12-22,287.0
2020-12-23,287.0
2020-12-24,301.0
2020-12-25,271.0
2020-12-26,313.0
2020-12-27,275.0
2020-12-28,309.0
2020-12-29,370.0
2020-12-30,343.0
2020-12-31,304.0
2021-01-01,377.0
2021-01-02,328.0
2021-01-03,304.0
2021-01-04,336.0
2021-01-05,352.0
2021-01-06,399.0
2021-01-07,428.0
2021-01-08,357.0
2021-01-09,407.0
2021-01-10,389.0
2021-01-11,427.0
2021-01-12,427.0
2021-01-13,447.0
2021-01-14,418.0
2021-01-15,441.0
