epiweek,Cases
202010,3.0
202011,41.0
202012,282.0
202013,797.0
202014,1072.0
202015,797.0
202016,1184.0
202017,1517.0
202018,2496.0
202019,4203.0
202020,4966.0
202021,7378.0
202022,7791.0
202023,10144.0
202024,15143.0
202025,19216.0
202026,26505.0
202027,32937.0
202028,42356.0
202029,52083.0
202030,55119.0
202031,64321.0
202032,58252.0
202033,56695.0
202034,51660.0
202035,53339.0
202036,46828.0
202037,43716.0
202038,41049.0
202039,40402.0
202040,47464.0
202041,47946.0
202042,42847.0
202043,63557.0
202044,54565.0
202045,42779.0
202046,47715.0
202047,43785.0
202048,50931.0
202049,52773.0
202050,64044.0
202051,76605.0
202052,75134.0
202053,80658.0
202101,114308.0
202102,100890.0
202103,81553.0
202104,49025.0
202105,31884.0
202106,26147.0
202107,22596.0
202108,22569.0
202109,22092.0
202110,26379.0
202111,41753.0
202112,53175.0
202113,62148.0
202114,97873.0
202115,108565.0
202116,110725.0
202117,98776.0
202118,94632.0
202119,112088.0
202120,121849.0
202121,147346.0
202122,167363.0
202123,167232.0
202124,179547.0
202125,178652.0
202126,147207.0
202127,103862.0
202128,88939.0
202129,53109.0
202130,41553.0
202131,26495.0
202132,20961.0
202133,13304.0
202134,11643.0
202135,8782.0
202136,8054.0
202137,8678.0
202138,8858.0
202139,7905.0
202140,7878.0
202141,8586.0
202142,8756.0
202143,10571.0
202144,11244.0
202145,15071.0
202146,13779.0
202147,12935.0
202148,12175.0
202149,11064.0
202150,14533.0
202151,36181.0
202152,110055.0
202201,212643.0
202202,155214.0
202203,122765.0
202204,95909.0
202205,53054.0
202206,26916.0
202207,15494.0
202208,8277.0
202209,4535.0
202210,2555.0
202211,1997.0
202212,1605.0
202213,1555.0
202214,1448.0
202215,930.0
202216,1315.0
202217,887.0
202218,53.0
