epiweek,Cases
202010,0.0
202011,0.0
202012,2.0
202013,13.0
202014,36.0
202015,53.0
202016,63.0
202017,63.0
202018,102.0
202019,135.0
202020,130.0
202021,195.0
202022,260.0
202023,400.0
202024,489.0
202025,721.0
202026,900.0
202027,1015.0
202028,1266.0
202029,1549.0
202030,1849.0
202031,2097.0
202032,2053.0
202033,1977.0
202034,1886.0
202035,1739.0
202036,1516.0
202037,1390.0
202038,1268.0
202039,1190.0
202040,1218.0
202041,1121.0
202042,1229.0
202043,1233.0
202044,1319.0
202045,1324.0
202046,1217.0
202047,1285.0
202048,1341.0
202049,1257.0
202050,1358.0
202051,1518.0
202052,1734.0
202053,1978.0
202101,2176.0
202102,2549.0
202103,2746.0
202104,2434.0
202105,1954.0
202106,1543.0
202107,1276.0
202108,1055.0
202109,887.0
202110,810.0
202111,909.0
202112,1106.0
202113,1350.0
202114,1951.0
202115,2585.0
202116,3143.0
202117,3117.0
202118,3296.0
202119,3299.0
202120,3328.0
202121,3405.0
202122,3590.0
202123,3821.0
202124,3974.0
202125,4114.0
202126,3817.0
202127,3585.0
202128,3151.0
202129,2405.0
202130,1934.0
202131,1458.0
202132,1075.0
202133,847.0
202134,683.0
202135,541.0
202136,462.0
202137,441.0
202138,434.0
202139,396.0
202140,401.0
202141,420.0
202142,381.0
202143,409.0
202144,399.0
202145,428.0
202146,473.0
202147,487.0
202148,530.0
202149,534.0
202150,509.0
202151,500.0
202152,456.0
202201,582.0
202202,927.0
202203,1581.0
202204,1979.0
202205,1974.0
202206,1639.0
202207,1171.0
202208,802.0
202209,587.0
202210,465.0
202211,376.0
202212,334.0
202213,268.0
202214,235.0
202215,224.0
202216,187.0
202217,171.0
202218,64.0
