Categoría: Todas las categorías

Semana,tos: (Colombia),fiebre: (Colombia),cansado: (Colombia),diarrea: (Colombia)
2017-05-21,28,34,3,28
2017-05-28,31,34,3,23
2017-06-04,30,34,3,22
2017-06-11,27,30,3,21
2017-06-18,26,37,4,24
2017-06-25,27,47,2,27
2017-07-02,25,33,3,26
2017-07-09,22,52,4,24
2017-07-16,24,47,3,24
2017-07-23,21,39,2,24
2017-07-30,25,33,2,21
2017-08-06,28,36,5,24
2017-08-13,28,33,4,19
2017-08-20,26,34,3,21
2017-08-27,23,32,3,20
2017-09-03,24,31,3,20
2017-09-10,25,32,3,21
2017-09-17,22,33,3,21
2017-09-24,26,34,3,24
2017-10-01,23,31,3,23
2017-10-08,27,31,3,26
2017-10-15,25,33,4,23
2017-10-22,25,32,3,22
2017-10-29,23,29,3,24
2017-11-05,26,28,3,26
2017-11-12,28,29,4,25
2017-11-19,24,29,3,19
2017-11-26,26,29,4,21
2017-12-03,28,30,3,21
2017-12-10,28,28,3,23
2017-12-17,30,28,4,28
2017-12-24,32,30,3,32
2017-12-31,32,32,3,32
2018-01-07,33,32,2,37
2018-01-14,31,27,4,28
2018-01-21,24,27,3,27
2018-01-28,25,25,3,27
2018-02-04,23,30,3,25
2018-02-11,26,28,4,24
2018-02-18,27,28,4,24
2018-02-25,28,32,4,22
2018-03-04,29,28,3,24
2018-03-11,28,32,4,24
2018-03-18,32,31,4,28
2018-03-25,33,33,3,31
2018-04-01,26,30,3,29
2018-04-08,28,29,3,22
2018-04-15,29,35,4,25
2018-04-22,32,34,3,25
2018-04-29,34,36,4,24
2018-05-06,30,32,5,25
2018-05-13,30,40,2,25
2018-05-20,33,36,3,21
2018-05-27,34,37,3,24
2018-06-03,37,49,5,27
2018-06-10,37,44,3,25
2018-06-17,31,37,4,23
2018-06-24,32,31,3,23
2018-07-01,28,32,3,24
2018-07-08,28,36,3,22
2018-07-15,30,35,4,24
2018-07-22,28,34,4,24
2018-07-29,30,36,3,23
2018-08-05,29,32,3,27
2018-08-12,28,32,4,22
2018-08-19,28,35,3,26
2018-08-26,28,33,3,24
2018-09-02,25,33,3,22
2018-09-09,27,32,4,23
2018-09-16,27,31,4,22
2018-09-23,27,35,3,23
2018-09-30,29,32,3,23
2018-10-07,29,34,4,27
2018-10-14,26,35,4,31
2018-10-21,26,33,4,23
2018-10-28,25,33,4,24
2018-11-04,31,31,3,25
2018-11-11,30,34,4,26
2018-11-18,31,33,4,24
2018-11-25,33,33,3,27
2018-12-02,30,35,4,26
2018-12-09,33,37,4,26
2018-12-16,33,37,3,30
2018-12-23,39,44,3,39
2018-12-30,43,37,4,46
2019-01-06,41,40,4,43
2019-01-13,27,31,4,39
2019-01-20,21,32,3,41
2019-01-27,27,30,4,37
2019-02-03,23,27,3,38
2019-02-10,28,31,4,36
2019-02-17,29,31,4,34
2019-02-24,30,27,4,35
2019-03-03,29,33,5,36
2019-03-10,34,33,3,32
2019-03-17,35,33,5,34
2019-03-24,36,35,4,39
2019-03-31,33,35,4,32
2019-04-07,37,40,4,32
2019-04-14,43,38,4,34
2019-04-21,30,34,4,30
2019-04-28,28,33,4,27
2019-05-05,31,33,3,28
2019-05-12,30,34,4,29
2019-05-19,30,35,4,26
2019-05-26,32,37,3,26
2019-06-02,34,37,4,31
2019-06-09,36,39,3,27
2019-06-16,34,41,4,29
2019-06-23,38,38,2,31
2019-06-30,34,34,4,30
2019-07-07,32,33,3,29
2019-07-14,29,33,3,30
2019-07-21,27,38,4,29
2019-07-28,31,38,3,26
2019-08-04,31,40,4,26
2019-08-11,30,32,4,27
2019-08-18,32,34,3,30
2019-08-25,30,33,4,26
