date,retail_and_recreation_percent_change_from_baseline_Bahamas,grocery_and_pharmacy_percent_change_from_baseline_Bahamas,parks_percent_change_from_baseline_Bahamas,transit_stations_percent_change_from_baseline_Bahamas,workplaces_percent_change_from_baseline_Bahamas,residential_percent_change_from_baseline_Bahamas
2020-02-15,-1.6666666666666667,-5.333333333333333,9.0,10.0,0.3333333333333333,-1.0
2020-02-16,3.5,-1.5,9.666666666666666,-0.5,4.333333333333333,-0.5
2020-02-17,2.0,-1.6666666666666667,15.333333333333334,2.0,3.5,0.0
2020-02-18,5.0,-0.3333333333333333,9.333333333333334,2.0,1.75,0.0
2020-02-19,0.3333333333333333,-5.333333333333333,11.333333333333334,23.0,-0.5,0.0
2020-02-20,-2.6666666666666665,-2.3333333333333335,9.333333333333334,7.5,-2.0,0.5
2020-02-21,-0.6666666666666666,-1.6666666666666667,4.333333333333333,4.5,-3.25,2.0
2020-02-22,-2.3333333333333335,-2.6666666666666665,0.0,14.5,1.6666666666666667,1.5
2020-02-23,-2.0,-2.0,6.0,1.5,-0.3333333333333333,0.5
2020-02-24,2.3333333333333335,0.0,11.0,3.0,-4.0,2.0
2020-02-25,0.3333333333333333,-2.0,11.333333333333334,-3.5,4.25,0.0
2020-02-26,1.0,-0.6666666666666666,11.0,11.0,3.0,-1.0
2020-02-27,0.0,4.0,5.666666666666667,0.5,2.75,1.0
2020-02-28,5.333333333333333,7.0,8.666666666666666,3.0,3.25,0.0
2020-02-29,4.333333333333333,4.0,13.0,9.5,4.666666666666667,-1.0
2020-03-01,0.5,3.0,8.0,2.0,1.0,0.0
2020-03-02,3.3333333333333335,8.666666666666666,10.333333333333334,-6.0,3.75,1.0
2020-03-03,3.3333333333333335,3.6666666666666665,6.333333333333333,-8.0,1.5,0.0
2020-03-04,1.3333333333333333,2.6666666666666665,10.666666666666666,4.0,3.0,-1.0
2020-03-05,-4.666666666666667,2.0,7.0,-3.5,2.25,1.0
2020-03-06,1.6666666666666667,0.3333333333333333,11.0,0.0,4.25,-1.0
2020-03-07,0.0,2.3333333333333335,5.333333333333333,-0.5,2.6666666666666665,0.5
2020-03-08,-4.5,-1.5,2.6666666666666665,-7.0,0.3333333333333333,1.5
2020-03-09,-1.0,2.6666666666666665,6.666666666666667,-11.5,4.25,1.5
2020-03-10,-2.3333333333333335,3.0,5.666666666666667,-13.0,5.75,0.0
2020-03-11,-3.6666666666666665,6.333333333333333,11.333333333333334,-1.5,4.25,0.0
2020-03-12,-3.0,11.666666666666666,12.666666666666666,-7.0,3.75,0.0
