date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-02-15,3.5,5.666666666666667,3.6666666666666665,-1.0,-0.2,0.0
2020-02-16,6.2,4.6,9.0,2.3333333333333335,1.5,0.0
2020-02-17,-10.0,-4.5,-1.0,3.6666666666666665,0.875,1.3333333333333333
2020-02-18,-5.6,-2.8,-4.0,1.3333333333333333,2.5,1.3333333333333333
2020-02-19,-6.833333333333333,-4.2,-16.0,-3.3333333333333335,-0.125,1.6666666666666667
2020-02-20,-3.3333333333333335,1.2,1.3333333333333333,3.0,0.875,0.0
2020-02-21,2.2857142857142856,3.8333333333333335,4.666666666666667,0.3333333333333333,1.875,0.0
2020-02-22,2.0,7.0,2.6666666666666665,-4.0,1.0,0.0
2020-02-23,10.6,7.6,3.0,-2.0,2.25,0.0
2020-02-24,-1.4,-2.5,-0.6666666666666666,-1.0,1.375,1.3333333333333333
2020-02-25,6.4,7.2,2.3333333333333335,4.333333333333333,3.125,-0.3333333333333333
2020-02-26,8.666666666666666,4.6,9.666666666666666,3.0,1.625,-1.0
2020-02-27,10.333333333333334,6.833333333333333,15.333333333333334,8.333333333333334,1.25,-0.6666666666666666
2020-02-28,2.0,7.0,28.333333333333332,5.0,1.625,-0.6666666666666666
2020-02-29,6.666666666666667,2.3333333333333335,44.666666666666664,2.3333333333333335,1.2,-1.0
2020-03-01,14.0,0.0,26.5,7.666666666666667,2.5,-1.0
2020-03-02,-3.0,-0.8333333333333334,6.0,0.3333333333333333,2.5,1.0
2020-03-03,1.4,3.6,2.3333333333333335,0.6666666666666666,4.25,0.0
2020-03-04,1.4,2.6,7.333333333333333,-1.6666666666666667,2.625,-0.3333333333333333
2020-03-05,2.4285714285714284,3.8333333333333335,3.3333333333333335,-1.0,0.875,0.0
2020-03-06,1.0,4.5,11.333333333333334,-2.0,2.375,0.3333333333333333
2020-03-07,-1.1666666666666667,-0.5,3.6666666666666665,-6.333333333333333,-1.0,0.0
2020-03-08,5.4,0.8,7.666666666666667,-2.6666666666666665,2.75,0.0
2020-03-09,-6.333333333333333,-4.666666666666667,1.3333333333333333,-7.333333333333333,2.875,1.3333333333333333
2020-03-10,-1.8,-1.8,2.6666666666666665,-5.666666666666667,4.5,0.3333333333333333
2020-03-11,4.166666666666667,3.8,6.666666666666667,-7.0,1.0,0.0
2020-03-12,1.6666666666666667,16.0,-0.6666666666666666,-3.6666666666666665,0.375,0.3333333333333333
2020-03-13,-0.5714285714285714,15.833333333333334,1.6666666666666667,-8.666666666666666,2.0,1.0
2020-03-14,-5.0,7.166666666666667,1.3333333333333333,-6.666666666666667,0.8,2.0
2020-03-15,0.2,0.6,5.0,1.3333333333333333,1.0,2.0
2020-03-16,-5.857142857142857,3.6,-6.666666666666667,2.3333333333333335,0.875,1.6666666666666667
2020-03-17,-4.166666666666667,24.0,-9.333333333333334,2.3333333333333335,1.625,2.0
2020-03-18,-6.666666666666667,11.6,-11.0,-12.333333333333334,-10.125,6.333333333333333
2020-03-19,-14.142857142857142,9.8,-17.666666666666668,-25.0,-15.5,8.0
2020-03-20,-18.857142857142858,4.333333333333333,-21.666666666666668,-22.333333333333332,-15.125,10.333333333333334
2020-03-21,-24.857142857142858,-0.8333333333333334,-27.333333333333332,-19.0,-9.8,9.0
2020-03-22,-38.0,-5.8,-40.333333333333336,-37.333333333333336,-19.5,8.0
2020-03-23,-29.714285714285715,-2.8333333333333335,-30.0,-33.0,-25.75,12.666666666666666
2020-03-24,-27.0,-2.6,-29.666666666666668,-35.333333333333336,-29.0,13.666666666666666
2020-03-25,-29.857142857142858,-6.4,-23.333333333333332,-41.666666666666664,-33.22222222222222,14.0
2020-03-26,-25.571428571428573,-3.1666666666666665,-27.333333333333332,-43.333333333333336,-34.44444444444444,15.333333333333334
2020-03-27,-22.285714285714285,-2.0,-24.333333333333332,-42.666666666666664,-32.5,15.666666666666666
2020-03-28,-38.714285714285715,-26.5,-40.666666666666664,-53.666666666666664,-31.666666666666668,15.0
2020-03-29,-73.83333333333333,-50.2,-61.0,-77.66666666666667,-52.6,15.0
2020-03-30,-71.14285714285714,-45.833333333333336,-58.666666666666664,-71.0,-63.2,28.0
2020-03-31,-66.71428571428571,-39.833333333333336,-53.333333333333336,-67.33333333333333,-64.3,28.0
2020-04-01,-64.0,-34.0,-51.666666666666664,-72.66666666666667,-66.3,28.0
