date,retail_and_recreation_percent_change_from_baseline_Belize,grocery_and_pharmacy_percent_change_from_baseline_Belize,parks_percent_change_from_baseline_Belize,transit_stations_percent_change_from_baseline_Belize,workplaces_percent_change_from_baseline_Belize,residential_percent_change_from_baseline_Belize
2020-02-15,8.0,7.666666666666667,16.0,16.0,4.2,-2.0
2020-02-16,4.666666666666667,3.5,13.0,14.0,0.0,-2.0
2020-02-17,2.6666666666666665,1.0,6.333333333333333,3.6666666666666665,1.5,0.3333333333333333
2020-02-18,3.5,2.0,11.333333333333334,3.0,1.5,-0.3333333333333333
2020-02-19,1.25,-3.6666666666666665,7.666666666666667,2.0,4.666666666666667,0.0
2020-02-20,4.25,1.3333333333333333,31.666666666666668,10.666666666666666,-13.333333333333334,2.6666666666666665
2020-02-21,1.75,-0.6666666666666666,5.0,0.6666666666666666,4.0,-0.3333333333333333
2020-02-22,0.0,0.3333333333333333,11.333333333333334,6.5,3.2,0.0
2020-02-23,4.333333333333333,5.0,29.0,18.0,1.5,-1.0
2020-02-24,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.6666666666666665,0.6666666666666666
2020-02-25,2.0,1.3333333333333333,7.666666666666667,4.333333333333333,2.6666666666666665,0.0
2020-02-26,1.25,0.6666666666666666,5.0,6.666666666666667,4.833333333333333,0.3333333333333333
2020-02-27,0.5,6.333333333333333,-4.0,8.0,0.8333333333333334,1.3333333333333333
2020-02-28,7.75,5.666666666666667,7.333333333333333,8.0,0.8333333333333334,-1.0
2020-02-29,6.0,9.666666666666666,35.666666666666664,17.5,4.0,-2.0
2020-03-01,1.0,5.5,3.6666666666666665,15.5,1.0,-1.0
2020-03-02,5.0,4.666666666666667,16.333333333333332,4.333333333333333,3.0,0.0
2020-03-03,2.5,0.3333333333333333,-0.6666666666666666,0.6666666666666666,3.1666666666666665,-0.3333333333333333
2020-03-04,1.0,2.0,10.0,8.666666666666666,5.166666666666667,1.0
2020-03-05,6.5,8.0,17.333333333333332,11.0,2.5,-0.3333333333333333
2020-03-06,1.75,2.0,24.333333333333332,3.3333333333333335,0.0,0.3333333333333333
2020-03-07,-1.0,4.0,35.666666666666664,8.5,-0.8,-1.0
2020-03-08,4.0,4.5,1.3333333333333333,4.0,-2.75,0.0
2020-03-09,-25.666666666666668,-30.5,15.666666666666666,-27.666666666666668,-59.166666666666664,12.0
2020-03-10,2.0,7.333333333333333,3.0,5.666666666666667,3.6666666666666665,-1.0
2020-03-11,0.5,8.666666666666666,13.666666666666666,3.0,4.833333333333333,0.3333333333333333
2020-03-12,3.5,27.0,16.0,7.666666666666667,2.3333333333333335,0.3333333333333333
2020-03-13,6.75,29.666666666666668,13.333333333333334,1.0,3.8333333333333335,-0.6666666666666666
2020-03-14,1.25,23.666666666666668,13.333333333333334,5.5,4.4,0.0
2020-03-15,-6.0,5.0,3.6666666666666665,-4.0,0.5,1.0
2020-03-16,-5.333333333333333,11.333333333333334,-1.6666666666666667,-10.0,1.8333333333333333,1.6666666666666667
2020-03-17,-9.0,9.666666666666666,-9.333333333333334,-13.666666666666666,-0.16666666666666666,2.3333333333333335
2020-03-18,-9.75,6.666666666666667,-16.0,-11.333333333333334,1.3333333333333333,3.0
2020-03-19,-9.0,19.0,0.3333333333333333,-11.666666666666666,-2.6666666666666665,3.3333333333333335
2020-03-20,-7.5,32.666666666666664,-5.666666666666667,-15.333333333333334,-2.6666666666666665,3.0
2020-03-21,-16.25,24.333333333333332,0.3333333333333333,-13.666666666666666,-8.2,5.0
2020-03-22,-40.0,-13.5,-25.0,-30.5,-17.75,7.0
2020-03-23,-25.0,18.0,-18.333333333333332,-31.0,-30.166666666666668,10.5
2020-03-24,-46.25,-13.0,-28.0,-54.0,-45.0,16.0
2020-03-25,-49.0,-5.666666666666667,-36.0,-59.333333333333336,-47.166666666666664,17.5
2020-03-26,-58.0,-36.0,-34.333333333333336,-60.666666666666664,-49.833333333333336,19.5
2020-03-27,-56.75,-32.5,-31.666666666666668,-65.75,-47.5,21.0
2020-03-28,-60.75,-39.333333333333336,-31.333333333333332,-66.25,-41.5,16.0
2020-03-29,-64.25,-49.0,-37.0,-69.66666666666667,-43.5,13.0
2020-03-30,-47.0,-27.0,-34.666666666666664,-61.75,-51.166666666666664,20.0
2020-03-31,-48.0,-19.5,-33.666666666666664,-61.333333333333336,-51.0,18.0
2020-04-01,-48.5,-16.666666666666668,-35.666666666666664,-62.0,-53.0,19.0
2020-04-02,-70.0,-50.5,-52.333333333333336,-76.0,-63.0,26.0
2020-04-03,-69.4,-46.333333333333336,-55.333333333333336,-73.75,-61.333333333333336,28.0
2020-04-04,-77.25,-52.333333333333336,-58.333333333333336,-78.5,-56.666666666666664,22.0
2020-04-05,-79.33333333333333,-64.0,-64.0,-82.33333333333333,-59.5,
2020-04-06,-69.33333333333333,-47.0,-55.666666666666664,-77.25,-65.33333333333333,27.0
2020-04-07,-72.0,-48.5,-57.666666666666664,-80.33333333333333,-68.0,28.0
2020-04-08,-72.5,-45.5,-62.0,-79.66666666666667,-68.0,28.0
2020-04-09,-66.5,-23.0,-51.666666666666664,-76.66666666666667,-68.33333333333333,27.0
2020-04-10,-93.0,-94.0,-75.33333333333333,-97.0,-86.83333333333333,
2020-04-11,-79.25,-51.666666666666664,-66.33333333333333,-80.0,-65.66666666666667,
2020-04-12,-92.0,-94.0,-78.33333333333333,-96.5,-69.83333333333333,
2020-04-13,-83.66666666666667,-71.0,-65.0,-92.5,-82.83333333333333,
2020-04-14,-72.75,-43.5,-56.666666666666664,-80.5,-69.66666666666667,28.0
2020-04-15,-70.75,-40.5,-58.0,-80.0,-68.33333333333333,28.0
2020-04-16,-71.5,-40.0,-54.333333333333336,-80.33333333333333,-68.5,28.0
2020-04-17,-72.0,-45.0,-52.666666666666664,-80.2,-67.16666666666667,30.0
2020-04-18,-74.75,-47.0,-56.333333333333336,-78.5,-55.333333333333336,21.0
2020-04-19,-92.0,-94.0,-78.66666666666667,-97.0,-71.5,
2020-04-20,-65.66666666666667,-45.0,-50.0,-78.75,-64.16666666666667,26.0
2020-04-21,-69.25,-43.0,-52.0,-81.33333333333333,-65.16666666666667,26.0
2020-04-22,-71.25,-46.5,-53.666666666666664,-82.0,-65.0,27.0
2020-04-23,-72.0,-49.0,-52.666666666666664,-84.0,-66.16666666666667,26.0
2020-04-24,-70.5,-49.0,-52.333333333333336,-80.0,-62.833333333333336,28.0
2020-04-25,-72.0,-47.666666666666664,-51.0,-79.25,-51.333333333333336,20.0
2020-04-26,-77.0,-59.0,-54.666666666666664,-83.5,-51.75,
2020-04-27,-58.0,-38.666666666666664,-45.666666666666664,-71.33333333333333,-56.0,23.0
2020-04-28,-57.0,-36.5,-44.333333333333336,-71.0,-56.666666666666664,18.0
2020-04-29,-56.5,-30.0,-47.666666666666664,-68.33333333333333,-55.666666666666664,23.0
2020-04-30,-49.333333333333336,-14.333333333333334,-37.333333333333336,-61.666666666666664,-56.666666666666664,20.0
2020-05-01,-73.75,-57.0,-55.333333333333336,-84.5,-74.0,31.0
2020-05-02,-56.0,-28.0,-41.333333333333336,-66.25,-41.5,17.0
2020-05-03,-72.33333333333333,-49.0,-53.333333333333336,-75.33333333333333,-44.75,14.0
