date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-02-15,8.606060606060606,7.838709677419355,14.985714285714286,13.806451612903226,-2.515625,-0.07272727272727272
2020-02-16,7.71875,7.950819672131147,9.840579710144928,11.147540983606557,-1.4666666666666666,0.48
2020-02-17,7.53030303030303,9.360655737704919,15.67142857142857,13.079365079365079,-5.7846153846153845,1.1355932203389831
2020-02-18,7.2,8.3,14.771428571428572,11.142857142857142,-5.184615384615385,0.9661016949152542
2020-02-19,7.03030303030303,9.566666666666666,15.19718309859155,10.634920634920634,-4.907692307692308,1.0847457627118644
2020-02-20,6.2272727272727275,8.65,18.695652173913043,10.079365079365079,-4.8,0.847457627118644
2020-02-21,5.121212121212121,8.25,18.72463768115942,8.88888888888889,-5.338461538461538,1.2542372881355932
2020-02-22,4.075757575757576,6.5,17.357142857142858,7.790322580645161,-1.8888888888888888,0.2
2020-02-23,1.7846153846153847,5.39344262295082,1.4366197183098592,4.766666666666667,-2.3333333333333335,1.14
2020-02-24,1.6666666666666667,4.409836065573771,-0.42857142857142855,3.2857142857142856,-1.0307692307692307,1.9827586206896552
2020-02-25,0.9076923076923077,3.683333333333333,0.9436619718309859,2.7301587301587302,0.23076923076923078,1.3559322033898304
2020-02-26,-1.6666666666666667,1.5166666666666666,-2.2816901408450705,0.36507936507936506,1.1846153846153846,1.7118644067796611
2020-02-27,-1.2575757575757576,2.05,-4.2,-1.7301587301587302,2.3692307692307693,1.9166666666666667
2020-02-28,5.287878787878788,5.366666666666666,-0.5211267605633803,1.2380952380952381,3.5846153846153848,1.11864406779661
2020-02-29,8.803030303030303,6.596774193548387,-3.1549295774647885,2.2857142857142856,1.453125,0.43636363636363634
2020-03-01,4.523076923076923,7.901639344262295,-11.253521126760564,-0.4032258064516129,1.4,1.98
2020-03-02,1.0,3.316666666666667,-12.507042253521126,-3.6507936507936507,12.876923076923077,0.11666666666666667
2020-03-03,0.2,4.7,-13.901408450704226,-3.761904761904762,13.815384615384616,-0.13333333333333333
2020-03-04,-2.696969696969697,2.8333333333333335,-15.67605633802817,-5.031746031746032,14.738461538461538,-0.05084745762711865
2020-03-05,-4.575757575757576,-0.1,-14.628571428571428,-6.0476190476190474,16.984615384615385,-0.6333333333333333
2020-03-06,-2.409090909090909,-0.11666666666666667,-14.385714285714286,-5.5,17.692307692307693,-0.4666666666666667
2020-03-07,-0.07575757575757576,1.1290322580645162,-17.901408450704224,-10.777777777777779,3.25,3.4727272727272727
2020-03-08,-2.8153846153846156,1.0327868852459017,-15.619718309859154,-11.193548387096774,1.2333333333333334,5.48
2020-03-09,-7.121212121212121,-3.2131147540983607,-15.366197183098592,-7.714285714285714,18.753846153846155,-1.0333333333333334
2020-03-10,-7.769230769230769,-4.45,-18.3943661971831,-6.571428571428571,19.153846153846153,-2.066666666666667
2020-03-11,-11.409090909090908,-7.133333333333334,-20.732394366197184,-8.285714285714286,18.661538461538463,-0.7833333333333333
2020-03-12,-11.863636363636363,-7.366666666666666,-21.885714285714286,-10.587301587301587,18.06153846153846,-0.5666666666666667
2020-03-13,-7.015151515151516,-1.6666666666666667,-16.690140845070424,-7.140625,18.6,-0.9666666666666667
2020-03-14,-6.107692307692307,1.032258064516129,-19.112676056338028,-13.666666666666666,3.515625,3.618181818181818
2020-03-15,-15.03076923076923,7.672131147540983,-27.154929577464788,-17.3015873015873,-0.5833333333333334,6.18
2020-03-16,-21.476923076923075,6.442622950819672,-31.676056338028168,-22.11111111111111,4.384615384615385,5.807017543859649
