date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-02-15,0.5909090909090909,6.0,1.12,-3.0,-1.8275862068965518,0.5833333333333334
2020-02-16,-13.285714285714286,-5.526315789473684,-7.8076923076923075,-12.7,-7.703703703703703,3.1
2020-02-17,1.8888888888888888,3.3157894736842106,-1.9166666666666667,-3.727272727272727,-4.258064516129032,0.75
2020-02-18,-0.7894736842105263,-0.9473684210526315,-2.652173913043478,4.1,2.566666666666667,-0.375
2020-02-19,-2.9,-3.7,-1.173913043478261,-1.1818181818181819,-0.26666666666666666,1.0
2020-02-20,-2.0526315789473686,-4.2,-0.3333333333333333,-2.6363636363636362,-0.5666666666666667,0.8125
2020-02-21,-2.857142857142857,-3.7,1.875,-1.0909090909090908,0.9,0.1875
2020-02-22,-3.6956521739130435,-4.565217391304348,-2.52,-2.3333333333333335,1.6206896551724137,0.38461538461538464
2020-02-23,-7.545454545454546,-7.55,-10.076923076923077,-0.5,-4.884615384615385,1.4
2020-02-24,-1.5789473684210527,-2.526315789473684,-5.041666666666667,-0.6363636363636364,2.3,0.25
2020-02-25,-1.368421052631579,-1.736842105263158,-0.5,0.6363636363636364,3.6666666666666665,0.125
2020-02-26,-0.47619047619047616,-2.1,-0.782608695652174,-2.090909090909091,-0.4,0.25
2020-02-27,-7.0,-11.80952380952381,39.18181818181818,-16.636363636363637,-40.774193548387096,12.0
2020-02-28,1.2727272727272727,2.35,0.3333333333333333,-0.09090909090909091,-2.1666666666666665,0.9333333333333333
2020-02-29,3.739130434782609,5.7272727272727275,4.56,3.1818181818181817,2.9655172413793105,-0.7692307692307693
2020-03-01,-7.363636363636363,-3.55,-10.807692307692308,-2.0,-6.333333333333333,1.2
2020-03-02,-3.5789473684210527,0.6,-12.0,-0.45454545454545453,1.5,1.0
2020-03-03,-2.4210526315789473,0.10526315789473684,-8.041666666666666,-1.8181818181818181,0.6666666666666666,1.5
2020-03-04,-1.0,0.7,-1.0454545454545454,-0.45454545454545453,1.3333333333333333,0.4375
2020-03-05,-1.3,-1.2,-1.5,0.2,1.6333333333333333,0.3125
2020-03-06,-2.5,-2.1,-2.48,-3.090909090909091,0.9666666666666667,0.0625
2020-03-07,-2.608695652173913,-1.8636363636363635,-1.32,0.45454545454545453,3.1379310344827585,-0.15384615384615385
2020-03-08,-16.217391304347824,-12.95,-21.423076923076923,-10.363636363636363,-7.185185185185185,2.8
2020-03-09,-9.263157894736842,-6.142857142857143,-16.166666666666668,-7.818181818181818,-0.1,1.8666666666666667
2020-03-10,-4.842105263157895,-2.789473684210526,-8.583333333333334,-1.3636363636363635,0.9666666666666667,1.1875
2020-03-11,-4.428571428571429,-3.65,-3.772727272727273,-6.2,1.1,1.0
