date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-02-15,3.5441176470588234,0.03773584905660377,2.2416666666666667,-1.6666666666666667,-3.3766233766233764,0.10526315789473684
2020-02-16,2.3943661971830985,0.2857142857142857,1.9596774193548387,0.32,0.234375,0.06060606060606061
2020-02-17,3.5161290322580645,3.326530612244898,2.3009708737864076,1.4509803921568627,-4.737864077669903,1.5862068965517242
2020-02-18,4.476190476190476,3.5306122448979593,4.91,2.04,-5.176470588235294,1.293103448275862
2020-02-19,3.0,1.18,3.177570093457944,4.938775510204081,-7.288461538461538,1.3333333333333333
2020-02-20,6.063492063492063,3.6122448979591835,4.431192660550459,6.88,-13.384615384615385,1.9107142857142858
2020-02-21,5.584615384615384,4.22,7.556521739130435,6.615384615384615,-13.679611650485437,2.5185185185185186
2020-02-22,8.609375,7.39622641509434,23.857142857142858,13.44,-5.51948051948052,-0.6388888888888888
2020-02-23,16.952380952380953,4.586956521739131,42.63716814159292,5.9361702127659575,-4.317460317460317,-4.121212121212121
2020-02-24,7.2631578947368425,-7.770833333333333,29.204301075268816,-12.612244897959183,-59.785714285714285,9.91891891891892
2020-02-25,-10.8,-17.73469387755102,3.1145833333333335,-7.92,-62.663636363636364,10.72972972972973
2020-02-26,-1.9692307692307693,-0.84,0.7685185185185185,5.26,-12.142857142857142,1.7222222222222223
2020-02-27,0.3076923076923077,2.36734693877551,0.6936936936936937,1.2884615384615385,-8.990291262135923,2.210526315789474
2020-02-28,0.8939393939393939,1.36,0.6578947368421053,-1.9811320754716981,-9.223300970873787,2.6363636363636362
2020-02-29,-2.5652173913043477,8.056603773584905,-4.360655737704918,-1.6415094339622642,-2.051948051948052,2.5135135135135136
2020-03-01,-3.782608695652174,2.8958333333333335,-5.137096774193548,-2.52,0.07936507936507936,2.3333333333333335
2020-03-02,3.0317460317460316,7.163265306122449,2.872549019607843,-1.0384615384615385,-7.961165048543689,2.824561403508772
2020-03-03,3.890625,6.877551020408164,4.271844660194175,0.6153846153846154,-8.567307692307692,2.3684210526315788
2020-03-04,2.230769230769231,3.2244897959183674,1.9074074074074074,-0.38,-9.592233009708737,2.7017543859649122
2020-03-05,2.8615384615384616,4.591836734693878,2.5405405405405403,2.28,-11.384615384615385,2.9298245614035086
2020-03-06,0.7727272727272727,1.8,0.8938053097345132,-1.4339622641509433,-11.21359223300971,3.2545454545454544
2020-03-07,-1.5571428571428572,1.1923076923076923,-1.4672131147540983,-3.5961538461538463,-3.026315789473684,1.4054054054054055
2020-03-08,6.666666666666667,2.0416666666666665,4.666666666666667,-1.1020408163265305,1.453125,-0.24242424242424243
2020-03-09,0.47619047619047616,0.6458333333333334,2.1584158415841586,-1.4615384615384615,-12.74757281553398,3.090909090909091
2020-03-10,2.53125,4.166666666666667,4.4326923076923075,1.68,-13.076923076923077,2.482142857142857
2020-03-11,0.6307692307692307,1.6,0.1559633027522936,-0.88,-13.076923076923077,3.0727272727272728
2020-03-12,0.24615384615384617,9.604166666666666,0.36363636363636365,-1.7254901960784315,-13.365384615384615,2.8214285714285716
2020-03-13,-7.606060606060606,0.96,-5.364406779661017,-9.203703703703704,-20.721153846153847,6.8076923076923075
2020-03-14,-14.557142857142857,3.0384615384615383,-11.129032258064516,-13.814814814814815,-7.7974683544303796,5.222222222222222
2020-03-15,-25.805555555555557,-5.708333333333333,-20.37007874015748,-22.09259259259259,-8.515151515151516,5.9
2020-03-16,-14.048387096774194,21.375,-15.277777777777779,-17.79245283018868,-31.28301886792453,9.0
2020-03-17,-57.03125,-33.59183673469388,-48.86776859504132,-61.410714285714285,-56.75892857142857,23.375
