date,retail_and_recreation_percent_change_from_baseline_El Salvador,grocery_and_pharmacy_percent_change_from_baseline_El Salvador,parks_percent_change_from_baseline_El Salvador,transit_stations_percent_change_from_baseline_El Salvador,workplaces_percent_change_from_baseline_El Salvador,residential_percent_change_from_baseline_El Salvador
2020-02-15,2.0,4.111111111111111,-0.06666666666666667,-3.375,4.066666666666666,-0.8333333333333334
2020-02-16,0.16666666666666666,4.75,-0.3333333333333333,-2.0,0.7333333333333333,-0.4
2020-02-17,-1.9090909090909092,1.8888888888888888,-3.8,-0.14285714285714285,6.333333333333333,-0.5
2020-02-18,-2.909090909090909,-1.25,-1.4666666666666666,-0.2857142857142857,5.733333333333333,-0.7
2020-02-19,-1.7272727272727273,-2.0,-4.466666666666667,0.0,4.533333333333333,-0.4
2020-02-20,-2.6363636363636362,-3.125,-2.066666666666667,0.5714285714285714,4.666666666666667,-0.5
2020-02-21,0.0,0.375,-2.933333333333333,0.14285714285714285,11.266666666666667,-0.8
2020-02-22,-0.5454545454545454,0.7777777777777778,-2.2,-3.0,3.7333333333333334,-0.16666666666666666
2020-02-23,-1.5454545454545454,0.625,-1.0666666666666667,-4.25,1.9333333333333333,0.2
2020-02-24,-2.727272727272727,-1.0,-3.2666666666666666,-2.142857142857143,6.066666666666666,-0.2
2020-02-25,-0.7272727272727273,-0.375,-1.7333333333333334,-2.5714285714285716,6.2,-0.9
2020-02-26,-2.090909090909091,-5.25,0.4,-0.7142857142857143,5.266666666666667,-0.5
2020-02-27,-1.5454545454545454,-2.375,-2.2666666666666666,-1.1428571428571428,4.533333333333333,-0.3
2020-02-28,0.6363636363636364,2.75,-2.7333333333333334,-0.5,12.066666666666666,-1.8
2020-02-29,2.727272727272727,5.666666666666667,-2.2666666666666666,-0.75,5.533333333333333,-1.1666666666666667
2020-03-01,1.0909090909090908,5.75,0.3333333333333333,0.25,5.2,-0.8
2020-03-02,0.5454545454545454,4.111111111111111,-3.4,4.142857142857143,8.266666666666667,-1.1
2020-03-03,0.5454545454545454,2.375,-2.2666666666666666,-0.5714285714285714,7.533333333333333,-1.1
2020-03-04,-0.45454545454545453,0.5,-1.0666666666666667,-1.2857142857142858,6.266666666666667,-0.4
2020-03-05,-1.4545454545454546,-1.25,-1.8,-5.0,6.2,-0.5
2020-03-06,-1.8181818181818181,-2.2222222222222223,-4.0,-1.0,13.133333333333333,-1.3
2020-03-07,-2.1818181818181817,-2.3333333333333335,-5.0,-6.125,5.066666666666666,0.16666666666666666
