date,retail_and_recreation_percent_change_from_baseline_Haiti,grocery_and_pharmacy_percent_change_from_baseline_Haiti,parks_percent_change_from_baseline_Haiti,transit_stations_percent_change_from_baseline_Haiti,workplaces_percent_change_from_baseline_Haiti,residential_percent_change_from_baseline_Haiti
2020-02-15,-5.666666666666667,-1.0,-4.833333333333333,-6.333333333333333,1.7777777777777777,1.6666666666666667
2020-02-16,-1.3333333333333333,2.3333333333333335,0.5,-10.333333333333334,3.8,0.6666666666666666
2020-02-17,-5.666666666666667,-4.333333333333333,-7.5,-5.666666666666667,-1.7,1.6666666666666667
2020-02-18,-6.666666666666667,-4.0,-7.166666666666667,-7.666666666666667,1.4444444444444444,1.6666666666666667
2020-02-19,-11.0,-10.0,-5.166666666666667,-14.75,-3.6,2.6666666666666665
2020-02-20,-10.0,-7.666666666666667,-9.833333333333334,-7.666666666666667,-3.7,4.0
2020-02-21,-7.333333333333333,-4.666666666666667,-8.166666666666666,-6.333333333333333,-5.111111111111111,3.0
2020-02-22,-7.0,-4.0,-6.333333333333333,-8.0,-2.5555555555555554,1.0
2020-02-23,-19.333333333333332,-24.333333333333332,-9.833333333333334,-21.333333333333332,-4.8,3.6666666666666665
2020-02-24,-44.0,-47.333333333333336,-16.8,-46.333333333333336,-32.1,18.333333333333332
2020-02-25,-35.0,-30.333333333333332,-10.666666666666666,-31.333333333333332,-33.0,14.0
2020-02-26,-29.0,-22.0,-9.666666666666666,-25.0,-31.6,12.333333333333334
2020-02-27,-6.333333333333333,-6.0,-4.833333333333333,-2.3333333333333335,-4.2,4.0
2020-02-28,-6.666666666666667,-3.3333333333333335,-4.666666666666667,-8.666666666666666,-2.7777777777777777,4.0
2020-02-29,-5.0,-2.0,-9.666666666666666,-12.333333333333334,-0.125,2.3333333333333335
2020-03-01,-9.333333333333334,-7.0,-16.5,-11.666666666666666,-2.6,3.0
2020-03-02,-3.3333333333333335,-3.0,-7.5,-7.333333333333333,2.1,1.0
2020-03-03,-5.333333333333333,-4.0,-8.0,-4.666666666666667,1.6666666666666667,2.6666666666666665
2020-03-04,-3.6666666666666665,-5.0,-4.166666666666667,-11.75,3.1,1.6666666666666667
2020-03-05,-4.0,-4.666666666666667,-1.5,-5.0,3.6666666666666665,1.3333333333333333
2020-03-06,-3.0,-1.6666666666666667,-4.833333333333333,-3.0,5.555555555555555,1.0
2020-03-07,-3.6666666666666665,-0.6666666666666666,-8.666666666666666,-8.0,1.8888888888888888,1.6666666666666667
2020-03-08,-8.666666666666666,-9.0,-17.5,-6.666666666666667,-3.8333333333333335,2.3333333333333335
2020-03-09,-8.0,-10.0,-11.5,-9.333333333333334,0.3,2.0
2020-03-10,-8.666666666666666,-7.333333333333333,-6.833333333333333,-4.333333333333333,3.5555555555555554,1.6666666666666667
2020-03-11,-6.666666666666667,-6.666666666666667,-7.833333333333333,-13.0,2.3,1.6666666666666667
2020-03-12,-8.666666666666666,-1.3333333333333333,-7.833333333333333,-1.6666666666666667,1.5555555555555556,1.3333333333333333
2020-03-13,-3.6666666666666665,3.3333333333333335,-8.0,-3.6666666666666665,2.4444444444444446,0.0
2020-03-14,-1.6666666666666667,4.333333333333333,-10.5,-10.333333333333334,2.888888888888889,-0.3333333333333333
2020-03-15,-4.666666666666667,-2.0,-11.166666666666666,-9.0,2.2,0.0
2020-03-16,-6.333333333333333,-2.0,-12.166666666666666,-3.3333333333333335,1.3,-1.0
2020-03-17,-7.0,-2.6666666666666665,-13.0,-14.666666666666666,2.6666666666666665,-2.0
2020-03-18,-7.0,-3.6666666666666665,-8.833333333333334,-17.0,1.7,0.3333333333333333
2020-03-19,-10.0,-1.0,-7.0,-18.0,0.7777777777777778,0.0
2020-03-20,-14.0,16.0,-10.166666666666666,-21.666666666666668,-18.444444444444443,6.666666666666667
2020-03-21,-27.0,-14.0,-19.166666666666668,-45.0,-14.333333333333334,7.0
2020-03-22,-34.0,-29.666666666666668,-20.5,-50.666666666666664,-13.428571428571429,7.333333333333333
2020-03-23,-31.0,-25.333333333333332,-19.833333333333332,-43.0,-28.7,12.0
2020-03-24,-36.333333333333336,-27.333333333333332,-22.333333333333332,-45.333333333333336,-28.9,12.0
2020-03-25,-37.0,-29.666666666666668,-20.333333333333332,-43.25,-31.8,12.0
2020-03-26,-37.666666666666664,-27.666666666666668,-20.166666666666668,-46.666666666666664,-32.5,13.0
2020-03-27,-38.666666666666664,-23.0,-23.5,-45.0,-29.3,12.666666666666666
2020-03-28,-37.666666666666664,-25.666666666666668,-21.333333333333332,-52.666666666666664,-20.333333333333332,7.666666666666667
2020-03-29,-38.333333333333336,-33.333333333333336,-20.833333333333332,-52.333333333333336,-14.714285714285714,7.0
2020-03-30,-36.666666666666664,-29.333333333333332,-18.666666666666668,-50.666666666666664,-31.4,12.666666666666666
2020-03-31,-36.333333333333336,-29.333333333333332,-18.166666666666668,-46.0,-29.3,12.666666666666666
2020-04-01,-34.0,-29.0,-17.0,-46.0,-30.2,12.666666666666666
2020-04-02,-36.333333333333336,-27.333333333333332,-19.0,-54.333333333333336,-30.9,13.0
2020-04-03,-35.0,-25.333333333333332,-21.166666666666668,-52.0,-28.8,12.666666666666666
2020-04-04,-38.333333333333336,-28.666666666666668,-21.333333333333332,-56.666666666666664,-18.666666666666668,9.0
2020-04-05,-38.666666666666664,-38.0,-17.333333333333332,-57.333333333333336,-12.714285714285714,8.0
2020-04-06,-32.333333333333336,-28.0,-21.166666666666668,-52.0,-28.1,11.666666666666666
2020-04-07,-34.333333333333336,-26.333333333333332,-18.333333333333332,-48.0,-29.5,11.666666666666666
2020-04-08,-33.333333333333336,-26.333333333333332,-20.166666666666668,-51.5,-32.7,13.666666666666666
2020-04-09,-31.666666666666668,-18.333333333333332,-16.0,-50.0,-34.4,12.666666666666666
2020-04-10,-54.666666666666664,-52.666666666666664,-24.5,-66.0,-46.2,19.333333333333332
2020-04-11,-42.333333333333336,-26.0,-22.166666666666668,-60.666666666666664,-22.666666666666668,11.333333333333334
2020-04-12,-43.666666666666664,-43.0,-22.0,-57.75,-18.0,9.0
2020-04-13,-35.666666666666664,-32.666666666666664,-23.0,-54.666666666666664,-32.3,12.666666666666666
2020-04-14,-37.333333333333336,-33.0,-18.5,-54.0,-30.8,12.666666666666666
2020-04-15,-37.666666666666664,-32.666666666666664,-18.5,-52.75,-32.8,13.666666666666666
2020-04-16,-34.666666666666664,-28.0,-17.0,-54.0,-31.6,12.333333333333334
2020-04-17,-35.666666666666664,-28.0,-22.166666666666668,-49.333333333333336,-29.11111111111111,13.333333333333334
2020-04-18,-35.333333333333336,-26.666666666666668,-19.5,-54.0,-18.88888888888889,8.333333333333334
2020-04-19,-37.666666666666664,-37.666666666666664,-18.0,-56.25,-14.428571428571429,8.0
2020-04-20,-30.333333333333332,-27.333333333333332,-19.333333333333332,-48.333333333333336,-27.5,11.0
2020-04-21,-33.333333333333336,-29.0,-19.833333333333332,-50.0,-29.444444444444443,10.666666666666666
2020-04-22,-34.666666666666664,-29.0,-16.666666666666668,-51.25,-28.2,12.333333333333334
2020-04-23,-33.0,-28.333333333333332,-17.166666666666668,-53.333333333333336,-27.7,12.0
2020-04-24,-35.0,-27.333333333333332,-21.833333333333332,-49.333333333333336,-28.11111111111111,12.0
2020-04-25,-37.0,-28.0,-21.0,-56.333333333333336,-17.22222222222222,8.0
2020-04-26,-39.666666666666664,-36.666666666666664,-19.833333333333332,-53.0,-14.714285714285714,6.333333333333333
2020-04-27,-37.0,-34.666666666666664,-28.0,-53.333333333333336,-28.9,10.333333333333334
2020-04-28,-35.666666666666664,-32.0,-23.5,-50.5,-27.2,6.666666666666667
2020-04-29,-30.333333333333332,-27.666666666666668,-13.666666666666666,-53.0,-27.2,11.0
2020-04-30,-28.0,-21.333333333333332,-14.666666666666666,-48.0,-24.1,10.0
2020-05-01,-46.666666666666664,-34.333333333333336,-18.0,-58.333333333333336,-38.4,16.0
2020-05-02,-33.666666666666664,-24.333333333333332,-17.833333333333332,-50.333333333333336,-17.0,8.0
2020-05-03,-39.666666666666664,-35.0,-19.166666666666668,-51.0,-15.285714285714286,8.0
2020-05-04,-30.333333333333332,-24.666666666666668,-21.333333333333332,-41.666666666666664,-26.1,10.666666666666666
2020-05-05,-31.333333333333332,-24.333333333333332,-17.5,-46.25,-26.666666666666668,11.666666666666666
2020-05-06,-30.0,-25.333333333333332,-18.166666666666668,-48.75,-26.4,10.666666666666666
2020-05-07,-30.0,-24.0,-14.833333333333334,-43.0,-25.2,9.0
2020-05-08,-30.333333333333332,-22.0,-16.166666666666668,-43.666666666666664,-24.11111111111111,11.0
