date,retail_and_recreation_percent_change_from_baseline_Honduras,grocery_and_pharmacy_percent_change_from_baseline_Honduras,parks_percent_change_from_baseline_Honduras,transit_stations_percent_change_from_baseline_Honduras,workplaces_percent_change_from_baseline_Honduras,residential_percent_change_from_baseline_Honduras
2020-02-15,3.5172413793103448,6.285714285714286,0.06976744186046512,0.8235294117647058,2.4571428571428573,-0.2
2020-02-16,4.961538461538462,7.8125,2.8205128205128207,6.416666666666667,0.48,0.0
2020-02-17,-1.7916666666666667,3.6785714285714284,-1.4285714285714286,2.0625,12.702702702702704,-1.4736842105263157
2020-02-18,-3.4583333333333335,0.1724137931034483,-3.6470588235294117,2.4375,12.868421052631579,-1.368421052631579
2020-02-19,-5.32,-2.4642857142857144,-3.5714285714285716,-0.375,10.594594594594595,-0.8947368421052632
2020-02-20,-5.3076923076923075,-2.25,-1.4864864864864864,-2.4285714285714284,10.076923076923077,-1.1578947368421053
2020-02-21,-4.206896551724138,-1.206896551724138,-1.275,-4.4375,12.72972972972973,-1.4210526315789473
2020-02-22,-4.0,-1.1785714285714286,-7.533333333333333,-7.733333333333333,2.7142857142857144,1.3333333333333333
2020-02-23,-3.923076923076923,0.6875,-6.7317073170731705,-8.153846153846153,0.68,1.3333333333333333
2020-02-24,-6.5,-1.9655172413793103,-4.542857142857143,-10.5625,13.405405405405405,-1.0526315789473684
2020-02-25,-6.961538461538462,-2.1666666666666665,-4.057142857142857,-7.0,13.263157894736842,-1.5263157894736843
2020-02-26,-7.0,-5.655172413793103,-3.8055555555555554,-6.125,10.35897435897436,-1.2105263157894737
2020-02-27,-10.961538461538462,-7.892857142857143,-12.91891891891892,-10.692307692307692,8.307692307692308,0.7368421052631579
2020-02-28,-8.75,-4.137931034482759,-12.785714285714286,-12.25,11.135135135135135,0.5263157894736842
2020-02-29,-2.5357142857142856,3.107142857142857,-10.454545454545455,-7.8125,2.0285714285714285,2.2666666666666666
2020-03-01,2.3461538461538463,8.625,-2.15,-1.5,4.56,0.0
2020-03-02,-2.9615384615384617,3.7857142857142856,-2.4,-3.1875,15.052631578947368,-1.85
2020-03-03,-3.8,3.0,-0.8529411764705882,-4.133333333333334,14.368421052631579,-1.5789473684210527
2020-03-04,-2.6,0.32142857142857145,-1.162162162162162,0.21428571428571427,12.487179487179487,-1.263157894736842
2020-03-05,-3.0,0.48148148148148145,-0.8378378378378378,-3.357142857142857,12.076923076923077,-1.6842105263157894
2020-03-06,-2.4482758620689653,0.6896551724137931,-3.2564102564102564,0.8125,15.378378378378379,-1.736842105263158
2020-03-07,-2.7241379310344827,0.6153846153846154,-6.5,-7.4375,4.2,0.8666666666666667
2020-03-08,-4.076923076923077,1.75,-7.85,-4.636363636363637,-0.32,1.5
2020-03-09,-6.769230769230769,-0.8620689655172413,-6.0,-9.866666666666667,14.35135135135135,-1.0526315789473684
2020-03-10,-6.8,-2.0357142857142856,-5.0,-5.375,13.131578947368421,-0.631578947368421
2020-03-11,-4.8076923076923075,9.964285714285714,-4.2368421052631575,-2.9285714285714284,11.578947368421053,-0.5789473684210527
2020-03-12,-8.461538461538462,7.178571428571429,-5.405405405405405,-9.0,9.051282051282051,-0.47368421052631576
2020-03-13,-7.758620689655173,5.482758620689655,-6.190476190476191,-8.75,3.8947368421052633,1.7777777777777777
2020-03-14,-9.931034482758621,7.928571428571429,-7.136363636363637,-5.9375,0.7142857142857143,2.4
