date,retail_and_recreation_percent_change_from_baseline_Jamaica,grocery_and_pharmacy_percent_change_from_baseline_Jamaica,parks_percent_change_from_baseline_Jamaica,transit_stations_percent_change_from_baseline_Jamaica,workplaces_percent_change_from_baseline_Jamaica,residential_percent_change_from_baseline_Jamaica
2020-02-15,-2.4444444444444446,-1.1111111111111112,-2.4444444444444446,-2.5,4.928571428571429,0.8
2020-02-16,-1.125,-2.8,19.11111111111111,1.0,3.6923076923076925,0.0
2020-02-17,-2.5555555555555554,-0.6666666666666666,-6.375,-2.6666666666666665,3.8666666666666667,1.25
2020-02-18,-2.5555555555555554,0.0,-5.625,0.0,2.533333333333333,0.375
2020-02-19,-3.4444444444444446,-1.7777777777777777,-4.375,1.5,1.9333333333333333,0.625
2020-02-20,-2.4444444444444446,0.1111111111111111,-3.375,-0.3333333333333333,1.6666666666666667,0.5
2020-02-21,-4.5,-5.111111111111111,-1.2222222222222223,-2.1666666666666665,2.2,0.75
2020-02-22,-4.9,-4.0,-5.333333333333333,-4.333333333333333,3.9285714285714284,1.6
2020-02-23,-3.375,-5.0,-2.5555555555555554,-3.0,3.6153846153846154,0.25
2020-02-24,-0.8888888888888888,-0.1111111111111111,-4.333333333333333,-3.8333333333333335,2.4,1.5
2020-02-25,11.777777777777779,14.11111111111111,0.3333333333333333,7.666666666666667,-0.6,-1.125
2020-02-26,-27.2,-49.875,-11.285714285714286,-19.666666666666668,-57.2,17.6
2020-02-27,9.333333333333334,10.222222222222221,8.0,4.6,-10.0,1.8571428571428572
2020-02-28,0.7,3.3333333333333335,0.2222222222222222,1.3333333333333333,-8.4,3.2857142857142856
2020-02-29,-1.6666666666666667,0.6666666666666666,-6.0,0.6666666666666666,2.0714285714285716,1.6
2020-03-01,0.25,2.2,-3.6666666666666665,2.2,2.6153846153846154,0.0
2020-03-02,1.7777777777777777,5.111111111111111,-2.375,1.5,2.7333333333333334,0.625
2020-03-03,-0.5555555555555556,4.888888888888889,-2.125,-1.8333333333333333,3.933333333333333,0.125
2020-03-04,-2.0,4.0,-0.125,0.6666666666666666,3.8666666666666667,0.375
2020-03-05,-1.5555555555555556,3.4444444444444446,-0.25,-2.0,2.4,0.25
2020-03-06,-4.7272727272727275,1.6666666666666667,-1.4444444444444444,0.6666666666666666,2.0,0.875
2020-03-07,-3.8,0.6666666666666666,1.7777777777777777,-1.0,3.4285714285714284,0.6
2020-03-08,-4.625,0.2,-7.0,-5.4,0.3076923076923077,0.6666666666666666
2020-03-09,-6.666666666666667,-1.6666666666666667,-7.625,-6.833333333333333,0.8666666666666667,1.875
2020-03-10,-2.4444444444444446,13.88888888888889,-2.888888888888889,0.8333333333333334,1.8666666666666667,1.25
2020-03-11,-4.555555555555555,16.375,-5.875,-4.166666666666667,1.7333333333333334,1.75
2020-03-12,-5.888888888888889,17.375,-6.875,-9.0,-1.2,2.125
2020-03-13,-14.7,10.777777777777779,-15.0,-15.5,-15.266666666666667,8.857142857142858
2020-03-14,-22.333333333333332,0.5555555555555556,-18.444444444444443,-19.5,-5.857142857142857,8.0
2020-03-15,-34.25,-18.8,-29.11111111111111,-29.666666666666668,-9.214285714285714,7.333333333333333
2020-03-16,-25.125,-12.333333333333334,-26.5,-29.5,-23.266666666666666,12.714285714285714
2020-03-17,-26.75,-11.555555555555555,-25.77777777777778,-30.666666666666668,-26.266666666666666,13.0
2020-03-18,-34.875,-20.333333333333332,-33.55555555555556,-35.833333333333336,-33.333333333333336,17.0
2020-03-19,-35.55555555555556,-22.0,-34.44444444444444,-37.666666666666664,-35.0,18.2
2020-03-20,-37.45454545454545,-23.333333333333332,-37.77777777777778,-35.5,-33.0,19.6
2020-03-21,-37.7,-19.0,-36.888888888888886,-31.833333333333332,-20.0,12.75
2020-03-22,-49.625,-32.8,-46.77777777777778,-50.333333333333336,-24.571428571428573,9.666666666666666
2020-03-23,-36.0,-24.4,-40.0,-45.0,-35.13333333333333,18.6
2020-03-24,-36.44444444444444,-25.444444444444443,-40.55555555555556,-45.333333333333336,-37.8,19.0
2020-03-25,-39.4,-24.22222222222222,-44.2,-46.333333333333336,-38.2,19.0
2020-03-26,-39.111111111111114,-22.375,-39.22222222222222,-47.333333333333336,-38.666666666666664,19.4
2020-03-27,-39.09090909090909,-22.22222222222222,-40.0,-46.666666666666664,-36.666666666666664,20.8
2020-03-28,-42.44444444444444,-23.77777777777778,-42.22222222222222,-49.166666666666664,-27.071428571428573,14.25
2020-03-29,-53.375,-40.4,-50.111111111111114,-62.833333333333336,-30.571428571428573,11.333333333333334
2020-03-30,-37.888888888888886,-27.77777777777778,-41.888888888888886,-51.666666666666664,-38.13333333333333,19.8
2020-03-31,-36.875,-22.333333333333332,-42.111111111111114,-49.5,-39.93333333333333,19.4
2020-04-01,-48.22222222222222,-33.666666666666664,-49.3,-54.666666666666664,-42.266666666666666,23.0
2020-04-02,-49.666666666666664,-35.125,-49.111111111111114,-54.5,-43.8,24.0
2020-04-03,-49.72727272727273,-33.1,-47.22222222222222,-55.333333333333336,-40.46666666666667,25.0
2020-04-04,-49.22222222222222,-32.0,-46.111111111111114,-54.166666666666664,-31.285714285714285,16.0
2020-04-05,-59.375,-42.0,-52.22222222222222,-63.5,-34.285714285714285,12.666666666666666
2020-04-06,-42.888888888888886,-32.22222222222222,-43.111111111111114,-55.833333333333336,-40.333333333333336,22.25
2020-04-07,-44.333333333333336,-31.5,-45.0,-53.5,-42.46666666666667,22.0
2020-04-08,-42.2,-26.11111111111111,-43.44444444444444,-52.333333333333336,-41.4,21.25
2020-04-09,-29.5,1.625,-29.77777777777778,-39.666666666666664,-39.86666666666667,17.8
2020-04-10,-83.6,-85.44444444444444,-71.77777777777777,-81.0,-77.53333333333333,41.333333333333336
2020-04-11,-58.0,-38.55555555555556,-54.18181818181818,-61.5,-40.142857142857146,20.0
2020-04-12,-65.875,-45.4,-61.25,-71.66666666666667,-41.214285714285715,14.333333333333334
2020-04-13,-80.88888888888889,-82.25,-67.77777777777777,-81.16666666666667,-76.53333333333333,38.666666666666664
2020-04-14,-34.75,-20.0,-39.888888888888886,-49.166666666666664,-39.666666666666664,18.8
2020-04-15,-45.0,-23.0,-48.4,-57.0,-44.0,26.5
2020-04-16,-49.6,-32.333333333333336,-52.333333333333336,-63.333333333333336,-44.86666666666667,28.75
2020-04-17,-51.18181818181818,-31.88888888888889,-51.666666666666664,-65.0,-43.666666666666664,31.25
2020-04-18,-46.6,-23.333333333333332,-46.5,-52.166666666666664,-30.214285714285715,15.666666666666666
2020-04-19,-65.75,-58.2,-62.333333333333336,-74.66666666666667,-35.785714285714285,16.333333333333332
2020-04-20,-50.77777777777778,-41.666666666666664,-53.111111111111114,-66.16666666666667,-44.8,26.8
2020-04-21,-51.5,-40.44444444444444,-54.22222222222222,-65.16666666666667,-45.266666666666666,26.6
2020-04-22,-51.55555555555556,-36.22222222222222,-51.1,-58.333333333333336,-46.666666666666664,27.0
2020-04-23,-53.6,-42.888888888888886,-56.333333333333336,-65.5,-47.4,29.5
2020-04-24,-50.36363636363637,-33.666666666666664,-49.55555555555556,-57.333333333333336,-44.4,28.75
2020-04-25,-47.5,-31.22222222222222,-49.3,-53.0,-31.571428571428573,17.333333333333332
2020-04-26,-66.0,-55.4,-62.111111111111114,-73.2,-36.0,16.0
2020-04-27,-45.111111111111114,-35.55555555555556,-50.55555555555556,-62.0,-43.6,28.0
2020-04-28,-51.6,-43.77777777777778,-54.333333333333336,-66.16666666666667,-46.8,26.0
2020-04-29,-46.8,-32.55555555555556,-51.6,-58.833333333333336,-45.266666666666666,27.25
2020-04-30,-53.77777777777778,-42.55555555555556,-54.77777777777778,-65.83333333333333,-46.333333333333336,29.5
2020-05-01,-49.45454545454545,-36.111111111111114,-50.44444444444444,-57.5,-41.93333333333333,27.75
2020-05-02,-47.111111111111114,-33.0,-50.888888888888886,-54.5,-30.785714285714285,16.333333333333332
2020-05-03,-60.125,-42.6,-59.44444444444444,-68.16666666666667,-33.714285714285715,13.666666666666666
2020-05-04,-45.77777777777778,-40.333333333333336,-54.111111111111114,-59.666666666666664,-42.666666666666664,24.6
2020-05-05,-47.0,-37.0,-51.888888888888886,-57.666666666666664,-43.333333333333336,25.25
2020-05-06,-44.7,-33.77777777777778,-47.55555555555556,-54.5,-41.733333333333334,25.0
2020-05-07,-45.44444444444444,-32.666666666666664,-49.22222222222222,-54.0,-42.93333333333333,25.75
2020-05-08,-45.36363636363637,-29.11111111111111,-45.44444444444444,-52.666666666666664,-39.4,26.2
2020-05-09,-38.7,-20.666666666666668,-44.666666666666664,-45.666666666666664,-24.928571428571427,14.666666666666666
2020-05-10,-48.875,-26.2,-52.0,-61.166666666666664,-28.857142857142858,11.333333333333334
2020-05-11,-42.0,-33.888888888888886,-43.333333333333336,-55.333333333333336,-38.86666666666667,23.8
2020-05-12,-41.875,-31.666666666666668,-45.111111111111114,-54.166666666666664,-40.06666666666667,23.0
2020-05-13,-41.888888888888886,-29.11111111111111,-42.333333333333336,-52.166666666666664,-38.86666666666667,21.833333333333332
2020-05-14,-40.6,-29.333333333333332,-43.875,-50.5,-39.53333333333333,21.4
2020-05-15,-41.81818181818182,-27.0,-34.888888888888886,-50.166666666666664,-36.13333333333333,24.0
2020-05-16,-38.4,-23.0,-33.44444444444444,-46.833333333333336,-22.142857142857142,16.0
2020-05-17,-53.5,-39.2,-46.55555555555556,-62.5,-24.357142857142858,11.333333333333334
2020-05-18,-39.125,-29.555555555555557,-36.22222222222222,-52.5,-35.93333333333333,20.857142857142858
2020-05-19,-41.888888888888886,-32.77777777777778,-39.625,-52.666666666666664,-38.06666666666667,20.833333333333332
2020-05-20,-39.333333333333336,-30.11111111111111,-36.625,-50.666666666666664,-36.53333333333333,21.166666666666668
2020-05-21,-38.333333333333336,-27.125,-40.875,-48.5,-38.266666666666666,23.2
2020-05-22,-34.72727272727273,-21.444444444444443,-36.5,-45.666666666666664,-33.4,21.5
2020-05-23,-30.6,-14.666666666666666,-33.75,-41.0,-19.0,13.0
2020-05-24,-59.5,-42.4,-55.888888888888886,-67.5,-29.214285714285715,13.0
2020-05-25,-76.11111111111111,-80.0,-60.888888888888886,-75.0,-73.53333333333333,37.333333333333336
2020-05-26,-25.0,-12.88888888888889,-31.125,-43.666666666666664,-32.46666666666667,15.857142857142858
2020-05-27,-30.375,-19.22222222222222,-36.42857142857143,-42.833333333333336,-32.666666666666664,18.142857142857142
2020-05-28,-31.0,-19.666666666666668,-35.0,-42.833333333333336,-34.13333333333333,19.0
2020-05-29,-34.81818181818182,-22.444444444444443,-35.75,-42.166666666666664,-31.6,21.166666666666668
2020-05-30,-31.2,-17.22222222222222,-32.875,-38.333333333333336,-15.571428571428571,13.0
2020-05-31,-45.0,-30.2,-39.0,-56.0,-15.071428571428571,9.333333333333334
2020-06-01,-30.875,-23.0,-32.125,-45.333333333333336,-29.0,17.571428571428573
2020-06-02,-33.5,-25.333333333333332,-34.875,-44.5,-30.866666666666667,18.142857142857142
2020-06-03,-33.375,-23.444444444444443,-35.57142857142857,-44.0,-29.8,17.857142857142858
2020-06-04,-33.25,-21.11111111111111,-33.875,-42.666666666666664,-31.0,17.857142857142858
2020-06-05,-33.90909090909091,-22.0,-39.0,-41.666666666666664,-28.066666666666666,18.857142857142858
2020-06-06,-30.6,-16.11111111111111,-31.625,-37.833333333333336,-12.714285714285714,12.25
2020-06-07,-41.5,-29.8,-32.888888888888886,-53.666666666666664,-13.538461538461538,9.0
2020-06-08,-30.5,-22.22222222222222,-36.142857142857146,-44.0,-26.6,15.857142857142858
2020-06-09,-32.75,-26.77777777777778,-35.625,-43.833333333333336,-29.4,16.857142857142858
2020-06-10,-31.125,-23.0,-35.57142857142857,-42.5,-28.6,16.428571428571427
2020-06-11,-31.125,-23.333333333333332,-33.875,-42.166666666666664,-28.733333333333334,16.857142857142858
2020-06-12,-30.727272727272727,-19.333333333333332,-30.25,-39.0,-25.933333333333334,17.142857142857142
2020-06-13,-30.6,-19.0,-30.5,-39.666666666666664,-13.428571428571429,12.75
2020-06-14,-40.625,-30.6,-33.77777777777778,-53.666666666666664,-13.0,8.666666666666666
2020-06-15,-27.125,-20.444444444444443,-35.0,-38.833333333333336,-25.6,15.857142857142858
2020-06-16,-27.0,-19.22222222222222,-35.42857142857143,-37.333333333333336,-26.866666666666667,15.285714285714286
2020-06-17,-28.125,-19.333333333333332,-34.142857142857146,-38.333333333333336,-26.933333333333334,15.285714285714286
2020-06-18,-30.25,-20.11111111111111,-33.285714285714285,-36.333333333333336,-28.4,15.857142857142858
2020-06-19,-29.0,-16.22222222222222,-28.75,-34.666666666666664,-24.8,15.285714285714286
2020-06-20,-24.7,-10.777777777777779,-23.25,-33.333333333333336,-10.5,10.75
2020-06-21,-33.625,-25.6,-20.22222222222222,-49.666666666666664,-11.214285714285714,7.333333333333333
2020-06-22,-28.5,-21.77777777777778,-33.0,-40.333333333333336,-26.8,15.571428571428571
2020-06-23,-28.666666666666668,-18.77777777777778,-34.142857142857146,-36.833333333333336,-28.266666666666666,15.285714285714286
2020-06-24,-26.75,-18.666666666666668,-31.857142857142858,-38.833333333333336,-27.066666666666666,15.142857142857142
2020-06-25,-22.25,-10.777777777777779,-30.142857142857142,-32.0,-26.666666666666668,14.714285714285714
2020-06-26,-20.8,-9.444444444444445,-24.125,-30.0,-24.466666666666665,14.571428571428571
2020-06-27,-20.5,-8.555555555555555,-19.125,-28.333333333333332,-12.071428571428571,9.0
2020-06-28,-29.125,-19.6,-18.444444444444443,-46.166666666666664,-13.285714285714286,6.333333333333333
2020-06-29,-20.375,-14.11111111111111,-29.857142857142858,-34.666666666666664,-25.4,13.428571428571429
2020-06-30,-21.625,-17.22222222222222,-29.714285714285715,-34.166666666666664,-26.533333333333335,13.714285714285714
2020-07-01,-22.5,-15.0,-32.375,-30.833333333333332,-26.133333333333333,13.428571428571429
2020-07-02,-23.125,-13.444444444444445,-25.125,-27.833333333333332,-26.6,14.142857142857142
2020-07-03,-21.5,-13.555555555555555,-23.75,-28.0,-24.466666666666665,14.857142857142858
2020-07-04,-21.9,-13.333333333333334,-20.5,-29.5,-11.5,9.75
2020-07-05,-30.5,-23.4,-18.444444444444443,-44.333333333333336,-11.0,7.333333333333333
2020-07-06,-21.5,-14.777777777777779,-28.428571428571427,-33.666666666666664,-26.533333333333335,14.285714285714286
2020-07-07,-21.25,-14.11111111111111,-26.25,-30.666666666666668,-28.4,13.714285714285714
2020-07-08,-24.25,-17.88888888888889,-38.375,-33.166666666666664,-27.666666666666668,13.714285714285714
2020-07-09,-22.75,-13.777777777777779,-29.285714285714285,-29.833333333333332,-28.133333333333333,13.571428571428571
2020-07-10,-22.7,-12.11111111111111,-24.375,-28.5,-25.533333333333335,14.428571428571429
2020-07-11,-21.9,-10.333333333333334,-19.5,-27.166666666666668,-11.857142857142858,9.75
2020-07-12,-29.375,-21.4,-18.0,-41.0,-10.846153846153847,7.0
2020-07-13,-20.875,-14.555555555555555,-30.714285714285715,-34.833333333333336,-26.666666666666668,13.857142857142858
2020-07-14,-23.666666666666668,-15.88888888888889,-30.428571428571427,-32.666666666666664,-29.133333333333333,13.857142857142858
2020-07-15,-22.75,-15.444444444444445,-33.375,-32.333333333333336,-27.266666666666666,13.857142857142858
2020-07-16,-22.0,-13.0,-24.125,-29.833333333333332,-27.6,13.857142857142858
2020-07-17,-24.272727272727273,-13.0,-23.5,-30.0,-25.066666666666666,14.428571428571429
2020-07-18,-22.9,-12.333333333333334,-19.5,-27.833333333333332,-11.285714285714286,9.75
2020-07-19,-30.75,-21.0,-21.666666666666668,-42.333333333333336,-11.428571428571429,7.333333333333333
2020-07-20,-22.75,-17.444444444444443,-27.375,-34.0,-27.933333333333334,13.857142857142858
2020-07-21,-23.0,-16.77777777777778,-27.125,-31.666666666666668,-28.6,13.428571428571429
2020-07-22,-21.875,-15.222222222222221,-30.333333333333332,-32.333333333333336,-26.6,13.857142857142858
2020-07-23,-20.555555555555557,-8.555555555555555,-24.5,-27.666666666666668,-26.733333333333334,13.571428571428571
2020-07-24,-18.3,-6.0,-15.75,-23.166666666666668,-24.533333333333335,13.0
2020-07-25,-14.444444444444445,-3.3333333333333335,-9.5,-20.833333333333332,-10.428571428571429,8.0
2020-07-26,-21.5,-10.4,-11.333333333333334,-35.666666666666664,-11.692307692307692,5.333333333333333
2020-07-27,-14.5,-9.222222222222221,-21.285714285714285,-28.5,-26.2,13.142857142857142
2020-07-28,-15.125,-7.444444444444445,-21.428571428571427,-26.5,-26.0,12.142857142857142
2020-07-29,-16.125,-7.333333333333333,-24.375,-25.833333333333332,-27.733333333333334,11.857142857142858
2020-07-30,-14.5,-2.4444444444444446,-15.25,-19.833333333333332,-27.266666666666666,11.285714285714286
2020-07-31,-16.5,1.2222222222222223,-16.375,-22.333333333333332,-25.266666666666666,12.0
2020-08-01,-46.81818181818182,-49.375,-27.75,-41.833333333333336,-37.214285714285715,12.666666666666666
2020-08-02,-20.5,-11.8,-13.666666666666666,-36.833333333333336,-12.615384615384615,6.333333333333333
2020-08-03,-13.666666666666666,-4.555555555555555,-18.714285714285715,-27.666666666666668,-26.8,12.571428571428571
2020-08-04,-12.5,-2.6666666666666665,-18.142857142857142,-23.333333333333332,-27.733333333333334,12.0
2020-08-05,-3.625,11.25,-11.0,-15.833333333333334,-26.466666666666665,9.428571428571429
2020-08-06,-48.333333333333336,-62.0,-21.714285714285715,-50.5,-65.4,28.0
2020-08-07,-14.6,-4.555555555555555,-13.25,-18.5,-27.6,12.0
2020-08-08,-15.444444444444445,-7.0,-9.5,-19.333333333333332,-12.071428571428571,7.5
2020-08-09,-20.625,-15.2,-7.777777777777778,-35.5,-10.357142857142858,5.333333333333333
2020-08-10,-12.777777777777779,-7.666666666666667,-18.571428571428573,-26.333333333333332,-27.666666666666668,11.857142857142858
2020-08-11,-15.875,-10.666666666666666,-18.625,-27.0,-29.133333333333333,12.428571428571429
2020-08-12,-15.375,-10.777777777777779,-17.714285714285715,-25.166666666666668,-27.933333333333334,12.285714285714286
2020-08-13,-16.5,-8.222222222222221,-19.0,-21.333333333333332,-29.133333333333333,11.714285714285714
2020-08-14,-18.2,-9.555555555555555,-15.375,-21.166666666666668,-26.8,12.714285714285714
2020-08-15,-16.88888888888889,-11.0,-16.875,-21.833333333333332,-11.714285714285714,8.5
2020-08-16,-21.25,-16.2,-16.333333333333332,-35.833333333333336,-11.928571428571429,6.0
2020-08-17,-17.5,-7.0,-26.0,-9.666666666666666,-29.5,12.142857142857142
2020-08-18,-22.0,-11.5,-29.0,-14.333333333333334,-31.0,12.285714285714286
2020-08-19,-19.5,-8.5,-27.0,-12.333333333333334,-30.25,11.714285714285714
2020-08-20,-28.0,-17.5,-34.0,-24.333333333333332,-33.25,14.714285714285714
2020-08-21,-17.333333333333332,-4.0,-24.0,-9.666666666666666,-29.5,13.428571428571429
2020-08-22,-27.333333333333332,-14.5,-22.0,-14.333333333333334,-15.666666666666666,9.75
2020-08-23,-36.5,-18.0,-33.0,-31.0,-15.666666666666666,7.666666666666667
2020-08-24,-35.5,-27.5,-40.0,-31.0,-38.5,16.666666666666668
2020-08-25,-22.5,-10.0,-32.0,-15.333333333333334,-33.5,13.0
2020-08-26,-21.0,-6.5,-29.0,-13.333333333333334,-33.0,13.142857142857142
2020-08-27,-23.0,-9.5,-27.0,-14.666666666666666,-33.5,12.428571428571429
2020-08-28,-24.333333333333332,-10.0,-25.0,-14.0,-31.75,13.714285714285714
2020-08-29,-23.0,-10.0,-21.0,-15.333333333333334,-17.666666666666668,9.0
2020-08-30,-34.0,-14.0,-35.0,-29.333333333333332,-15.0,7.333333333333333
2020-08-31,-24.0,-15.5,-27.0,-18.333333333333332,-32.5,12.571428571428571
2020-09-01,-26.0,-13.5,-35.0,-20.333333333333332,-36.0,14.285714285714286
2020-09-02,-27.0,-11.0,-35.0,-22.666666666666668,-35.5,13.285714285714286
2020-09-03,-41.0,-35.5,-39.0,-29.333333333333332,-48.75,18.2
2020-09-04,-26.0,-15.0,-32.0,-21.666666666666668,-35.0,16.0
2020-09-05,-22.666666666666668,-10.0,-24.0,-17.666666666666668,-18.333333333333332,10.25
2020-09-06,-36.5,-21.0,-37.0,-33.666666666666664,-16.666666666666668,8.0
2020-09-07,-23.0,-17.0,-30.0,-20.0,-35.0,14.142857142857142
2020-09-08,-28.5,-22.5,-35.0,-22.666666666666668,-36.75,13.571428571428571
2020-09-09,-28.5,-22.0,-35.0,-24.333333333333332,-35.5,12.285714285714286
2020-09-10,-27.5,-21.5,-29.0,-19.666666666666668,-36.25,11.857142857142858
2020-09-11,-30.181818181818183,-21.875,-22.333333333333332,-31.833333333333332,-32.46666666666667,12.0
2020-09-12,-26.0,-19.375,-18.5,-27.333333333333332,-18.857142857142858,8.75
2020-09-13,-30.5,-23.6,-31.11111111111111,-45.666666666666664,-16.428571428571427,6.333333333333333
2020-09-14,-23.11111111111111,-22.125,-20.5,-34.5,-30.933333333333334,11.0
2020-09-15,-26.22222222222222,-24.0,-21.88888888888889,-35.666666666666664,-32.53333333333333,12.0
2020-09-16,-27.0,-23.125,-28.555555555555557,-32.833333333333336,-33.266666666666666,12.0
2020-09-17,-28.444444444444443,-23.375,-23.75,-31.666666666666668,-34.53333333333333,12.714285714285714
2020-09-18,-30.90909090909091,-20.88888888888889,-19.666666666666668,-31.166666666666668,-30.2,13.571428571428571
2020-09-19,-25.5,-16.875,-17.0,-26.833333333333332,-18.285714285714285,9.75
2020-09-20,-31.25,-22.8,-27.88888888888889,-44.5,-17.071428571428573,7.0
2020-09-21,-27.25,-23.875,-26.0,-36.166666666666664,-32.0,12.571428571428571
2020-09-22,-31.0,-22.77777777777778,-29.77777777777778,-33.333333333333336,-35.8,11.714285714285714
2020-09-23,-31.666666666666668,-21.0,-36.3,-30.833333333333332,-34.0,11.25
2020-09-24,-32.77777777777778,-20.875,-38.55555555555556,-26.666666666666668,-35.46666666666667,12.5
2020-09-25,-30.363636363636363,-15.0,-27.666666666666668,-22.833333333333332,-31.066666666666666,12.25
2020-09-26,-26.5,-10.375,-23.8,-19.5,-18.857142857142858,7.0
