date,retail_and_recreation_percent_change_from_baseline_Panama,grocery_and_pharmacy_percent_change_from_baseline_Panama,parks_percent_change_from_baseline_Panama,transit_stations_percent_change_from_baseline_Panama,workplaces_percent_change_from_baseline_Panama,residential_percent_change_from_baseline_Panama
2020-02-15,12.5,12.5,11.5,10.5,5.0,-3.0
2020-02-16,12.5,13.5,5.0,10.5,4.0,-1.0
2020-02-17,4.5,5.5,-0.5,5.5,4.5,-1.0
2020-02-18,3.0,2.5,3.0,3.5,3.0,-1.0
2020-02-19,1.0,2.0,-2.0,4.5,4.0,-0.5
2020-02-20,6.0,6.5,-1.5,4.0,3.5,-2.0
2020-02-21,2.5,9.5,2.5,6.5,1.0,-1.5
2020-02-22,-13.5,-1.5,-4.0,-12.0,-15.5,-0.5
2020-02-23,-19.0,-12.0,8.5,-16.5,-11.0,-1.0
2020-02-24,-32.0,-21.5,17.5,-39.5,-66.5,11.5
2020-02-25,-42.5,-26.5,11.5,-42.5,-75.0,14.0
2020-02-26,-19.0,-11.5,-19.5,-23.0,-34.5,8.0
2020-02-27,0.0,3.5,-7.0,-4.0,-2.0,0.5
2020-02-28,5.5,7.5,-5.0,3.5,0.5,0.0
2020-02-29,16.0,15.5,-5.5,9.5,5.0,-1.5
2020-03-01,17.0,21.5,-9.5,11.0,6.5,1.0
2020-03-02,4.0,11.0,-3.5,5.5,5.5,-2.0
2020-03-03,2.0,10.0,0.5,5.5,5.0,-1.0
2020-03-04,-3.0,4.0,-1.5,5.0,6.5,0.0
2020-03-05,0.0,4.5,-0.5,3.5,6.5,0.0
2020-03-06,0.0,0.5,3.5,5.5,8.5,-1.0
2020-03-07,4.0,6.0,-4.0,3.0,5.0,2.0
2020-03-08,3.0,10.5,-4.0,2.5,3.0,3.0
2020-03-09,-4.0,4.5,-3.0,0.5,6.5,0.0
2020-03-10,-5.0,16.0,-6.0,-1.5,4.0,0.0
2020-03-11,-17.5,9.0,-18.0,-12.5,-1.0,6.0
2020-03-12,-18.5,7.5,-21.5,-18.0,-5.0,8.5
2020-03-13,-19.0,8.5,-21.0,-15.5,-5.5,9.5
2020-03-14,-23.5,3.5,-32.5,-18.0,-6.5,11.5
2020-03-15,-39.0,-6.0,-45.5,-27.0,-13.5,14.5
2020-03-16,-31.0,-12.0,-33.5,-25.5,-19.0,14.5
2020-03-17,-40.5,-19.0,-42.0,-34.5,-29.0,19.0
