date,retail_and_recreation_percent_change_from_baseline_Trinidad and Tobago,grocery_and_pharmacy_percent_change_from_baseline_Trinidad and Tobago,parks_percent_change_from_baseline_Trinidad and Tobago,transit_stations_percent_change_from_baseline_Trinidad and Tobago,workplaces_percent_change_from_baseline_Trinidad and Tobago,residential_percent_change_from_baseline_Trinidad and Tobago
2020-02-15,4.0,4.0,23.0,3.0,2.0,0.0
2020-02-16,19.0,9.0,16.0,10.0,3.0,-1.0
2020-02-17,11.0,8.0,11.0,13.0,0.0,0.0
2020-02-18,9.0,5.0,40.0,16.0,0.0,-1.0
2020-02-19,9.0,8.0,28.0,29.0,0.0,-1.0
2020-02-20,11.0,8.0,37.0,16.0,-2.0,-1.0
2020-02-21,12.0,15.0,34.0,19.0,-5.0,1.0
2020-02-22,7.0,12.0,70.0,29.0,-3.0,0.0
2020-02-23,37.0,27.0,49.0,17.0,10.0,-4.0
2020-02-24,-10.0,-15.0,153.0,-8.0,-73.0,12.0
2020-02-25,-21.0,-27.0,122.0,9.0,-75.0,15.0
2020-02-26,0.0,10.0,15.0,20.0,-16.0,5.0
2020-02-27,3.0,10.0,10.0,15.0,-6.0,3.0
2020-02-28,8.0,12.0,9.0,16.0,-4.0,2.0
2020-02-29,9.0,14.0,10.0,14.0,1.0,1.0
2020-03-01,15.0,15.0,15.0,15.0,3.0,0.0
2020-03-02,11.0,17.0,4.0,15.0,1.0,0.0
2020-03-03,7.0,15.0,3.0,9.0,1.0,0.0
2020-03-04,4.0,12.0,1.0,9.0,1.0,1.0
2020-03-05,-1.0,4.0,2.0,5.0,0.0,1.0
2020-03-06,3.0,6.0,5.0,5.0,2.0,1.0
2020-03-07,2.0,6.0,4.0,-1.0,3.0,1.0
2020-03-08,8.0,7.0,14.0,-7.0,4.0,0.0
2020-03-09,1.0,5.0,-1.0,-2.0,0.0,1.0
2020-03-10,1.0,5.0,1.0,1.0,0.0,1.0
2020-03-11,0.0,5.0,0.0,-1.0,-1.0,1.0
2020-03-12,-1.0,24.0,1.0,-3.0,-1.0,1.0
2020-03-13,-2.0,26.0,-5.0,-10.0,-1.0,2.0
2020-03-14,-15.0,12.0,-15.0,-22.0,-3.0,6.0
2020-03-15,-17.0,-1.0,-23.0,-28.0,-5.0,5.0
2020-03-16,-14.0,22.0,-18.0,-23.0,-21.0,10.0
2020-03-17,-25.0,6.0,-20.0,-26.0,-26.0,12.0
2020-03-18,-27.0,8.0,-20.0,-35.0,-29.0,14.0
2020-03-19,-33.0,-4.0,-24.0,-41.0,-31.0,15.0
2020-03-20,-34.0,0.0,-27.0,-42.0,-28.0,17.0
2020-03-21,-41.0,-7.0,-40.0,-49.0,-21.0,14.0
2020-03-22,-44.0,-18.0,-42.0,-49.0,-22.0,10.0
2020-03-23,-32.0,-9.0,-29.0,-48.0,-33.0,16.0
2020-03-24,-34.0,-9.0,-30.0,-51.0,-35.0,17.0
2020-03-25,-36.0,-8.0,-34.0,-53.0,-37.0,18.0
2020-03-26,-32.0,7.0,-32.0,-56.0,-38.0,18.0
