date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-02-15,0.8095238095238095,-0.6190476190476191,-0.47619047619047616,4.384615384615385,2.3333333333333335,-0.1
2020-02-16,-9.380952380952381,-5.857142857142857,-11.333333333333334,-0.6923076923076923,-1.9,0.8333333333333334
2020-02-17,-2.761904761904762,-3.4761904761904763,-20.6,-3.0714285714285716,7.0476190476190474,1.2
2020-02-18,-1.5238095238095237,0.047619047619047616,-15.55,1.5384615384615385,8.19047619047619,0.8125
2020-02-19,5.0,1.7619047619047619,-0.6842105263157895,3.1538461538461537,9.619047619047619,-0.75
2020-02-20,1.1904761904761905,-1.2380952380952381,-10.7,1.1538461538461537,7.428571428571429,-0.23529411764705882
2020-02-21,2.142857142857143,0.9047619047619048,-18.95,2.4285714285714284,7.904761904761905,0.125
2020-02-22,12.571428571428571,8.571428571428571,-4.428571428571429,1.4615384615384615,3.6666666666666665,0.6
2020-02-23,19.285714285714285,10.476190476190476,10.0,-4.7272727272727275,2.4,2.3333333333333335
2020-02-24,3.857142857142857,-2.3333333333333335,34.666666666666664,-8.214285714285714,-26.666666666666668,4.0
2020-02-25,-12.142857142857142,-11.285714285714286,2.15,-4.153846153846154,-26.666666666666668,4.0
2020-02-26,2.4761904761904763,4.714285714285714,-4.0,6.769230769230769,8.761904761904763,-0.3125
2020-02-27,-3.619047619047619,-3.857142857142857,-2.1,-0.6923076923076923,8.142857142857142,0.5625
2020-02-28,2.761904761904762,0.5714285714285714,-5.1,-1.4285714285714286,9.619047619047619,0.0625
2020-02-29,6.857142857142857,6.238095238095238,-4.809523809523809,-5.0,5.0,0.8
2020-03-01,-5.238095238095238,3.0,-9.80952380952381,-13.76923076923077,-3.25,4.166666666666667
2020-03-02,7.333333333333333,12.428571428571429,-12.95,-1.8571428571428572,18.238095238095237,-0.4117647058823529
2020-03-03,5.9523809523809526,15.714285714285714,-11.15,-0.3076923076923077,22.761904761904763,-1.0555555555555556
2020-03-04,8.761904761904763,16.952380952380953,-9.1,6.3076923076923075,25.761904761904763,-1.8888888888888888
2020-03-05,3.238095238095238,8.19047619047619,-13.15,3.6923076923076925,26.428571428571427,-1.7777777777777777
2020-03-06,7.9523809523809526,9.666666666666666,-10.45,8.071428571428571,28.142857142857142,-2.888888888888889
2020-03-07,8.857142857142858,9.714285714285714,-4.666666666666667,-6.230769230769231,7.238095238095238,1.1
2020-03-08,5.0,7.095238095238095,-5.428571428571429,-7.833333333333333,1.65,2.8333333333333335
2020-03-09,4.619047619047619,6.0476190476190474,-20.736842105263158,5.0,29.38095238095238,-2.0555555555555554
2020-03-10,-0.6190476190476191,5.428571428571429,-22.1,1.3076923076923077,29.0,-1.8888888888888888
2020-03-11,-2.142857142857143,2.5238095238095237,-26.714285714285715,-1.3846153846153846,27.904761904761905,-1.6111111111111112
2020-03-12,-5.523809523809524,1.0476190476190477,-21.714285714285715,-3.6923076923076925,27.0,-1.4210526315789473
2020-03-13,-3.6666666666666665,8.285714285714286,-23.4,-1.0,28.0,-2.388888888888889
2020-03-14,-25.19047619047619,5.0476190476190474,-50.04761904761905,-30.846153846153847,0.19047619047619047,8.88888888888889
2020-03-15,-37.095238095238095,-4.142857142857143,-55.714285714285715,-43.46666666666667,-10.05,12.166666666666666
2020-03-16,-24.428571428571427,-5.380952380952381,-40.714285714285715,-30.071428571428573,2.4285714285714284,7.333333333333333
2020-03-17,-40.0,-17.952380952380953,-53.95238095238095,-38.733333333333334,-5.857142857142857,10.533333333333333
2020-03-18,-44.38095238095238,-12.904761904761905,-59.19047619047619,-45.733333333333334,-15.047619047619047,13.928571428571429
2020-03-19,-49.666666666666664,-20.714285714285715,-59.42857142857143,-48.666666666666664,-18.714285714285715,15.0
2020-03-20,-48.80952380952381,-20.285714285714285,-57.904761904761905,-50.23529411764706,-19.476190476190474,16.153846153846153
2020-03-21,-57.714285714285715,-27.238095238095237,-64.61904761904762,-60.529411764705884,-21.61904761904762,18.0
2020-03-22,-70.14285714285714,-41.095238095238095,-74.95238095238095,-70.5,-29.142857142857142,21.0
2020-03-23,-51.0,-27.285714285714285,-63.476190476190474,-55.94117647058823,-24.952380952380953,17.0
2020-03-24,-57.76190476190476,-38.04761904761905,-65.9047619047619,-59.72222222222222,-29.761904761904763,18.2
2020-03-25,-56.857142857142854,-36.42857142857143,-65.47619047619048,-59.470588235294116,-30.714285714285715,19.333333333333332
2020-03-26,-60.095238095238095,-40.333333333333336,-66.0952380952381,-61.35294117647059,-32.19047619047619,20.22222222222222
