date,retail_and_recreation_percent_change_from_baseline_Venezuela,grocery_and_pharmacy_percent_change_from_baseline_Venezuela,parks_percent_change_from_baseline_Venezuela,transit_stations_percent_change_from_baseline_Venezuela,workplaces_percent_change_from_baseline_Venezuela,residential_percent_change_from_baseline_Venezuela
2020-02-15,8.0,2.0,3.0,2.0,5.0,-1.0
2020-02-16,5.0,2.0,1.0,1.0,3.0,0.0
2020-02-17,6.0,3.0,4.0,3.0,10.0,-1.0
2020-02-18,3.0,0.0,0.0,1.0,6.0,-1.0
2020-02-19,5.0,0.0,4.0,4.0,5.0,-3.0
2020-02-20,6.0,3.0,8.0,7.0,7.0,-2.0
2020-02-21,8.0,7.0,8.0,5.0,-6.0,1.0
2020-02-22,8.0,7.0,12.0,10.0,6.0,-1.0
2020-02-23,17.0,13.0,35.0,9.0,6.0,-3.0
2020-02-24,-17.0,-11.0,36.0,-25.0,-54.0,6.0
2020-02-25,-31.0,-24.0,3.0,-32.0,-59.0,9.0
2020-02-26,-2.0,-3.0,0.0,-1.0,2.0,0.0
2020-02-27,1.0,3.0,3.0,2.0,6.0,1.0
2020-02-28,7.0,6.0,3.0,3.0,12.0,-1.0
2020-02-29,10.0,8.0,5.0,7.0,11.0,1.0
2020-03-01,8.0,9.0,1.0,4.0,7.0,1.0
2020-03-02,7.0,6.0,5.0,5.0,12.0,-1.0
2020-03-03,6.0,5.0,3.0,3.0,9.0,-1.0
2020-03-04,7.0,5.0,5.0,6.0,9.0,0.0
2020-03-05,4.0,2.0,4.0,3.0,7.0,-1.0
2020-03-06,7.0,2.0,3.0,4.0,13.0,-2.0
2020-03-07,8.0,4.0,1.0,5.0,9.0,-1.0
2020-03-08,9.0,4.0,3.0,2.0,7.0,0.0
2020-03-09,5.0,3.0,4.0,3.0,11.0,-2.0
2020-03-10,-1.0,2.0,1.0,-5.0,3.0,2.0
2020-03-11,7.0,4.0,9.0,8.0,11.0,0.0
2020-03-12,5.0,7.0,5.0,4.0,10.0,0.0
2020-03-13,4.0,20.0,0.0,3.0,13.0,-1.0
2020-03-14,-6.0,16.0,-11.0,-2.0,6.0,3.0
2020-03-15,-21.0,4.0,-23.0,-16.0,0.0,4.0
2020-03-16,-35.0,-5.0,-30.0,-39.0,-33.0,12.0
2020-03-17,-51.0,-21.0,-43.0,-54.0,-50.0,18.0
2020-03-18,-57.0,-28.0,-46.0,-60.0,-54.0,20.0
2020-03-19,-62.0,-36.0,-51.0,-63.0,-56.0,22.0
2020-03-20,-63.0,-37.0,-53.0,-64.0,-54.0,23.0
2020-03-21,-63.0,-40.0,-57.0,-62.0,-38.0,19.0
2020-03-22,-64.0,-45.0,-58.0,-64.0,-30.0,15.0
2020-03-23,-63.0,-40.0,-53.0,-65.0,-57.0,22.0
2020-03-24,-65.0,-42.0,-55.0,-67.0,-60.0,23.0
2020-03-25,-64.0,-40.0,-53.0,-65.0,-59.0,24.0
2020-03-26,-64.0,-40.0,-53.0,-64.0,-59.0,23.0
2020-03-27,-64.0,-38.0,-55.0,-64.0,-55.0,24.0
2020-03-28,-61.0,-38.0,-55.0,-60.0,-35.0,19.0
2020-03-29,-62.0,-44.0,-57.0,-62.0,-25.0,16.0
2020-03-30,-62.0,-41.0,-52.0,-64.0,-55.0,21.0
2020-03-31,-62.0,-39.0,-53.0,-64.0,-57.0,22.0
2020-04-01,-63.0,-40.0,-52.0,-64.0,-57.0,23.0
2020-04-02,-64.0,-40.0,-54.0,-64.0,-58.0,23.0
2020-04-03,-65.0,-41.0,-55.0,-66.0,-56.0,23.0
2020-04-04,-63.0,-41.0,-58.0,-63.0,-37.0,19.0
2020-04-05,-65.0,-48.0,-58.0,-65.0,-29.0,15.0
2020-04-06,-62.0,-41.0,-51.0,-64.0,-55.0,20.0
2020-04-07,-62.0,-37.0,-53.0,-64.0,-58.0,20.0
2020-04-08,-59.0,-32.0,-49.0,-61.0,-58.0,21.0
2020-04-09,-68.0,-44.0,-56.0,-67.0,-67.0,25.0
