sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Antioquia,2020-02-15,-5.523809523809524,0.2857142857142857,-13.703703703703704,2.0,5.56,-0.06666666666666667
Antioquia,2020-02-16,-1.45,8.076923076923077,-14.927272727272728,-6.571428571428571,-1.1,1.7272727272727273
Antioquia,2020-02-17,-2.6666666666666665,3.1666666666666665,-1.0851063829787233,9.285714285714286,11.793103448275861,-1.5789473684210527
Antioquia,2020-02-18,-4.277777777777778,-1.1818181818181819,-1.3043478260869565,8.714285714285714,12.241379310344827,-2.4210526315789473
Antioquia,2020-02-19,-3.7777777777777777,-4.818181818181818,-4.760869565217392,10.571428571428571,8.827586206896552,-2.0
Antioquia,2020-02-20,-3.5555555555555554,-3.272727272727273,-3.9583333333333335,5.571428571428571,4.466666666666667,-0.5789473684210527
Antioquia,2020-02-21,-8.263157894736842,-7.666666666666667,-10.2,5.857142857142857,11.448275862068966,0.1111111111111111
Antioquia,2020-02-22,-9.142857142857142,-5.2,-10.666666666666666,0.2857142857142857,6.384615384615385,0.25
Antioquia,2020-02-23,-4.45,-0.8461538461538461,-6.851851851851852,-3.0,0.8947368421052632,1.3636363636363635
Antioquia,2020-02-24,-7.722222222222222,-6.583333333333333,-7.75,2.4285714285714284,12.206896551724139,-1.0
Antioquia,2020-02-25,-7.611111111111111,-6.2727272727272725,-7.319148936170213,3.142857142857143,13.8,-1.5263157894736843
Antioquia,2020-02-26,-5.444444444444445,-4.818181818181818,-1.0434782608695652,1.1428571428571428,11.241379310344827,-1.736842105263158
Antioquia,2020-02-27,-6.555555555555555,-2.6363636363636362,-8.244897959183673,3.4285714285714284,10.966666666666667,-1.2105263157894737
Antioquia,2020-02-28,-4.526315789473684,6.416666666666667,-6.784313725490196,14.857142857142858,20.074074074074073,-1.894736842105263
Antioquia,2020-02-29,-2.380952380952381,8.928571428571429,-3.056603773584906,5.5,8.541666666666666,-1.25
Antioquia,2020-03-01,-0.6,15.384615384615385,-5.872727272727273,8.0,4.0,0.6363636363636364
Antioquia,2020-03-02,-1.1176470588235294,9.833333333333334,-2.5319148936170213,21.428571428571427,13.827586206896552,-1.5263157894736843
Antioquia,2020-03-03,-3.2941176470588234,5.545454545454546,-2.617021276595745,12.285714285714286,14.633333333333333,-1.894736842105263
Antioquia,2020-03-04,-5.166666666666667,1.0,-2.891304347826087,3.5,11.275862068965518,-1.263157894736842
Antioquia,2020-03-05,-4.0,2.272727272727273,-3.2244897959183674,14.0,12.0,-1.4210526315789473
Antioquia,2020-03-06,-6.894736842105263,-1.5833333333333333,-8.431372549019608,14.428571428571429,20.655172413793103,-1.3157894736842106
Antioquia,2020-03-07,-4.619047619047619,1.2,-8.462962962962964,8.285714285714286,11.304347826086957,-0.11764705882352941
Antioquia,2020-03-08,4.75,6.846153846153846,-4.203703703703703,2.0,5.578947368421052,1.2
Antioquia,2020-03-09,-8.882352941176471,-4.666666666666667,-9.851063829787234,14.428571428571429,12.466666666666667,-0.3684210526315789
Antioquia,2020-03-10,-10.833333333333334,-4.454545454545454,-9.361702127659575,8.714285714285714,13.310344827586206,-0.9473684210526315
Antioquia,2020-03-11,-11.444444444444445,-7.454545454545454,-8.91304347826087,8.571428571428571,9.448275862068966,-0.21052631578947367
Antioquia,2020-03-12,-11.444444444444445,-5.818181818181818,-10.489795918367347,6.714285714285714,9.333333333333334,-0.05263157894736842
Antioquia,2020-03-13,-13.052631578947368,-5.0,-13.568627450980392,3.7142857142857144,17.379310344827587,0.2631578947368421
Antioquia,2020-03-14,-9.428571428571429,7.714285714285714,-9.963636363636363,-9.875,9.956521739130435,0.75
Antioquia,2020-03-15,-12.5,10.615384615384615,-11.37037037037037,-14.0,2.4210526315789473,3.1818181818181817
Antioquia,2020-03-16,-13.166666666666666,13.333333333333334,-8.787234042553191,-17.857142857142858,-3.466666666666667,4.555555555555555
Antioquia,2020-03-17,-23.555555555555557,8.5,-14.25531914893617,-33.0,-10.612903225806452,8.444444444444445
Antioquia,2020-03-18,-28.58823529411765,-1.8181818181818181,-19.217391304347824,-37.714285714285715,-17.551724137931036,11.555555555555555
Antioquia,2020-03-19,-32.611111111111114,-9.090909090909092,-22.16,-44.25,-20.75,13.222222222222221
Antioquia,2020-03-20,-35.1578947368421,8.0,-24.46,-41.42857142857143,-20.533333333333335,14.6875
Antioquia,2020-03-21,-85.16666666666667,-65.875,-75.43137254901961,-79.85714285714286,-65.36363636363636,32.857142857142854
Antioquia,2020-03-22,-86.38888888888889,-68.13333333333334,-77.48979591836735,-81.0,-59.80769230769231,26.333333333333332
Antioquia,2020-03-23,-87.0,-70.33333333333333,-72.2,-85.85714285714286,-77.29729729729729,39.666666666666664
Antioquia,2020-03-24,-67.94444444444444,-44.54545454545455,-53.638297872340424,-67.375,-55.81578947368421,29.333333333333332
Antioquia,2020-03-25,-79.6470588235294,-66.92307692307692,-69.41666666666667,-82.71428571428571,-68.1891891891892,37.55555555555556
Antioquia,2020-03-26,-79.23529411764706,-63.0,-69.16326530612245,-84.14285714285714,-67.89189189189189,38.22222222222222
Antioquia,2020-03-27,-79.88888888888889,-61.61538461538461,-69.56,-82.57142857142857,-64.10810810810811,40.44444444444444
Antioquia,2020-03-28,-80.89473684210526,-62.6875,-73.47169811320755,-84.0,-60.96969696969697,31.571428571428573
Antioquia,2020-03-29,-85.66666666666667,-70.93333333333334,-78.53061224489795,-86.85714285714286,-58.92,25.8
Antioquia,2020-03-30,-75.11764705882354,-56.666666666666664,-65.14,-82.71428571428571,-64.6842105263158,35.44444444444444
Antioquia,2020-03-31,-73.72222222222223,-52.25,-62.93877551020408,-82.57142857142857,-63.89473684210526,35.1
Antioquia,2020-04-01,-73.41176470588235,-53.23076923076923,-62.62,-81.57142857142857,-65.0,35.0
Antioquia,2020-04-02,-74.17647058823529,-54.083333333333336,-62.78846153846154,-81.71428571428571,-64.44736842105263,36.45454545454545
Antioquia,2020-04-03,-75.3157894736842,-56.0,-65.69811320754717,-81.28571428571429,-60.83783783783784,38.63636363636363
Antioquia,2020-04-04,-80.3157894736842,-62.266666666666666,-71.52830188679245,-82.57142857142857,-59.625,32.25
Antioquia,2020-04-05,-85.23529411764706,-70.2,-77.65306122448979,-86.42857142857143,-57.28,25.6
