Category: All categories

Week,Fever: (Antigua & Barbuda),Headache: (Antigua & Barbuda),Cough: (Antigua & Barbuda)
2020-01-05,77,0,19
2020-01-12,55,46,0
2020-01-19,8,8,25
2020-01-26,38,30,8
2020-02-02,39,15,8
2020-02-09,25,25,42
2020-02-16,17,17,17
2020-02-23,17,8,17
2020-03-01,18,18,36
2020-03-08,28,9,47
2020-03-15,38,38,47
2020-03-22,42,0,32
2020-03-29,63,53,11
2020-04-05,10,21,31
2020-04-12,11,32,42
2020-04-19,11,23,34
2020-04-26,24,12,0
2020-05-03,41,41,14
2020-05-10,11,11,11
2020-05-17,0,30,30
2020-05-24,10,10,31
2020-05-31,12,12,0
2020-06-07,11,11,0
2020-06-14,21,10,21
2020-06-21,0,0,0
2020-06-28,11,11,11
2020-07-05,22,11,11
2020-07-12,12,24,0
2020-07-19,0,25,12
2020-07-26,0,13,0
2020-08-02,24,0,0
2020-08-09,13,13,13
2020-08-16,0,26,26
2020-08-23,13,0,13
2020-08-30,14,14,0
2020-09-06,0,13,0
2020-09-13,25,25,0
2020-09-20,0,51,0
2020-09-27,26,0,26
2020-10-04,39,51,13
2020-10-11,13,27,0
2020-10-18,38,13,13
2020-10-25,15,30,15
2020-11-01,65,26,0
2020-11-08,29,0,0
2020-11-15,29,29,15
2020-11-22,43,14,29
2020-11-29,14,28,0
2020-12-06,0,28,57
2020-12-13,0,39,39
2020-12-20,26,26,13
2020-12-27,12,49,37
2021-01-03,35,35,0
2021-01-10,46,35,23
2021-01-17,24,0,0
2021-01-24,35,12,12
2021-01-31,24,12,24
2021-02-07,34,80,0
2021-02-14,46,46,12
2021-02-21,0,47,12
2021-02-28,24,12,12
2021-03-07,36,48,12
2021-03-14,34,0,0
2021-03-21,12,12,24
2021-03-28,37,0,0
2021-04-04,12,0,25
2021-04-11,12,36,24
2021-04-18,36,12,0
2021-04-25,35,35,0
2021-05-02,0,37,12
2021-05-09,0,12,0
2021-05-16,13,39,0
2021-05-23,27,53,13
2021-05-30,0,14,0
2021-06-06,0,40,0
2021-06-13,14,14,0
2021-06-20,14,14,14
2021-06-27,0,27,0
2021-07-04,41,41,27
2021-07-11,13,78,0
2021-07-18,40,54,0
2021-07-25,0,26,26
2021-08-01,0,27,0
2021-08-08,24,12,12
2021-08-15,38,38,0
2021-08-22,0,28,42
2021-08-29,73,29,29
2021-09-05,46,15,31
2021-09-12,0,43,100
2021-09-19,14,14,0
2021-09-26,0,53,13
2021-10-03,0,54,27
2021-10-10,28,43,43
2021-10-17,0,57,14
2021-10-24,14,14,0
2021-10-31,56,28,14
2021-11-07,13,27,13
2021-11-14,12,12,23
2021-11-21,11,67,22
2021-11-28,0,10,49
2021-12-05,0,0,10
2021-12-12,0,20,10
2021-12-19,11,0,11
2021-12-26,31,21,41
2022-01-02,48,29,58
2022-01-09,0,29,58
2022-01-16,10,0,10
2022-01-23,10,21,31
2022-01-30,0,0,21
2022-02-06,21,32,21
2022-02-13,10,0,41
2022-02-20,10,21,10
2022-02-27,31,10,20
2022-03-06,19,19,0
2022-03-13,29,10,19
2022-03-20,20,20,10
2022-03-27,38,0,38
2022-04-03,0,9,0
2022-04-10,10,10,20
2022-04-17,0,40,51
2022-04-24,0,28,19
2022-05-01,9,18,18
2022-05-08,10,19,48
2022-05-15,76,9,0
2022-05-22,10,39,29
2022-05-29,0,31,10
2022-06-05,0,0,0
