Category: All categories

Week,Fever: (Argentina),Headache: (Argentina),Cough: (Argentina)
2020-01-05,19,13,10
2020-01-12,22,14,11
2020-01-19,18,14,10
2020-01-26,22,16,11
2020-02-02,22,14,12
2020-02-09,22,16,10
2020-02-16,19,16,10
2020-02-23,24,18,12
2020-03-01,23,14,12
2020-03-08,39,16,22
2020-03-15,73,21,41
2020-03-22,59,23,30
2020-03-29,37,17,18
2020-04-05,29,18,15
2020-04-12,28,18,13
2020-04-19,28,19,13
2020-04-26,23,18,11
2020-05-03,20,16,9
2020-05-10,20,18,10
2020-05-17,20,18,9
2020-05-24,22,19,10
2020-05-31,19,15,10
2020-06-07,21,17,11
2020-06-14,23,16,12
2020-06-21,22,16,11
2020-06-28,21,14,12
2020-07-05,20,16,13
2020-07-12,22,16,12
2020-07-19,23,18,13
2020-07-26,20,20,12
2020-08-02,24,26,13
2020-08-09,22,19,14
2020-08-16,23,19,13
2020-08-23,27,18,13
2020-08-30,24,17,14
2020-09-06,29,20,14
2020-09-13,29,20,14
2020-09-20,28,19,15
2020-09-27,28,18,15
2020-10-04,29,18,13
2020-10-11,30,18,14
2020-10-18,29,18,14
2020-10-25,25,16,12
2020-11-01,23,16,11
2020-11-08,23,14,12
2020-11-15,21,16,12
2020-11-22,21,15,12
2020-11-29,20,13,12
2020-12-06,22,16,12
2020-12-13,23,15,13
2020-12-20,28,16,15
2020-12-27,30,18,17
2021-01-03,35,17,15
2021-01-10,32,17,14
2021-01-17,29,17,14
2021-01-24,26,17,14
2021-01-31,26,20,14
2021-02-07,24,16,13
2021-02-14,27,20,13
2021-02-21,26,18,14
2021-02-28,23,15,12
2021-03-07,25,15,13
2021-03-14,23,13,13
2021-03-21,26,17,17
2021-03-28,32,18,18
2021-04-04,37,18,19
2021-04-11,39,21,21
2021-04-18,36,19,20
2021-04-25,33,20,21
2021-05-02,28,18,21
2021-05-09,29,17,22
2021-05-16,32,18,22
2021-05-23,34,21,25
2021-05-30,35,19,20
2021-06-06,33,18,20
2021-06-13,25,17,19
2021-06-20,30,19,19
2021-06-27,24,16,19
2021-07-04,29,19,21
2021-07-11,29,17,23
2021-07-18,26,18,25
2021-07-25,22,16,25
2021-08-01,22,17,25
2021-08-08,21,14,26
2021-08-15,24,15,29
2021-08-22,19,16,28
2021-08-29,19,13,26
2021-09-05,19,13,24
2021-09-12,19,15,23
2021-09-19,20,15,26
2021-09-26,18,14,24
2021-10-03,20,16,28
2021-10-10,21,15,29
2021-10-17,23,14,27
2021-10-24,23,14,29
2021-10-31,19,13,26
2021-11-07,24,14,25
2021-11-14,20,14,23
2021-11-21,24,12,23
2021-11-28,21,14,21
2021-12-05,23,13,20
2021-12-12,22,14,18
2021-12-19,28,14,20
2021-12-26,52,19,27
2022-01-02,89,24,41
2022-01-09,100,27,48
2022-01-16,75,24,50
2022-01-23,48,20,34
2022-01-30,34,18,24
2022-02-06,27,17,19
2022-02-13,31,15,21
2022-02-20,29,14,17
2022-02-27,40,16,20
2022-03-06,39,15,24
2022-03-13,38,17,28
2022-03-20,32,16,29
2022-03-27,29,17,27
2022-04-03,30,17,34
2022-04-10,27,16,36
2022-04-17,28,14,31
2022-04-24,20,14,28
2022-05-01,23,16,34
2022-05-08,28,16,42
2022-05-15,24,14,47
2022-05-22,26,17,53
2022-05-29,23,15,45
2022-06-05,0,0,0
