Category: All categories

Week,Fever: (Bahamas),Headache: (Bahamas),Cough: (Bahamas)
2020-01-05,21,23,26
2020-01-12,17,49,46
2020-01-19,18,24,22
2020-01-26,21,27,34
2020-02-02,38,36,26
2020-02-09,30,27,21
2020-02-16,31,25,39
2020-02-23,37,26,41
2020-03-01,29,22,42
2020-03-08,53,39,57
2020-03-15,100,51,84
2020-03-22,43,58,90
2020-03-29,50,45,73
2020-04-05,57,52,53
2020-04-12,32,38,47
2020-04-19,34,40,30
2020-04-26,8,29,31
2020-05-03,19,40,15
2020-05-10,15,25,15
2020-05-17,27,45,4
2020-05-24,19,36,15
2020-05-31,30,16,19
2020-06-07,23,17,4
2020-06-14,29,26,8
2020-06-21,13,55,9
2020-06-28,13,23,9
2020-07-05,17,18,13
2020-07-12,22,37,13
2020-07-19,39,41,13
2020-07-26,38,45,9
2020-08-02,30,36,38
2020-08-09,57,48,20
2020-08-16,17,74,9
2020-08-23,45,48,17
2020-08-30,32,26,16
2020-09-06,23,33,35
2020-09-13,32,17,32
2020-09-20,51,29,31
2020-09-27,32,13,36
2020-10-04,54,31,50
2020-10-11,24,42,28
2020-10-18,39,46,35
2020-10-25,16,59,24
2020-11-01,25,66,7
2020-11-08,15,36,19
2020-11-15,20,21,20
2020-11-22,24,42,20
2020-11-29,12,39,8
2020-12-06,8,18,13
2020-12-13,22,19,27
2020-12-20,0,5,24
2020-12-27,22,37,9
2021-01-03,8,25,24
2021-01-10,4,21,8
2021-01-17,24,21,28
2021-01-24,20,34,24
2021-01-31,17,32,30
2021-02-07,20,21,12
2021-02-14,12,22,28
2021-02-21,8,44,12
2021-02-28,8,9,12
2021-03-07,13,9,13
2021-03-14,11,33,4
2021-03-21,21,26,17
2021-03-28,8,34,13
2021-04-04,8,34,4
2021-04-11,16,44,8
2021-04-18,8,52,24
2021-04-25,20,31,27
2021-05-02,37,32,28
2021-05-09,25,53,16
2021-05-16,12,16,16
2021-05-23,20,41,20
2021-05-30,24,32,16
2021-06-06,28,24,8
2021-06-13,20,47,20
2021-06-20,25,41,37
2021-06-27,28,44,24
2021-07-04,16,33,20
2021-07-11,47,25,51
2021-07-18,35,44,44
2021-07-25,38,50,46
2021-08-01,32,40,32
2021-08-08,19,42,54
2021-08-15,13,38,34
2021-08-22,32,60,32
2021-08-29,28,35,16
2021-09-05,16,68,56
2021-09-12,30,30,47
2021-09-19,28,32,43
2021-09-26,40,28,24
2021-10-03,16,32,32
2021-10-10,31,53,49
2021-10-17,26,35,48
2021-10-24,9,26,31
2021-10-31,22,27,22
2021-11-07,17,13,68
2021-11-14,25,21,39
2021-11-21,35,17,17
2021-11-28,10,16,20
2021-12-05,10,27,17
2021-12-12,17,35,17
2021-12-19,15,30,37
2021-12-26,49,35,84
2022-01-02,33,36,68
2022-01-09,30,30,33
2022-01-16,34,24,37
2022-01-23,18,29,22
2022-01-30,7,26,11
2022-02-06,18,11,26
2022-02-13,18,26,18
2022-02-20,22,29,22
2022-02-27,11,11,15
2022-03-06,21,17,14
2022-03-13,10,17,10
2022-03-20,18,28,21
2022-03-27,10,34,27
2022-04-03,13,23,40
2022-04-10,18,35,25
2022-04-17,15,19,23
2022-04-24,10,35,14
2022-05-01,17,7,14
2022-05-08,35,21,28
2022-05-15,30,17,30
2022-05-22,25,32,49
2022-05-29,29,48,22
2022-06-05,0,0,0
