Category: All categories

Week,Fever: (Barbados),Headache: (Barbados),Cough: (Barbados)
2020-01-05,19,38,19
2020-01-12,19,33,24
2020-01-19,24,33,33
2020-01-26,24,38,24
2020-02-02,29,62,33
2020-02-09,24,24,42
2020-02-16,27,31,31
2020-02-23,28,41,69
2020-03-01,28,18,42
2020-03-08,37,42,28
2020-03-15,71,38,71
2020-03-22,76,62,100
2020-03-29,57,22,35
2020-04-05,55,46,63
2020-04-12,22,82,17
2020-04-19,9,47,26
2020-04-26,35,26,17
2020-05-03,29,58,8
2020-05-10,30,51,17
2020-05-17,22,26,17
2020-05-24,35,52,0
2020-05-31,22,4,4
2020-06-07,13,31,18
2020-06-14,5,42,19
2020-06-21,9,32,14
2020-06-28,14,29,5
2020-07-05,19,48,24
2020-07-12,0,20,5
2020-07-19,25,35,5
2020-07-26,25,45,20
2020-08-02,41,26,21
2020-08-09,40,25,5
2020-08-16,20,60,0
2020-08-23,20,36,0
2020-08-30,20,50,5
2020-09-06,25,15,25
2020-09-13,10,35,5
2020-09-20,25,39,5
2020-09-27,24,34,0
2020-10-04,54,44,10
2020-10-11,20,41,20
2020-10-18,36,31,15
2020-10-25,30,35,30
2020-11-01,34,34,34
2020-11-08,72,41,10
2020-11-15,67,21,15
2020-11-22,54,16,11
2020-11-29,76,22,11
2020-12-06,56,50,11
2020-12-13,44,33,16
2020-12-20,61,43,18
2020-12-27,48,32,16
2021-01-03,91,43,14
2021-01-10,39,24,15
2021-01-17,78,39,15
2021-01-24,83,34,20
2021-01-31,87,24,19
2021-02-07,32,37,23
2021-02-14,48,57,19
2021-02-21,41,27,13
2021-02-28,41,51,0
2021-03-07,19,19,28
2021-03-14,18,55,18
2021-03-21,19,19,10
2021-03-28,21,24,5
2021-04-04,15,24,5
2021-04-11,10,53,19
2021-04-18,21,40,10
2021-04-25,26,15,15
2021-05-02,16,30,20
2021-05-09,5,31,10
2021-05-16,11,36,21
2021-05-23,23,32,26
2021-05-30,23,26,5
2021-06-06,17,37,21
2021-06-13,33,5,10
2021-06-20,23,11,11
2021-06-27,19,35,0
2021-07-04,6,24,12
2021-07-11,29,49,27
2021-07-18,30,28,11
2021-07-25,6,52,10
2021-08-01,11,15,5
2021-08-08,19,18,18
2021-08-15,21,20,15
2021-08-22,11,27,5
2021-08-29,26,58,24
2021-09-05,32,20,10
2021-09-12,26,24,15
2021-09-19,16,68,14
2021-09-26,15,28,38
2021-10-03,20,28,47
2021-10-10,11,38,22
2021-10-17,46,21,37
2021-10-24,34,26,52
2021-10-31,28,31,31
2021-11-07,44,51,21
2021-11-14,41,39,34
2021-11-21,45,21,17
2021-11-28,15,21,25
2021-12-05,19,32,32
2021-12-12,11,25,21
2021-12-19,9,30,34
2021-12-26,25,43,20
2022-01-02,23,18,25
2022-01-09,33,28,31
2022-01-16,31,43,32
2022-01-23,31,18,18
2022-01-30,36,34,34
2022-02-06,20,22,37
2022-02-13,8,35,47
2022-02-20,36,11,26
2022-02-27,12,23,30
2022-03-06,26,7,45
2022-03-13,11,28,17
2022-03-20,27,11,11
2022-03-27,12,29,29
2022-04-03,27,39,36
2022-04-10,29,46,38
2022-04-17,17,20,16
2022-04-24,19,7,25
2022-05-01,29,19,35
2022-05-08,16,22,33
2022-05-15,11,44,21
2022-05-22,8,28,35
2022-05-29,32,41,26
2022-06-05,0,0,0
