Category: All categories

Week,Fever: (Belize),Headache: (Belize),Cough: (Belize)
2020-01-05,23,11,17
2020-01-12,34,22,61
2020-01-19,41,34,23
2020-01-26,52,51,17
2020-02-02,48,30,30
2020-02-09,55,18,54
2020-02-16,52,6,46
2020-02-23,35,17,35
2020-03-01,35,29,29
2020-03-08,42,6,65
2020-03-15,41,17,70
2020-03-22,49,37,75
2020-03-29,35,29,23
2020-04-05,50,25,56
2020-04-12,57,56,100
2020-04-19,36,18,36
2020-04-26,6,24,35
2020-05-03,17,34,23
2020-05-10,18,35,18
2020-05-17,43,31,12
2020-05-24,24,36,12
2020-05-31,51,17,11
2020-06-07,46,51,17
2020-06-14,23,6,23
2020-06-21,37,72,18
2020-06-28,25,25,37
2020-07-05,25,19,12
2020-07-12,19,25,13
2020-07-19,20,33,13
2020-07-26,26,51,19
2020-08-02,25,50,25
2020-08-09,63,34,23
2020-08-16,51,67,33
2020-08-23,22,21,16
2020-08-30,49,16,32
2020-09-06,26,30,15
2020-09-13,25,25,20
2020-09-20,27,47,11
2020-09-27,20,50,35
2020-10-04,34,43,24
2020-10-11,36,36,26
2020-10-18,57,15,26
2020-10-25,26,20,26
2020-11-01,34,10,24
2020-11-08,23,34,34
2020-11-15,41,46,20
2020-11-22,52,31,25
2020-11-29,57,52,31
2020-12-06,44,43,32
2020-12-13,23,17,67
2020-12-20,54,33,40
2020-12-27,25,50,31
2021-01-03,23,11,22
2021-01-10,11,16,26
2021-01-17,15,45,5
2021-01-24,36,30,5
2021-01-31,21,16,16
2021-02-07,37,26,16
2021-02-14,10,15,0
2021-02-21,25,20,20
2021-02-28,0,26,0
2021-03-07,21,26,10
2021-03-14,20,34,15
2021-03-21,16,21,16
2021-03-28,39,13,6
2021-04-04,24,37,0
2021-04-11,49,22,11
2021-04-18,32,11,16
2021-04-25,43,22,11
2021-05-02,11,17,17
2021-05-09,17,34,17
2021-05-16,28,28,17
2021-05-23,0,46,17
2021-05-30,34,17,22
2021-06-06,28,6,22
2021-06-13,28,17,6
2021-06-20,18,31,18
2021-06-27,48,36,30
2021-07-04,42,66,36
2021-07-11,24,0,24
2021-07-18,44,56,6
2021-07-25,37,6,0
2021-08-01,19,44,25
2021-08-08,36,30,24
2021-08-15,36,18,42
2021-08-22,18,12,23
2021-08-29,26,16,36
2021-09-05,37,10,31
2021-09-12,52,31,57
2021-09-19,48,21,32
2021-09-26,51,26,46
2021-10-03,10,20,35
2021-10-10,32,21,26
2021-10-17,31,10,26
2021-10-24,16,26,31
2021-10-31,48,32,16
2021-11-07,21,16,27
2021-11-14,34,20,10
2021-11-21,43,10,29
2021-11-28,24,14,42
2021-12-05,20,25,44
2021-12-12,20,10,25
2021-12-19,6,25,43
2021-12-26,40,17,35
2022-01-02,78,26,57
2022-01-09,49,29,59
2022-01-16,65,20,45
2022-01-23,61,21,61
2022-01-30,43,33,27
2022-02-06,21,16,11
2022-02-13,10,42,31
2022-02-20,26,21,5
2022-02-27,16,16,21
2022-03-06,21,47,16
2022-03-13,10,10,25
2022-03-20,21,42,21
2022-03-27,25,10,5
2022-04-03,29,20,15
2022-04-10,46,40,6
2022-04-17,24,24,30
2022-04-24,21,26,21
2022-05-01,37,21,16
2022-05-08,16,32,37
2022-05-15,25,20,25
2022-05-22,27,21,32
2022-05-29,22,22,11
2022-06-05,0,0,0
