Category: All categories

Week,Fever: (Bolivia),Headache: (Bolivia),Cough: (Bolivia)
2020-01-05,22,19,17
2020-01-12,24,14,16
2020-01-19,32,22,15
2020-01-26,25,20,14
2020-02-02,31,15,13
2020-02-09,28,17,16
2020-02-16,31,16,15
2020-02-23,38,17,26
2020-03-01,33,16,24
2020-03-08,45,21,42
2020-03-15,46,21,48
2020-03-22,53,32,33
2020-03-29,46,38,29
2020-04-05,41,40,30
2020-04-12,43,34,34
2020-04-19,34,30,22
2020-04-26,34,35,22
2020-05-03,23,26,25
2020-05-10,33,31,20
2020-05-17,24,32,25
2020-05-24,26,29,17
2020-05-31,26,25,20
2020-06-07,41,32,25
2020-06-14,37,36,34
2020-06-21,40,39,30
2020-06-28,42,38,34
2020-07-05,43,43,42
2020-07-12,48,45,37
2020-07-19,55,48,46
2020-07-26,42,36,36
2020-08-02,37,38,30
2020-08-09,31,31,28
2020-08-16,33,28,22
2020-08-23,28,25,18
2020-08-30,24,27,20
2020-09-06,20,25,19
2020-09-13,21,24,15
2020-09-20,20,20,12
2020-09-27,19,18,12
2020-10-04,22,18,14
2020-10-11,17,20,10
2020-10-18,20,18,10
2020-10-25,21,18,12
2020-11-01,22,22,18
2020-11-08,22,22,12
2020-11-15,21,26,12
2020-11-22,27,22,12
2020-11-29,18,16,13
2020-12-06,19,20,11
2020-12-13,22,18,13
2020-12-20,29,17,13
2020-12-27,37,24,22
2021-01-03,34,27,29
2021-01-10,34,29,29
2021-01-17,24,26,29
2021-01-24,26,29,28
2021-01-31,24,24,17
2021-02-07,18,23,15
2021-02-14,25,18,18
2021-02-21,23,17,16
2021-02-28,17,18,17
2021-03-07,20,14,17
2021-03-14,17,16,18
2021-03-21,22,16,18
2021-03-28,22,18,20
2021-04-04,26,18,19
2021-04-11,20,19,22
2021-04-18,25,17,23
2021-04-25,22,20,26
2021-05-02,27,19,21
2021-05-09,27,19,27
2021-05-16,33,22,31
2021-05-23,33,20,33
2021-05-30,28,27,35
2021-06-06,24,29,35
2021-06-13,27,22,31
2021-06-20,25,35,27
2021-06-27,17,21,22
2021-07-04,19,19,25
2021-07-11,20,20,21
2021-07-18,18,21,15
2021-07-25,22,19,19
2021-08-01,22,13,20
2021-08-08,18,19,22
2021-08-15,26,17,23
2021-08-22,15,20,21
2021-08-29,18,19,25
2021-09-05,19,14,16
2021-09-12,15,15,23
2021-09-19,16,19,25
2021-09-26,20,18,24
2021-10-03,15,13,27
2021-10-10,20,10,22
2021-10-17,21,16,27
2021-10-24,20,11,22
2021-10-31,17,17,16
2021-11-07,20,15,21
2021-11-14,21,18,18
2021-11-21,22,12,20
2021-11-28,18,16,21
2021-12-05,28,14,28
2021-12-12,26,22,22
2021-12-19,33,17,26
2021-12-26,81,38,65
2022-01-02,80,29,89
2022-01-09,74,35,100
2022-01-16,41,38,72
2022-01-23,35,30,46
2022-01-30,17,17,20
2022-02-06,12,13,15
2022-02-13,18,15,15
2022-02-20,20,11,11
2022-02-27,20,20,23
2022-03-06,15,14,17
2022-03-13,15,17,21
2022-03-20,20,19,26
2022-03-27,23,14,29
2022-04-03,20,20,31
2022-04-10,23,16,31
2022-04-17,25,15,32
2022-04-24,22,21,31
2022-05-01,19,20,29
2022-05-08,23,17,28
2022-05-15,24,17,34
2022-05-22,28,17,30
2022-05-29,20,20,32
2022-06-05,0,0,0
