Category: All categories

Week,Fever: (Brazil),Headache: (Brazil),Cough: (Brazil)
2020-01-05,23,24,18
2020-01-12,23,24,16
2020-01-19,28,24,15
2020-01-26,24,25,16
2020-02-02,23,24,15
2020-02-09,25,24,16
2020-02-16,27,24,20
2020-02-23,31,25,27
2020-03-01,29,25,25
2020-03-08,37,25,30
2020-03-15,76,33,66
2020-03-22,65,33,57
2020-03-29,40,30,30
2020-04-05,35,29,25
2020-04-12,35,29,22
2020-04-19,42,31,24
2020-04-26,46,34,23
2020-05-03,38,29,22
2020-05-10,36,29,21
2020-05-17,34,32,19
2020-05-24,29,29,17
2020-05-31,29,28,17
2020-06-07,30,31,16
2020-06-14,29,28,16
2020-06-21,30,31,17
2020-06-28,26,28,16
2020-07-05,30,30,16
2020-07-12,27,29,17
2020-07-19,28,29,17
2020-07-26,26,28,17
2020-08-02,25,26,15
2020-08-09,24,27,15
2020-08-16,22,26,14
2020-08-23,22,27,13
2020-08-30,22,26,13
2020-09-06,22,26,13
2020-09-13,22,25,13
2020-09-20,21,24,12
2020-09-27,22,24,12
2020-10-04,20,23,11
2020-10-11,22,24,13
2020-10-18,21,24,12
2020-10-25,22,25,14
2020-11-01,22,26,14
2020-11-08,24,26,15
2020-11-15,24,24,16
2020-11-22,26,26,16
2020-11-29,26,26,17
2020-12-06,27,28,18
2020-12-13,28,27,17
2020-12-20,28,27,19
2020-12-27,32,30,21
2021-01-03,30,29,20
2021-01-10,28,29,19
2021-01-17,27,27,17
2021-01-24,27,27,15
2021-01-31,26,26,16
2021-02-07,26,26,15
2021-02-14,28,28,18
2021-02-21,30,27,19
2021-02-28,34,30,22
2021-03-07,36,32,24
2021-03-14,38,31,24
2021-03-21,39,33,25
2021-03-28,33,32,23
2021-04-04,32,30,22
2021-04-11,31,30,20
2021-04-18,31,30,20
2021-04-25,29,28,19
2021-05-02,29,28,20
2021-05-09,31,28,22
2021-05-16,34,29,26
2021-05-23,36,31,27
2021-05-30,36,31,29
2021-06-06,33,29,26
2021-06-13,28,28,25
2021-06-20,27,28,23
2021-06-27,24,26,23
2021-07-04,26,27,23
2021-07-11,27,27,25
2021-07-18,25,28,24
2021-07-25,24,26,23
2021-08-01,22,25,23
2021-08-08,25,26,23
2021-08-15,27,28,26
2021-08-22,25,27,24
2021-08-29,23,26,25
2021-09-05,25,25,26
2021-09-12,25,26,25
2021-09-19,25,24,24
2021-09-26,25,25,25
2021-10-03,24,24,27
2021-10-10,26,25,27
2021-10-17,25,24,29
2021-10-24,28,25,29
2021-10-31,27,25,29
2021-11-07,26,24,28
2021-11-14,26,25,29
2021-11-21,28,25,29
2021-11-28,30,25,32
2021-12-05,35,24,35
2021-12-12,47,26,41
2021-12-19,74,28,59
2021-12-26,91,32,86
2022-01-02,100,35,88
2022-01-09,88,39,82
2022-01-16,89,39,74
2022-01-23,67,34,58
2022-01-30,39,30,38
2022-02-06,31,28,27
2022-02-13,29,26,24
2022-02-20,28,26,23
2022-02-27,29,26,26
2022-03-06,29,25,24
2022-03-13,28,26,27
2022-03-20,29,26,29
2022-03-27,29,25,31
2022-04-03,30,25,34
2022-04-10,32,26,39
2022-04-17,34,26,46
2022-04-24,33,27,45
2022-05-01,32,27,48
2022-05-08,35,28,57
2022-05-15,31,38,60
2022-05-22,37,29,75
2022-05-29,37,30,76
2022-06-05,0,0,0
