Category: All categories

Week,Fever: (Chile),Headache: (Chile),Cough: (Chile)
2020-01-05,35,28,18
2020-01-12,40,33,20
2020-01-19,35,29,16
2020-01-26,46,32,17
2020-02-02,34,28,18
2020-02-09,31,31,20
2020-02-16,32,36,20
2020-02-23,31,30,20
2020-03-01,34,39,23
2020-03-08,45,32,31
2020-03-15,100,46,71
2020-03-22,72,67,63
2020-03-29,46,49,37
2020-04-05,44,48,36
2020-04-12,43,44,29
2020-04-19,43,46,28
2020-04-26,34,44,22
2020-05-03,40,40,24
2020-05-10,49,43,29
2020-05-17,48,45,29
2020-05-24,54,52,31
2020-05-31,45,43,29
2020-06-07,44,44,27
2020-06-14,37,43,29
2020-06-21,31,40,23
2020-06-28,32,44,22
2020-07-05,30,38,19
2020-07-12,27,41,19
2020-07-19,24,37,16
2020-07-26,21,32,14
2020-08-02,19,30,14
2020-08-09,22,31,12
2020-08-16,22,33,13
2020-08-23,21,33,14
2020-08-30,21,29,13
2020-09-06,25,31,13
2020-09-13,29,37,16
2020-09-20,29,38,17
2020-09-27,26,32,15
2020-10-04,26,30,15
2020-10-11,27,35,12
2020-10-18,27,35,17
2020-10-25,26,30,12
2020-11-01,27,31,16
2020-11-08,30,29,17
2020-11-15,27,29,20
2020-11-22,31,30,17
2020-11-29,31,31,15
2020-12-06,28,28,17
2020-12-13,31,32,18
2020-12-20,33,29,17
2020-12-27,36,33,18
2021-01-03,37,30,20
2021-01-10,35,30,19
2021-01-17,41,35,20
2021-01-24,35,35,18
2021-01-31,39,38,19
2021-02-07,32,36,15
2021-02-14,32,40,19
2021-02-21,38,33,19
2021-02-28,35,33,22
2021-03-07,39,31,21
2021-03-14,39,35,26
2021-03-21,41,35,30
2021-03-28,42,37,28
2021-04-04,38,39,26
2021-04-11,39,40,29
2021-04-18,34,38,22
2021-04-25,29,34,23
2021-05-02,28,32,23
2021-05-09,30,33,23
2021-05-16,29,32,27
2021-05-23,34,34,28
2021-05-30,40,29,29
2021-06-06,28,32,35
2021-06-13,30,34,37
2021-06-20,31,29,34
2021-06-27,32,31,32
2021-07-04,28,30,34
2021-07-11,26,27,33
2021-07-18,27,34,38
2021-07-25,25,32,30
2021-08-01,27,31,30
2021-08-08,27,30,33
2021-08-15,27,30,32
2021-08-22,25,29,32
2021-08-29,27,27,24
2021-09-05,28,25,25
2021-09-12,27,29,29
2021-09-19,31,33,32
2021-09-26,29,27,28
2021-10-03,26,25,28
2021-10-10,31,30,28
2021-10-17,30,30,28
2021-10-24,40,30,27
2021-10-31,40,31,34
2021-11-07,44,29,32
2021-11-14,38,29,29
2021-11-21,39,28,35
2021-11-28,33,25,31
2021-12-05,32,28,31
2021-12-12,41,27,32
2021-12-19,36,26,30
2021-12-26,49,31,35
2022-01-02,51,28,36
2022-01-09,56,37,37
2022-01-16,58,38,45
2022-01-23,79,39,55
2022-01-30,87,42,55
2022-02-06,74,36,56
2022-02-13,67,34,51
2022-02-20,59,35,45
2022-02-27,43,34,40
2022-03-06,44,29,34
2022-03-13,46,33,42
2022-03-20,40,34,44
2022-03-27,34,27,40
2022-04-03,36,34,47
2022-04-10,35,31,48
2022-04-17,38,33,52
2022-04-24,37,30,55
2022-05-01,36,31,58
2022-05-08,46,34,68
2022-05-15,51,36,73
2022-05-22,58,33,74
2022-05-29,50,30,75
2022-06-05,0,0,0
