Category: All categories

Week,Fever: (Colombia),Headache: (Colombia),Cough: (Colombia)
2020-01-05,38,26,38
2020-01-12,29,26,32
2020-01-19,25,26,28
2020-01-26,27,28,24
2020-02-02,24,25,24
2020-02-09,26,23,26
2020-02-16,27,25,26
2020-02-23,29,24,31
2020-03-01,30,23,29
2020-03-08,35,24,42
2020-03-15,53,27,64
2020-03-22,49,29,56
2020-03-29,37,32,38
2020-04-05,36,36,33
2020-04-12,33,32,30
2020-04-19,28,29,22
2020-04-26,28,26,20
2020-05-03,27,27,19
2020-05-10,28,27,18
2020-05-17,30,27,16
2020-05-24,30,27,17
2020-05-31,29,25,17
2020-06-07,30,25,16
2020-06-14,31,27,18
2020-06-21,33,29,19
2020-06-28,34,29,21
2020-07-05,37,29,24
2020-07-12,43,32,28
2020-07-19,40,30,26
2020-07-26,41,30,27
2020-08-02,37,30,25
2020-08-09,33,30,23
2020-08-16,32,29,26
2020-08-23,30,27,19
2020-08-30,27,27,18
2020-09-06,26,25,21
2020-09-13,26,27,20
2020-09-20,27,24,19
2020-09-27,29,24,20
2020-10-04,32,27,22
2020-10-11,32,26,24
2020-10-18,31,26,24
2020-10-25,28,27,23
2020-11-01,29,26,22
2020-11-08,25,24,21
2020-11-15,28,26,24
2020-11-22,28,27,24
2020-11-29,33,26,25
2020-12-06,36,26,27
2020-12-13,38,27,31
2020-12-20,45,28,34
2020-12-27,44,31,39
2021-01-03,48,30,41
2021-01-10,43,35,38
2021-01-17,38,29,34
2021-01-24,30,30,28
2021-01-31,30,29,24
2021-02-07,24,28,22
2021-02-14,23,25,22
2021-02-21,23,24,19
2021-02-28,23,24,20
2021-03-07,23,24,20
2021-03-14,24,23,19
2021-03-21,26,26,24
2021-03-28,37,30,32
2021-04-04,35,27,30
2021-04-11,34,30,31
2021-04-18,35,28,32
2021-04-25,29,27,32
2021-05-02,32,27,28
2021-05-09,32,29,27
2021-05-16,37,29,29
2021-05-23,38,29,32
2021-05-30,42,29,35
2021-06-06,45,31,40
2021-06-13,46,34,43
2021-06-20,46,31,47
2021-06-27,46,34,45
2021-07-04,43,29,44
2021-07-11,38,29,39
2021-07-18,35,31,35
2021-07-25,31,27,29
2021-08-01,32,27,34
2021-08-08,28,28,28
2021-08-15,32,27,29
2021-08-22,28,26,30
2021-08-29,26,25,33
2021-09-05,26,24,27
2021-09-12,25,25,32
2021-09-19,29,22,30
2021-09-26,25,24,31
2021-10-03,31,23,36
2021-10-10,29,26,36
2021-10-17,29,28,35
2021-10-24,25,23,31
2021-10-31,29,24,34
2021-11-07,29,22,39
2021-11-14,30,22,39
2021-11-21,29,23,38
2021-11-28,31,23,37
2021-12-05,37,24,42
2021-12-12,39,23,46
2021-12-19,45,29,49
2021-12-26,68,31,70
2022-01-02,88,33,100
2022-01-09,84,40,95
2022-01-16,64,34,79
2022-01-23,45,32,54
2022-01-30,33,25,40
2022-02-06,27,25,35
2022-02-13,27,22,36
2022-02-20,23,23,33
2022-02-27,23,23,32
2022-03-06,25,21,33
2022-03-13,25,23,36
2022-03-20,29,26,38
2022-03-27,28,25,38
2022-04-03,32,27,40
2022-04-10,34,29,52
2022-04-17,32,26,38
2022-04-24,29,25,38
2022-05-01,33,25,42
2022-05-08,34,28,43
2022-05-15,39,30,53
2022-05-22,41,28,50
2022-05-29,41,29,57
2022-06-05,0,0,0
