Category: All categories

Week,Fever: (Costa Rica),Headache: (Costa Rica),Cough: (Costa Rica)
2020-01-05,28,38,40
2020-01-12,24,41,43
2020-01-19,28,47,49
2020-01-26,17,39,37
2020-02-02,29,23,34
2020-02-09,23,33,39
2020-02-16,24,46,34
2020-02-23,32,36,37
2020-03-01,24,26,40
2020-03-08,46,32,87
2020-03-15,77,45,100
2020-03-22,49,51,78
2020-03-29,39,53,46
2020-04-05,39,46,52
2020-04-12,29,47,45
2020-04-19,26,48,34
2020-04-26,19,53,33
2020-05-03,32,51,25
2020-05-10,27,46,25
2020-05-17,25,35,27
2020-05-24,17,35,24
2020-05-31,31,34,25
2020-06-07,35,43,20
2020-06-14,21,40,25
2020-06-21,27,48,27
2020-06-28,21,41,23
2020-07-05,35,53,28
2020-07-12,37,47,29
2020-07-19,27,38,30
2020-07-26,28,49,33
2020-08-02,27,34,20
2020-08-09,24,30,30
2020-08-16,34,35,27
2020-08-23,24,41,20
2020-08-30,31,35,30
2020-09-06,27,46,28
2020-09-13,31,55,30
2020-09-20,32,48,28
2020-09-27,35,39,20
2020-10-04,30,36,28
2020-10-11,21,41,34
2020-10-18,30,45,33
2020-10-25,25,41,24
2020-11-01,25,38,29
2020-11-08,30,44,34
2020-11-15,23,39,27
2020-11-22,23,44,21
2020-11-29,23,44,27
2020-12-06,24,38,35
2020-12-13,24,32,28
2020-12-20,34,46,36
2020-12-27,31,39,57
2021-01-03,25,51,41
2021-01-10,19,50,34
2021-01-17,22,37,34
2021-01-24,23,39,22
2021-01-31,25,38,23
2021-02-07,19,41,27
2021-02-14,19,33,24
2021-02-21,18,44,30
2021-02-28,19,34,31
2021-03-07,15,35,26
2021-03-14,24,37,29
2021-03-21,26,36,29
2021-03-28,27,32,28
2021-04-04,32,48,28
2021-04-11,22,46,41
2021-04-18,33,28,37
2021-04-25,35,43,42
2021-05-02,31,32,50
2021-05-09,30,46,50
2021-05-16,35,53,52
2021-05-23,36,49,45
2021-05-30,37,56,45
2021-06-06,36,61,43
2021-06-13,33,53,40
2021-06-20,40,50,37
2021-06-27,22,38,43
2021-07-04,28,48,48
2021-07-11,25,41,51
2021-07-18,30,59,57
2021-07-25,37,43,54
2021-08-01,40,41,55
2021-08-08,28,42,56
2021-08-15,38,42,51
2021-08-22,26,42,57
2021-08-29,26,43,57
2021-09-05,30,37,54
2021-09-12,33,41,57
2021-09-19,34,40,51
2021-09-26,36,35,44
2021-10-03,27,42,42
2021-10-10,30,48,38
2021-10-17,37,38,47
2021-10-24,29,40,36
2021-10-31,31,46,33
2021-11-07,21,35,40
2021-11-14,20,28,33
2021-11-21,24,31,33
2021-11-28,23,45,46
2021-12-05,21,38,52
2021-12-12,17,28,43
2021-12-19,20,22,47
2021-12-26,26,37,61
2022-01-02,37,44,72
2022-01-09,48,55,67
2022-01-16,46,50,62
2022-01-23,59,43,60
2022-01-30,47,51,75
2022-02-06,46,46,56
2022-02-13,32,48,51
2022-02-20,17,43,48
2022-02-27,35,30,52
2022-03-06,29,26,30
2022-03-13,23,42,44
2022-03-20,26,36,57
2022-03-27,22,35,54
2022-04-03,27,39,48
2022-04-10,36,37,59
2022-04-17,30,44,61
2022-04-24,32,43,53
2022-05-01,35,36,63
2022-05-08,49,41,84
2022-05-15,54,32,88
2022-05-22,44,46,97
2022-05-29,57,45,95
2022-06-05,0,0,0
