Category: All categories

Week,Fever: (Cuba),Headache: (Cuba),Cough: (Cuba)
2020-01-05,26,14,43
2020-01-12,22,17,27
2020-01-19,29,20,23
2020-01-26,33,24,24
2020-02-02,29,24,21
2020-02-09,17,11,31
2020-02-16,19,13,37
2020-02-23,43,16,34
2020-03-01,31,20,33
2020-03-08,27,12,59
2020-03-15,35,10,50
2020-03-22,52,26,77
2020-03-29,26,10,49
2020-04-05,29,21,26
2020-04-12,16,24,32
2020-04-19,40,16,16
2020-04-26,24,10,18
2020-05-03,30,8,16
2020-05-10,17,17,14
2020-05-17,26,7,9
2020-05-24,16,26,12
2020-05-31,16,21,7
2020-06-07,38,8,5
2020-06-14,21,10,13
2020-06-21,21,13,5
2020-06-28,26,15,10
2020-07-05,45,19,14
2020-07-12,21,8,5
2020-07-19,16,5,14
2020-07-26,43,25,15
2020-08-02,17,16,12
2020-08-09,32,14,14
2020-08-16,26,7,16
2020-08-23,19,2,7
2020-08-30,34,8,15
2020-09-06,17,34,10
2020-09-13,20,24,15
2020-09-20,31,28,23
2020-09-27,20,22,25
2020-10-04,29,24,15
2020-10-11,23,47,10
2020-10-18,34,20,15
2020-10-25,43,16,12
2020-11-01,21,10,7
2020-11-08,18,11,9
2020-11-15,27,5,12
2020-11-22,38,7,12
2020-11-29,21,14,5
2020-12-06,23,8,14
2020-12-13,24,15,13
2020-12-20,27,19,27
2020-12-27,40,7,27
2021-01-03,33,12,9
2021-01-10,18,15,15
2021-01-17,36,21,15
2021-01-24,25,28,19
2021-01-31,25,25,23
2021-02-07,13,16,18
2021-02-14,19,22,13
2021-02-21,31,26,16
2021-02-28,16,25,16
2021-03-07,39,18,10
2021-03-14,26,16,21
2021-03-21,25,21,9
2021-03-28,19,20,7
2021-04-04,33,25,7
2021-04-11,21,15,7
2021-04-18,29,19,9
2021-04-25,28,19,21
2021-05-02,16,11,6
2021-05-09,26,17,17
2021-05-16,39,20,9
2021-05-23,31,34,11
2021-05-30,32,20,17
2021-06-06,32,28,9
2021-06-13,32,20,16
2021-06-20,31,15,23
2021-06-27,57,28,26
2021-07-04,44,36,34
2021-07-11,33,21,8
2021-07-18,87,28,22
2021-07-25,70,21,26
2021-08-01,64,41,34
2021-08-08,54,28,71
2021-08-15,99,30,49
2021-08-22,76,27,53
2021-08-29,100,33,46
2021-09-05,78,29,40
2021-09-12,63,22,35
2021-09-19,71,25,39
2021-09-26,58,22,17
2021-10-03,61,20,24
2021-10-10,38,28,22
2021-10-17,38,14,29
2021-10-24,47,14,27
2021-10-31,49,26,41
2021-11-07,43,19,30
2021-11-14,58,17,33
2021-11-21,41,19,45
2021-11-28,42,19,28
2021-12-05,42,14,39
2021-12-12,43,18,30
2021-12-19,38,17,41
2021-12-26,54,12,39
2022-01-02,51,21,41
2022-01-09,66,18,56
2022-01-16,60,19,36
2022-01-23,58,18,37
2022-01-30,40,18,18
2022-02-06,47,20,34
2022-02-13,38,23,28
2022-02-20,29,19,28
2022-02-27,22,19,35
2022-03-06,46,22,30
2022-03-13,51,18,35
2022-03-20,41,19,23
2022-03-27,62,19,41
2022-04-03,34,25,42
2022-04-10,25,14,35
2022-04-17,36,16,37
2022-04-24,33,17,32
2022-05-01,32,12,38
2022-05-08,33,10,36
2022-05-15,37,19,31
2022-05-22,43,11,36
2022-05-29,54,14,32
2022-06-05,0,0,0
