Category: All categories

Week,Fever: (Dominica),Headache: (Dominica),Cough: (Dominica)
2020-01-05,27,27,0
2020-01-12,26,26,77
2020-01-19,27,0,27
2020-01-26,0,28,0
2020-02-02,84,28,28
2020-02-09,0,28,54
2020-02-16,26,0,51
2020-02-23,0,28,83
2020-03-01,0,26,0
2020-03-08,77,0,76
2020-03-15,54,27,0
2020-03-22,47,0,70
2020-03-29,48,49,0
2020-04-05,26,0,25
2020-04-12,25,26,0
2020-04-19,22,22,0
2020-04-26,43,22,0
2020-05-03,0,22,44
2020-05-10,0,23,0
2020-05-17,22,45,0
2020-05-24,0,0,0
2020-05-31,0,25,0
2020-06-07,0,28,0
2020-06-14,0,0,0
2020-06-21,53,81,0
2020-06-28,27,28,0
2020-07-05,0,0,0
2020-07-12,0,0,28
2020-07-19,28,28,55
2020-07-26,0,0,0
2020-08-02,0,32,0
2020-08-09,0,0,0
2020-08-16,0,30,30
2020-08-23,29,0,0
2020-08-30,0,0,30
2020-09-06,0,91,0
2020-09-13,27,54,0
2020-09-20,0,0,26
2020-09-27,0,0,0
2020-10-04,0,0,0
2020-10-11,0,33,0
2020-10-18,0,31,0
2020-10-25,0,0,31
2020-11-01,0,0,31
2020-11-08,0,30,30
2020-11-15,31,94,61
2020-11-22,0,31,30
2020-11-29,29,30,0
2020-12-06,32,0,0
2020-12-13,30,31,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,0,30,0
2021-01-10,0,32,0
2021-01-17,30,92,0
2021-01-24,0,0,30
2021-01-31,30,30,30
2021-02-07,0,0,59
2021-02-14,0,0,0
2021-02-21,0,28,55
2021-02-28,29,29,86
2021-03-07,28,0,0
2021-03-14,56,28,0
2021-03-21,0,0,0
2021-03-28,0,60,0
2021-04-04,28,28,0
2021-04-11,0,27,0
2021-04-18,26,0,0
2021-04-25,79,0,26
2021-05-02,26,26,0
2021-05-09,25,0,0
2021-05-16,0,51,0
2021-05-23,26,26,0
2021-05-30,0,99,25
2021-06-06,0,25,0
2021-06-13,0,0,0
2021-06-20,0,0,24
2021-06-27,0,24,0
2021-07-04,0,24,24
2021-07-11,24,24,71
2021-07-18,52,77,0
2021-07-25,50,0,0
2021-08-01,52,26,26
2021-08-08,43,87,43
2021-08-15,0,24,24
2021-08-22,25,75,50
2021-08-29,75,25,100
2021-09-05,0,50,50
2021-09-12,100,75,0
2021-09-19,0,24,0
2021-09-26,0,73,0
2021-10-03,23,23,23
2021-10-10,0,25,0
2021-10-17,26,26,0
2021-10-24,0,25,0
2021-10-31,0,53,26
2021-11-07,0,26,0
2021-11-14,23,69,0
2021-11-21,22,22,66
2021-11-28,0,0,0
2021-12-05,22,22,22
2021-12-12,0,0,23
2021-12-19,29,0,58
2021-12-26,0,0,26
2022-01-02,49,49,0
2022-01-09,0,63,21
2022-01-16,22,0,66
2022-01-23,92,0,46
2022-01-30,24,24,0
2022-02-06,45,45,23
2022-02-13,0,46,23
2022-02-20,0,0,0
2022-02-27,0,77,26
2022-03-06,0,0,22
2022-03-13,0,22,0
2022-03-20,0,22,0
2022-03-27,0,21,21
2022-04-03,0,63,63
2022-04-10,0,0,0
2022-04-17,0,24,24
2022-04-24,22,0,44
2022-05-01,0,0,25
2022-05-08,51,26,0
2022-05-15,0,0,0
2022-05-22,25,0,25
2022-05-29,52,0,0
2022-06-05,0,0,0
