Category: All categories

Week,Fever: (Dominican Republic),Headache: (Dominican Republic),Cough: (Dominican Republic)
2020-01-05,31,23,25
2020-01-12,24,17,31
2020-01-19,34,20,27
2020-01-26,33,24,31
2020-02-02,40,26,35
2020-02-09,28,18,28
2020-02-16,33,19,25
2020-02-23,28,27,35
2020-03-01,38,24,35
2020-03-08,39,25,37
2020-03-15,82,39,79
2020-03-22,92,37,74
2020-03-29,53,54,63
2020-04-05,40,38,54
2020-04-12,45,44,35
2020-04-19,39,35,37
2020-04-26,36,42,37
2020-05-03,26,34,26
2020-05-10,36,33,20
2020-05-17,39,35,21
2020-05-24,24,37,17
2020-05-31,35,28,18
2020-06-07,32,34,16
2020-06-14,38,31,19
2020-06-21,27,29,15
2020-06-28,40,32,25
2020-07-05,45,28,26
2020-07-12,43,32,27
2020-07-19,40,28,30
2020-07-26,26,31,32
2020-08-02,38,29,25
2020-08-09,34,30,19
2020-08-16,31,26,15
2020-08-23,25,25,18
2020-08-30,18,26,13
2020-09-06,22,22,21
2020-09-13,25,24,15
2020-09-20,29,29,14
2020-09-27,21,25,12
2020-10-04,26,22,15
2020-10-11,18,28,16
2020-10-18,25,30,16
2020-10-25,26,21,18
2020-11-01,22,17,12
2020-11-08,24,23,17
2020-11-15,24,26,22
2020-11-22,30,28,19
2020-11-29,36,20,22
2020-12-06,26,21,31
2020-12-13,23,22,31
2020-12-20,27,17,23
2020-12-27,28,30,21
2021-01-03,41,24,31
2021-01-10,29,28,24
2021-01-17,33,29,23
2021-01-24,29,26,21
2021-01-31,21,26,25
2021-02-07,23,24,16
2021-02-14,25,21,21
2021-02-21,26,24,16
2021-02-28,29,20,18
2021-03-07,16,17,16
2021-03-14,23,26,24
2021-03-21,26,28,17
2021-03-28,20,25,28
2021-04-04,25,23,24
2021-04-11,29,28,18
2021-04-18,25,22,24
2021-04-25,28,27,21
2021-05-02,26,22,25
2021-05-09,31,30,21
2021-05-16,30,27,24
2021-05-23,36,21,24
2021-05-30,39,28,29
2021-06-06,30,31,30
2021-06-13,31,28,20
2021-06-20,28,27,23
2021-06-27,28,26,22
2021-07-04,25,30,18
2021-07-11,28,26,17
2021-07-18,23,27,24
2021-07-25,26,23,27
2021-08-01,32,23,18
2021-08-08,28,23,21
2021-08-15,29,23,18
2021-08-22,29,31,29
2021-08-29,25,19,21
2021-09-05,25,20,22
2021-09-12,32,29,26
2021-09-19,26,23,27
2021-09-26,30,17,32
2021-10-03,29,20,25
2021-10-10,32,29,34
2021-10-17,43,27,31
2021-10-24,40,24,33
2021-10-31,47,27,41
2021-11-07,51,29,36
2021-11-14,42,23,31
2021-11-21,35,17,32
2021-11-28,33,19,33
2021-12-05,35,22,34
2021-12-12,33,20,36
2021-12-19,64,23,56
2021-12-26,100,35,90
2022-01-02,96,35,92
2022-01-09,46,31,74
2022-01-16,30,22,35
2022-01-23,31,24,32
2022-01-30,25,26,28
2022-02-06,28,20,29
2022-02-13,26,20,24
2022-02-20,25,25,22
2022-02-27,24,20,21
2022-03-06,26,18,31
2022-03-13,23,23,30
2022-03-20,29,30,25
2022-03-27,31,28,25
2022-04-03,26,28,26
2022-04-10,29,23,29
2022-04-17,27,26,24
2022-04-24,31,26,27
2022-05-01,30,21,33
2022-05-08,27,28,32
2022-05-15,30,20,32
2022-05-22,32,23,30
2022-05-29,40,24,33
2022-06-05,0,0,0
