Category: All categories

Week,Fever: (Ecuador),Headache: (Ecuador),Cough: (Ecuador)
2020-01-05,25,22,29
2020-01-12,23,19,24
2020-01-19,25,20,27
2020-01-26,27,20,28
2020-02-02,28,21,26
2020-02-09,29,18,24
2020-02-16,25,22,26
2020-02-23,30,21,27
2020-03-01,37,22,42
2020-03-08,37,23,40
2020-03-15,82,34,69
2020-03-22,100,50,84
2020-03-29,71,42,72
2020-04-05,63,39,58
2020-04-12,46,33,47
2020-04-19,41,37,32
2020-04-26,39,37,29
2020-05-03,39,32,37
2020-05-10,35,28,33
2020-05-17,27,27,28
2020-05-24,34,22,21
2020-05-31,28,19,20
2020-06-07,27,27,20
2020-06-14,26,22,19
2020-06-21,29,25,18
2020-06-28,26,24,22
2020-07-05,31,28,20
2020-07-12,24,24,25
2020-07-19,30,26,23
2020-07-26,32,28,22
2020-08-02,30,25,22
2020-08-09,29,23,23
2020-08-16,26,25,15
2020-08-23,23,20,17
2020-08-30,20,23,16
2020-09-06,19,20,15
2020-09-13,19,19,19
2020-09-20,20,19,19
2020-09-27,20,21,15
2020-10-04,20,17,19
2020-10-11,19,20,15
2020-10-18,23,24,15
2020-10-25,25,17,17
2020-11-01,25,21,16
2020-11-08,21,24,16
2020-11-15,20,19,18
2020-11-22,22,19,14
2020-11-29,20,20,16
2020-12-06,17,19,14
2020-12-13,22,22,16
2020-12-20,23,20,15
2020-12-27,25,26,20
2021-01-03,25,23,22
2021-01-10,25,22,20
2021-01-17,26,22,17
2021-01-24,24,20,18
2021-01-31,25,20,17
2021-02-07,23,21,18
2021-02-14,29,29,17
2021-02-21,29,23,22
2021-02-28,25,21,21
2021-03-07,26,26,16
2021-03-14,30,23,21
2021-03-21,32,24,25
2021-03-28,39,27,32
2021-04-04,36,30,30
2021-04-11,36,24,26
2021-04-18,41,25,29
2021-04-25,32,27,27
2021-05-02,31,26,26
2021-05-09,28,23,20
2021-05-16,27,19,18
2021-05-23,25,22,18
2021-05-30,25,23,17
2021-06-06,21,19,21
2021-06-13,22,22,19
2021-06-20,26,22,26
2021-06-27,28,22,25
2021-07-04,30,24,24
2021-07-11,22,23,26
2021-07-18,25,21,28
2021-07-25,28,23,21
2021-08-01,26,23,26
2021-08-08,27,19,30
2021-08-15,25,21,24
2021-08-22,25,23,18
2021-08-29,22,17,17
2021-09-05,20,19,18
2021-09-12,20,14,18
2021-09-19,22,22,20
2021-09-26,20,21,19
2021-10-03,22,23,19
2021-10-10,23,20,23
2021-10-17,18,17,21
2021-10-24,18,18,25
2021-10-31,24,24,25
2021-11-07,26,23,26
2021-11-14,21,17,22
2021-11-21,24,19,21
2021-11-28,21,17,20
2021-12-05,23,20,17
2021-12-12,25,21,27
2021-12-19,36,22,34
2021-12-26,59,33,55
2022-01-02,69,29,70
2022-01-09,80,32,85
2022-01-16,47,25,59
2022-01-23,34,24,39
2022-01-30,27,20,29
2022-02-06,29,23,23
2022-02-13,24,22,15
2022-02-20,26,21,20
2022-02-27,30,21,20
2022-03-06,29,24,24
2022-03-13,33,20,31
2022-03-20,34,25,31
2022-03-27,38,21,29
2022-04-03,33,21,36
2022-04-10,33,24,32
2022-04-17,28,21,36
2022-04-24,30,22,39
2022-05-01,27,17,36
2022-05-08,29,20,41
2022-05-15,31,20,49
2022-05-22,40,20,55
2022-05-29,29,22,55
2022-06-05,0,0,0
