Category: All categories

Week,Fever: (El Salvador),Headache: (El Salvador),Cough: (El Salvador)
2020-01-05,12,20,31
2020-01-12,21,21,26
2020-01-19,10,23,25
2020-01-26,25,21,32
2020-02-02,14,20,32
2020-02-09,21,17,23
2020-02-16,24,21,26
2020-02-23,14,23,29
2020-03-01,17,27,31
2020-03-08,27,21,28
2020-03-15,23,22,54
2020-03-22,20,22,43
2020-03-29,25,18,26
2020-04-05,22,26,34
2020-04-12,29,30,35
2020-04-19,22,34,27
2020-04-26,19,23,21
2020-05-03,23,43,27
2020-05-10,18,30,18
2020-05-17,14,31,25
2020-05-24,26,28,34
2020-05-31,21,28,17
2020-06-07,44,31,29
2020-06-14,46,38,39
2020-06-21,58,41,46
2020-06-28,53,30,53
2020-07-05,41,36,51
2020-07-12,39,31,41
2020-07-19,34,38,38
2020-07-26,26,26,33
2020-08-02,23,36,29
2020-08-09,22,32,20
2020-08-16,14,23,20
2020-08-23,13,18,11
2020-08-30,15,17,14
2020-09-06,22,28,12
2020-09-13,17,27,13
2020-09-20,21,23,18
2020-09-27,17,24,20
2020-10-04,18,24,15
2020-10-11,18,26,14
2020-10-18,21,32,24
2020-10-25,15,23,22
2020-11-01,17,15,24
2020-11-08,17,25,23
2020-11-15,13,27,16
2020-11-22,20,31,18
2020-11-29,11,17,32
2020-12-06,20,21,31
2020-12-13,13,24,25
2020-12-20,16,19,39
2020-12-27,16,22,37
2021-01-03,23,31,32
2021-01-10,32,23,26
2021-01-17,24,42,31
2021-01-24,24,29,24
2021-01-31,22,25,24
2021-02-07,14,25,23
2021-02-14,18,22,15
2021-02-21,20,35,14
2021-02-28,24,16,15
2021-03-07,20,31,15
2021-03-14,14,22,19
2021-03-21,21,24,21
2021-03-28,26,28,20
2021-04-04,19,21,17
2021-04-11,20,29,16
2021-04-18,16,23,20
2021-04-25,18,29,21
2021-05-02,21,20,19
2021-05-09,23,22,18
2021-05-16,30,27,16
2021-05-23,20,22,17
2021-05-30,19,19,24
2021-06-06,22,25,27
2021-06-13,24,23,26
2021-06-20,24,30,38
2021-06-27,29,21,39
2021-07-04,32,23,48
2021-07-11,23,22,42
2021-07-18,30,34,47
2021-07-25,28,21,49
2021-08-01,20,18,51
2021-08-08,26,26,34
2021-08-15,33,28,39
2021-08-22,32,28,39
2021-08-29,31,29,40
2021-09-05,30,30,37
2021-09-12,30,27,51
2021-09-19,27,34,57
2021-09-26,31,27,45
2021-10-03,24,24,49
2021-10-10,31,36,40
2021-10-17,29,25,41
2021-10-24,19,25,35
2021-10-31,19,28,38
2021-11-07,17,28,33
2021-11-14,8,16,23
2021-11-21,18,24,26
2021-11-28,20,22,28
2021-12-05,17,24,25
2021-12-12,17,29,25
2021-12-19,22,24,35
2021-12-26,19,23,38
2022-01-02,31,32,41
2022-01-09,47,34,62
2022-01-16,61,31,100
2022-01-23,43,42,72
2022-01-30,26,29,49
2022-02-06,19,30,38
2022-02-13,11,32,31
2022-02-20,13,24,21
2022-02-27,16,16,35
2022-03-06,18,26,23
2022-03-13,18,24,25
2022-03-20,17,22,23
2022-03-27,23,25,25
2022-04-03,25,25,26
2022-04-10,20,23,27
2022-04-17,28,18,28
2022-04-24,27,38,28
2022-05-01,22,29,30
2022-05-08,23,20,36
2022-05-15,34,32,33
2022-05-22,35,34,42
2022-05-29,39,29,39
2022-06-05,0,0,0
