Category: All categories

Week,Fever: (Grenada),Headache: (Grenada),Cough: (Grenada)
2020-01-05,13,27,13
2020-01-12,0,47,12
2020-01-19,23,35,12
2020-01-26,22,33,22
2020-02-02,48,24,36
2020-02-09,33,33,45
2020-02-16,0,41,0
2020-02-23,10,52,10
2020-03-01,11,32,32
2020-03-08,55,22,44
2020-03-15,12,23,47
2020-03-22,47,12,24
2020-03-29,35,58,0
2020-04-05,13,25,37
2020-04-12,0,39,0
2020-04-19,23,34,11
2020-04-26,11,34,11
2020-05-03,11,23,11
2020-05-10,12,0,12
2020-05-17,12,37,12
2020-05-24,26,26,13
2020-05-31,13,13,0
2020-06-07,26,13,13
2020-06-14,13,13,26
2020-06-21,0,13,0
2020-06-28,13,40,0
2020-07-05,55,14,0
2020-07-12,0,13,27
2020-07-19,13,25,25
2020-07-26,13,0,13
2020-08-02,0,43,0
2020-08-09,0,29,0
2020-08-16,0,0,26
2020-08-23,41,14,41
2020-08-30,0,14,0
2020-09-06,39,52,0
2020-09-13,39,51,13
2020-09-20,63,38,0
2020-09-27,83,24,0
2020-10-04,60,60,12
2020-10-11,25,25,12
2020-10-18,24,24,0
2020-10-25,100,12,12
2020-11-01,57,34,11
2020-11-08,52,39,13
2020-11-15,38,63,13
2020-11-22,26,39,13
2020-11-29,26,38,0
2020-12-06,41,27,0
2020-12-13,54,81,27
2020-12-20,15,30,30
2020-12-27,27,27,0
2021-01-03,13,0,13
2021-01-10,0,0,0
2021-01-17,0,12,12
2021-01-24,0,48,12
2021-01-31,26,26,0
2021-02-07,0,53,0
2021-02-14,61,37,0
2021-02-21,24,24,0
2021-02-28,0,24,12
2021-03-07,0,12,0
2021-03-14,0,36,0
2021-03-21,27,27,14
2021-03-28,26,66,0
2021-04-04,0,0,27
2021-04-11,26,13,0
2021-04-18,12,25,0
2021-04-25,13,13,13
2021-05-02,0,12,0
2021-05-09,0,51,64
2021-05-16,0,53,0
2021-05-23,41,27,14
2021-05-30,13,26,13
2021-06-06,39,26,0
2021-06-13,0,13,26
2021-06-20,13,13,13
2021-06-27,0,0,0
2021-07-04,28,28,28
2021-07-11,25,25,0
2021-07-18,39,66,13
2021-07-25,13,26,13
2021-08-01,0,13,0
2021-08-08,12,49,12
2021-08-15,35,59,36
2021-08-22,36,61,25
2021-08-29,35,35,0
2021-09-05,100,78,56
2021-09-12,53,53,42
2021-09-19,42,63,84
2021-09-26,21,43,11
2021-10-03,21,73,32
2021-10-10,12,58,12
2021-10-17,11,11,34
2021-10-24,11,45,11
2021-10-31,11,23,11
2021-11-07,11,11,11
2021-11-14,10,21,0
2021-11-21,30,20,10
2021-11-28,9,18,28
2021-12-05,20,10,0
2021-12-12,10,10,0
2021-12-19,12,12,24
2021-12-26,23,45,11
2022-01-02,48,48,10
2022-01-09,37,28,9
2022-01-16,49,29,10
2022-01-23,21,42,11
2022-01-30,0,23,57
2022-02-06,22,0,11
2022-02-13,0,11,0
2022-02-20,0,33,11
2022-02-27,32,32,0
2022-03-06,10,10,21
2022-03-13,10,21,10
2022-03-20,0,11,11
2022-03-27,0,11,0
2022-04-03,11,21,43
2022-04-10,23,11,0
2022-04-17,23,34,12
2022-04-24,10,20,21
2022-05-01,11,21,11
2022-05-08,72,41,41
2022-05-15,22,22,11
2022-05-22,24,24,12
2022-05-29,25,51,26
2022-06-05,0,0,0
