Category: All categories

Week,Fever: (Guatemala),Headache: (Guatemala),Cough: (Guatemala)
2020-01-05,21,26,42
2020-01-12,23,16,32
2020-01-19,23,20,29
2020-01-26,28,21,36
2020-02-02,26,19,28
2020-02-09,21,22,33
2020-02-16,24,24,34
2020-02-23,26,19,41
2020-03-01,25,23,43
2020-03-08,31,19,43
2020-03-15,57,22,82
2020-03-22,43,19,50
2020-03-29,32,30,36
2020-04-05,35,30,41
2020-04-12,33,36,27
2020-04-19,33,20,17
2020-04-26,30,22,20
2020-05-03,30,24,15
2020-05-10,39,24,17
2020-05-17,37,28,22
2020-05-24,29,24,27
2020-05-31,24,30,22
2020-06-07,48,37,28
2020-06-14,50,28,34
2020-06-21,58,40,35
2020-06-28,47,33,55
2020-07-05,46,32,44
2020-07-12,51,33,43
2020-07-19,42,40,34
2020-07-26,30,27,35
2020-08-02,36,28,27
2020-08-09,29,23,22
2020-08-16,29,24,26
2020-08-23,30,27,25
2020-08-30,28,24,17
2020-09-06,28,25,24
2020-09-13,26,24,26
2020-09-20,24,28,28
2020-09-27,25,22,32
2020-10-04,30,23,22
2020-10-11,24,28,24
2020-10-18,28,20,27
2020-10-25,23,26,30
2020-11-01,21,26,22
2020-11-08,30,27,20
2020-11-15,24,23,21
2020-11-22,27,22,25
2020-11-29,29,27,28
2020-12-06,22,21,29
2020-12-13,23,23,32
2020-12-20,27,21,36
2020-12-27,37,19,38
2021-01-03,34,25,41
2021-01-10,23,26,35
2021-01-17,31,23,25
2021-01-24,19,23,28
2021-01-31,22,19,16
2021-02-07,17,25,16
2021-02-14,20,24,17
2021-02-21,23,23,25
2021-02-28,20,26,22
2021-03-07,26,24,24
2021-03-14,25,24,30
2021-03-21,24,25,31
2021-03-28,38,21,32
2021-04-04,33,26,26
2021-04-11,29,25,33
2021-04-18,30,22,30
2021-04-25,29,28,33
2021-05-02,26,21,23
2021-05-09,27,23,26
2021-05-16,33,29,27
2021-05-23,34,30,28
2021-05-30,32,27,30
2021-06-06,25,23,32
2021-06-13,32,23,38
2021-06-20,38,27,39
2021-06-27,40,35,37
2021-07-04,42,37,33
2021-07-11,34,26,41
2021-07-18,41,32,38
2021-07-25,37,31,42
2021-08-01,45,30,39
2021-08-08,46,33,46
2021-08-15,46,31,54
2021-08-22,46,36,47
2021-08-29,38,34,48
2021-09-05,40,33,41
2021-09-12,42,34,37
2021-09-19,34,28,39
2021-09-26,27,24,29
2021-10-03,31,26,31
2021-10-10,35,32,28
2021-10-17,24,20,33
2021-10-24,27,25,35
2021-10-31,26,20,32
2021-11-07,26,21,31
2021-11-14,25,18,34
2021-11-21,23,23,32
2021-11-28,18,22,25
2021-12-05,23,31,45
2021-12-12,33,20,34
2021-12-19,44,26,39
2021-12-26,67,28,77
2022-01-02,68,37,100
2022-01-09,58,38,84
2022-01-16,45,25,64
2022-01-23,45,25,61
2022-01-30,47,26,62
2022-02-06,40,24,48
2022-02-13,35,17,35
2022-02-20,25,27,39
2022-02-27,22,22,38
2022-03-06,32,23,27
2022-03-13,20,23,28
2022-03-20,23,26,32
2022-03-27,24,30,24
2022-04-03,26,17,29
2022-04-10,27,23,36
2022-04-17,29,25,38
2022-04-24,27,23,33
2022-05-01,22,21,34
2022-05-08,24,19,25
2022-05-15,31,23,38
2022-05-22,35,27,34
2022-05-29,28,16,33
2022-06-05,0,0,0
