Category: All categories

Week,Fever: (Guyana),Headache: (Guyana),Cough: (Guyana)
2020-01-05,48,32,24
2020-01-12,56,36,22
2020-01-19,47,49,23
2020-01-26,70,0,35
2020-02-02,88,12,35
2020-02-09,36,31,41
2020-02-16,89,38,47
2020-02-23,47,31,30
2020-03-01,22,6,27
2020-03-08,24,25,30
2020-03-15,54,32,60
2020-03-22,46,43,46
2020-03-29,69,61,52
2020-04-05,71,56,94
2020-04-12,89,38,24
2020-04-19,32,40,13
2020-04-26,56,46,56
2020-05-03,22,24,17
2020-05-10,23,48,40
2020-05-17,68,72,17
2020-05-24,28,30,51
2020-05-31,43,45,38
2020-06-07,21,56,16
2020-06-14,22,34,32
2020-06-21,5,29,16
2020-06-28,38,23,5
2020-07-05,27,34,5
2020-07-12,21,45,21
2020-07-19,16,46,16
2020-07-26,39,29,6
2020-08-02,34,35,45
2020-08-09,28,36,17
2020-08-16,55,23,27
2020-08-23,11,63,16
2020-08-30,43,45,32
2020-09-06,54,40,5
2020-09-13,20,43,31
2020-09-20,49,41,15
2020-09-27,30,47,30
2020-10-04,50,26,25
2020-10-11,40,47,10
2020-10-18,25,26,15
2020-10-25,46,22,5
2020-11-01,15,41,19
2020-11-08,31,0,5
2020-11-15,36,38,10
2020-11-22,25,37,30
2020-11-29,31,16,36
2020-12-06,31,17,31
2020-12-13,16,29,11
2020-12-20,39,42,20
2020-12-27,36,25,18
2021-01-03,30,37,20
2021-01-10,25,32,20
2021-01-17,21,33,5
2021-01-24,31,22,26
2021-01-31,37,44,37
2021-02-07,26,27,16
2021-02-14,42,50,37
2021-02-21,64,34,16
2021-02-28,31,28,5
2021-03-07,26,76,15
2021-03-14,19,31,24
2021-03-21,36,49,15
2021-03-28,35,44,11
2021-04-04,29,38,28
2021-04-11,22,51,10
2021-04-18,27,35,35
2021-04-25,21,25,25
2021-05-02,11,37,26
2021-05-09,11,21,27
2021-05-16,38,26,26
2021-05-23,23,59,27
2021-05-30,27,46,41
2021-06-06,32,40,35
2021-06-13,54,51,31
2021-06-20,27,31,31
2021-06-27,38,36,21
2021-07-04,40,43,27
2021-07-11,28,42,11
2021-07-18,36,11,34
2021-07-25,35,44,17
2021-08-01,29,33,38
2021-08-08,35,27,33
2021-08-15,18,50,44
2021-08-22,30,23,23
2021-08-29,37,35,35
2021-09-05,49,23,53
2021-09-12,48,45,40
2021-09-19,30,34,28
2021-09-26,35,22,33
2021-10-03,41,11,11
2021-10-10,30,45,28
2021-10-17,18,49,61
2021-10-24,28,52,31
2021-10-31,35,33,22
2021-11-07,34,27,21
2021-11-14,5,15,56
2021-11-21,37,35,20
2021-11-28,16,25,75
2021-12-05,6,42,58
2021-12-12,69,27,65
2021-12-19,52,12,0
2021-12-26,36,86,63
2022-01-02,60,26,67
2022-01-09,32,45,100
2022-01-16,37,40,50
2022-01-23,32,51,26
2022-01-30,17,26,47
2022-02-06,22,42,37
2022-02-13,28,52,26
2022-02-20,33,31,21
2022-02-27,38,36,31
2022-03-06,11,71,15
2022-03-13,33,15,10
2022-03-20,22,31,15
2022-03-27,16,35,30
2022-04-03,21,29,39
2022-04-10,23,54,27
2022-04-17,40,43,22
2022-04-24,22,41,21
2022-05-01,27,30,41
2022-05-08,27,35,20
2022-05-15,67,29,39
2022-05-22,51,75,59
2022-05-29,35,38,77
2022-06-05,0,0,0
