Category: All categories

Week,Fever: (Haiti),Headache: (Haiti),Cough: (Haiti)
2020-01-05,22,7,11
2020-01-12,12,9,6
2020-01-19,12,6,12
2020-01-26,15,15,23
2020-02-02,21,6,15
2020-02-09,9,22,15
2020-02-16,19,13,16
2020-02-23,7,17,16
2020-03-01,19,26,6
2020-03-08,28,22,19
2020-03-15,39,25,50
2020-03-22,30,15,38
2020-03-29,16,16,35
2020-04-05,12,12,24
2020-04-12,20,12,29
2020-04-19,20,16,8
2020-04-26,25,8,17
2020-05-03,32,12,8
2020-05-10,33,37,21
2020-05-17,100,16,32
2020-05-24,56,28,20
2020-05-31,32,18,21
2020-06-07,45,20,16
2020-06-14,22,13,16
2020-06-21,29,3,3
2020-06-28,10,3,13
2020-07-05,12,19,3
2020-07-12,14,7,3
2020-07-19,11,15,11
2020-07-26,18,7,11
2020-08-02,20,17,3
2020-08-09,13,10,0
2020-08-16,13,10,6
2020-08-23,27,18,3
2020-08-30,18,9,6
2020-09-06,25,22,14
2020-09-13,14,11,14
2020-09-20,16,16,24
2020-09-27,24,13,16
2020-10-04,27,16,14
2020-10-11,20,9,8
2020-10-18,11,8,6
2020-10-25,30,14,19
2020-11-01,14,14,11
2020-11-08,30,14,5
2020-11-15,30,19,8
2020-11-22,10,15,15
2020-11-29,12,10,2
2020-12-06,30,13,15
2020-12-13,30,8,20
2020-12-20,23,9,14
2020-12-27,13,19,16
2021-01-03,15,5,18
2021-01-10,19,11,5
2021-01-17,29,21,18
2021-01-24,11,19,3
2021-01-31,8,19,8
2021-02-07,15,13,8
2021-02-14,10,10,13
2021-02-21,12,17,12
2021-02-28,12,12,14
2021-03-07,17,10,7
2021-03-14,17,13,6
2021-03-21,12,12,9
2021-03-28,19,19,19
2021-04-04,21,7,18
2021-04-11,16,11,9
2021-04-18,15,4,4
2021-04-25,11,2,0
2021-05-02,9,9,7
2021-05-09,22,7,7
2021-05-16,11,11,9
2021-05-23,28,14,12
2021-05-30,21,12,16
2021-06-06,16,11,7
2021-06-13,16,11,11
2021-06-20,12,17,15
2021-06-27,10,31,7
2021-07-04,8,8,5
2021-07-11,13,11,13
2021-07-18,34,14,20
2021-07-25,25,14,8
2021-08-01,14,8,14
2021-08-08,21,13,16
2021-08-15,13,15,5
2021-08-22,28,3,15
2021-08-29,8,5,13
2021-09-05,22,3,5
2021-09-12,9,12,7
2021-09-19,10,7,10
2021-09-26,22,17,7
2021-10-03,17,10,7
2021-10-10,18,12,14
2021-10-17,21,9,11
2021-10-24,21,9,9
2021-10-31,12,19,12
2021-11-07,12,22,5
2021-11-14,28,5,14
2021-11-21,17,24,9
2021-11-28,19,13,4
2021-12-05,26,17,20
2021-12-12,23,16,18
2021-12-19,28,13,33
2021-12-26,66,26,29
2022-01-02,60,15,40
2022-01-09,39,10,17
2022-01-16,40,21,12
2022-01-23,22,10,17
2022-01-30,10,15,8
2022-02-06,15,15,15
2022-02-13,21,30,12
2022-02-20,21,16,12
2022-02-27,13,23,10
2022-03-06,5,9,7
2022-03-13,31,13,11
2022-03-20,16,16,9
2022-03-27,14,14,14
2022-04-03,10,6,6
2022-04-10,14,26,7
2022-04-17,17,11,9
2022-04-24,22,15,11
2022-05-01,9,11,7
2022-05-08,7,16,9
2022-05-15,25,14,11
2022-05-22,22,22,10
2022-05-29,23,5,23
2022-06-05,0,0,0
