Category: All categories

Week,Fever: (Honduras),Headache: (Honduras),Cough: (Honduras)
2020-01-05,11,18,22
2020-01-12,14,13,22
2020-01-19,12,14,20
2020-01-26,13,27,25
2020-02-02,12,17,19
2020-02-09,11,21,25
2020-02-16,17,11,22
2020-02-23,14,14,28
2020-03-01,18,10,20
2020-03-08,18,13,37
2020-03-15,34,23,57
2020-03-22,28,22,42
2020-03-29,20,18,36
2020-04-05,26,19,27
2020-04-12,27,26,22
2020-04-19,19,15,22
2020-04-26,16,24,19
2020-05-03,18,30,20
2020-05-10,19,22,16
2020-05-17,19,20,15
2020-05-24,23,18,17
2020-05-31,22,27,22
2020-06-07,36,30,32
2020-06-14,35,31,30
2020-06-21,35,26,35
2020-06-28,39,29,43
2020-07-05,33,33,26
2020-07-12,26,31,28
2020-07-19,30,31,30
2020-07-26,20,22,22
2020-08-02,17,17,16
2020-08-09,17,17,21
2020-08-16,14,17,19
2020-08-23,10,16,17
2020-08-30,16,16,19
2020-09-06,12,15,22
2020-09-13,13,17,19
2020-09-20,14,16,18
2020-09-27,11,17,20
2020-10-04,18,20,16
2020-10-11,10,17,13
2020-10-18,9,18,13
2020-10-25,10,16,14
2020-11-01,7,11,6
2020-11-08,16,17,16
2020-11-15,17,19,14
2020-11-22,17,18,14
2020-11-29,12,14,20
2020-12-06,11,14,21
2020-12-13,18,16,14
2020-12-20,20,20,21
2020-12-27,16,14,25
2021-01-03,15,21,24
2021-01-10,24,15,24
2021-01-17,22,23,20
2021-01-24,34,30,22
2021-01-31,19,27,19
2021-02-07,16,28,23
2021-02-14,18,17,23
2021-02-21,12,22,15
2021-02-28,16,16,15
2021-03-07,13,15,17
2021-03-14,18,13,18
2021-03-21,14,13,21
2021-03-28,14,20,21
2021-04-04,19,14,21
2021-04-11,21,19,25
2021-04-18,14,14,21
2021-04-25,14,21,21
2021-05-02,13,20,28
2021-05-09,14,14,16
2021-05-16,8,17,16
2021-05-23,14,18,21
2021-05-30,17,25,26
2021-06-06,12,13,19
2021-06-13,13,16,22
2021-06-20,20,20,14
2021-06-27,14,10,30
2021-07-04,17,24,31
2021-07-11,24,17,25
2021-07-18,22,23,31
2021-07-25,25,19,32
2021-08-01,21,20,27
2021-08-08,19,17,33
2021-08-15,26,17,34
2021-08-22,30,18,36
2021-08-29,17,14,28
2021-09-05,24,18,22
2021-09-12,17,17,34
2021-09-19,23,14,26
2021-09-26,18,16,34
2021-10-03,15,18,23
2021-10-10,16,19,22
2021-10-17,16,15,23
2021-10-24,15,15,18
2021-10-31,19,11,21
2021-11-07,13,13,17
2021-11-14,16,18,18
2021-11-21,10,15,24
2021-11-28,16,14,19
2021-12-05,13,13,23
2021-12-12,21,16,32
2021-12-19,39,20,45
2021-12-26,52,20,100
2022-01-02,40,22,74
2022-01-09,32,25,58
2022-01-16,34,26,61
2022-01-23,27,24,37
2022-01-30,21,25,36
2022-02-06,14,17,31
2022-02-13,12,26,29
2022-02-20,11,18,21
2022-02-27,16,11,24
2022-03-06,11,17,17
2022-03-13,15,11,15
2022-03-20,14,12,22
2022-03-27,11,15,19
2022-04-03,9,13,20
2022-04-10,15,19,24
2022-04-17,17,14,22
2022-04-24,10,11,22
2022-05-01,15,18,20
2022-05-08,15,14,23
2022-05-15,16,17,33
2022-05-22,20,18,22
2022-05-29,10,17,25
2022-06-05,0,0,0
