Category: All categories

Week,Fever: (Jamaica),Headache: (Jamaica),Cough: (Jamaica)
2020-01-05,49,30,19
2020-01-12,60,42,45
2020-01-19,44,33,52
2020-01-26,49,42,57
2020-02-02,51,38,54
2020-02-09,38,37,40
2020-02-16,38,37,25
2020-02-23,35,43,43
2020-03-01,58,44,43
2020-03-08,73,54,63
2020-03-15,93,61,90
2020-03-22,61,76,84
2020-03-29,54,54,46
2020-04-05,56,73,44
2020-04-12,44,78,39
2020-04-19,55,61,37
2020-04-26,41,62,26
2020-05-03,26,41,22
2020-05-10,26,45,18
2020-05-17,31,50,22
2020-05-24,27,47,14
2020-05-31,28,56,32
2020-06-07,22,40,15
2020-06-14,35,32,14
2020-06-21,24,51,20
2020-06-28,33,41,17
2020-07-05,26,31,13
2020-07-12,28,32,12
2020-07-19,33,29,19
2020-07-26,42,43,15
2020-08-02,35,34,16
2020-08-09,34,35,33
2020-08-16,26,36,23
2020-08-23,49,57,29
2020-08-30,50,47,43
2020-09-06,57,40,21
2020-09-13,33,56,17
2020-09-20,51,35,17
2020-09-27,28,36,21
2020-10-04,37,24,22
2020-10-11,36,46,22
2020-10-18,38,38,25
2020-10-25,36,38,17
2020-11-01,19,41,19
2020-11-08,29,36,14
2020-11-15,37,53,15
2020-11-22,31,38,19
2020-11-29,31,35,32
2020-12-06,29,51,19
2020-12-13,42,35,23
2020-12-20,35,32,20
2020-12-27,27,36,17
2021-01-03,41,37,20
2021-01-10,37,62,25
2021-01-17,26,41,27
2021-01-24,22,42,24
2021-01-31,30,36,33
2021-02-07,35,50,23
2021-02-14,61,41,42
2021-02-21,44,42,27
2021-02-28,47,36,26
2021-03-07,59,49,24
2021-03-14,49,52,33
2021-03-21,33,46,43
2021-03-28,40,41,31
2021-04-04,34,38,26
2021-04-11,36,40,19
2021-04-18,24,64,13
2021-04-25,28,47,27
2021-05-02,29,45,22
2021-05-09,29,34,21
2021-05-16,17,55,25
2021-05-23,23,32,19
2021-05-30,28,48,27
2021-06-06,20,39,22
2021-06-13,32,38,11
2021-06-20,25,30,8
2021-06-27,21,38,17
2021-07-04,18,31,24
2021-07-11,33,39,27
2021-07-18,30,28,28
2021-07-25,35,58,26
2021-08-01,48,36,42
2021-08-08,53,43,50
2021-08-15,68,55,34
2021-08-22,56,70,41
2021-08-29,88,57,56
2021-09-05,31,59,33
2021-09-12,32,61,42
2021-09-19,25,36,42
2021-09-26,35,40,26
2021-10-03,27,32,29
2021-10-10,18,42,38
2021-10-17,24,27,29
2021-10-24,28,47,23
2021-10-31,30,33,36
2021-11-07,34,35,29
2021-11-14,30,48,24
2021-11-21,30,31,33
2021-11-28,29,39,40
2021-12-05,20,37,33
2021-12-12,32,33,22
2021-12-19,40,29,43
2021-12-26,59,49,50
2022-01-02,100,69,88
2022-01-09,78,39,70
2022-01-16,63,41,60
2022-01-23,20,39,48
2022-01-30,41,32,32
2022-02-06,24,48,37
2022-02-13,25,28,30
2022-02-20,28,31,28
2022-02-27,35,26,36
2022-03-06,31,38,31
2022-03-13,25,27,22
2022-03-20,27,49,30
2022-03-27,39,43,29
2022-04-03,31,49,48
2022-04-10,25,36,51
2022-04-17,29,26,44
2022-04-24,36,36,46
2022-05-01,42,37,34
2022-05-08,38,45,45
2022-05-15,48,38,52
2022-05-22,50,49,48
2022-05-29,41,56,52
2022-06-05,0,0,0
