Category: All categories

Week,Fever: (Mexico),Headache: (Mexico),Cough: (Mexico)
2020-01-05,20,25,54
2020-01-12,25,29,48
2020-01-19,25,26,50
2020-01-26,22,26,51
2020-02-02,24,27,52
2020-02-09,24,27,45
2020-02-16,25,28,47
2020-02-23,24,30,48
2020-03-01,25,34,48
2020-03-08,26,32,52
2020-03-15,36,35,64
2020-03-22,32,38,53
2020-03-29,28,38,43
2020-04-05,25,33,38
2020-04-12,28,34,33
2020-04-19,29,33,28
2020-04-26,25,34,27
2020-05-03,27,36,26
2020-05-10,25,34,27
2020-05-17,28,35,26
2020-05-24,28,34,28
2020-05-31,29,34,28
2020-06-07,28,35,24
2020-06-14,30,36,26
2020-06-21,27,35,27
2020-06-28,30,38,27
2020-07-05,30,39,30
2020-07-12,34,39,30
2020-07-19,32,38,31
2020-07-26,27,37,29
2020-08-02,28,33,30
2020-08-09,25,34,28
2020-08-16,25,31,25
2020-08-23,26,28,24
2020-08-30,30,27,24
2020-09-06,23,28,27
2020-09-13,20,26,22
2020-09-20,20,25,22
2020-09-27,21,26,23
2020-10-04,21,27,24
2020-10-11,22,28,24
2020-10-18,23,28,25
2020-10-25,21,30,26
2020-11-01,19,27,26
2020-11-08,20,30,25
2020-11-15,22,28,28
2020-11-22,22,30,28
2020-11-29,20,29,29
2020-12-06,19,28,29
2020-12-13,23,31,36
2020-12-20,25,33,44
2020-12-27,27,32,48
2021-01-03,27,36,51
2021-01-10,25,36,47
2021-01-17,26,37,42
2021-01-24,23,36,37
2021-01-31,22,35,30
2021-02-07,22,32,30
2021-02-14,17,28,24
2021-02-21,19,32,23
2021-02-28,21,33,23
2021-03-07,18,32,21
2021-03-14,18,31,23
2021-03-21,19,31,23
2021-03-28,22,31,28
2021-04-04,21,30,26
2021-04-11,21,33,25
2021-04-18,26,42,27
2021-04-25,21,44,26
2021-05-02,20,40,25
2021-05-09,18,30,22
2021-05-16,22,31,24
2021-05-23,19,28,24
2021-05-30,19,27,24
2021-06-06,20,27,25
2021-06-13,20,29,32
2021-06-20,24,30,31
2021-06-27,24,30,32
2021-07-04,26,34,39
2021-07-11,30,38,48
2021-07-18,38,39,52
2021-07-25,39,39,57
2021-08-01,36,37,54
2021-08-08,38,39,55
2021-08-15,32,39,50
2021-08-22,27,35,44
2021-08-29,23,29,37
2021-09-05,24,29,32
2021-09-12,22,28,32
2021-09-19,20,27,31
2021-09-26,20,26,34
2021-10-03,21,29,33
2021-10-10,22,28,33
2021-10-17,19,26,36
2021-10-24,19,26,40
2021-10-31,18,26,44
2021-11-07,18,24,44
2021-11-14,17,25,44
2021-11-21,19,27,45
2021-11-28,17,24,44
2021-12-05,18,22,49
2021-12-12,19,26,50
2021-12-19,22,26,61
2021-12-26,30,31,77
2022-01-02,38,33,84
2022-01-09,46,41,100
2022-01-16,46,43,98
2022-01-23,34,39,83
2022-01-30,26,34,63
2022-02-06,22,30,49
2022-02-13,20,28,38
2022-02-20,20,28,32
2022-02-27,17,27,30
2022-03-06,20,28,28
2022-03-13,19,31,34
2022-03-20,20,29,37
2022-03-27,20,33,36
2022-04-03,19,30,37
2022-04-10,21,27,39
2022-04-17,21,26,32
2022-04-24,19,28,30
2022-05-01,20,29,38
2022-05-08,21,27,37
2022-05-15,25,28,43
2022-05-22,26,28,44
2022-05-29,25,27,46
2022-06-05,0,0,0
