Category: All categories

Week,Fever: (Nicaragua),Headache: (Nicaragua),Cough: (Nicaragua)
2020-01-05,24,32,40
2020-01-12,12,26,17
2020-01-19,15,21,20
2020-01-26,16,39,32
2020-02-02,17,23,22
2020-02-09,12,20,19
2020-02-16,11,19,26
2020-02-23,15,13,36
2020-03-01,15,28,27
2020-03-08,24,24,45
2020-03-15,39,19,60
2020-03-22,38,20,59
2020-03-29,17,24,40
2020-04-05,23,28,30
2020-04-12,19,23,33
2020-04-19,20,21,43
2020-04-26,34,30,53
2020-05-03,54,33,42
2020-05-10,62,31,72
2020-05-17,61,38,74
2020-05-24,58,48,72
2020-05-31,34,42,59
2020-06-07,45,43,64
2020-06-14,38,43,57
2020-06-21,25,23,35
2020-06-28,31,29,41
2020-07-05,18,21,27
2020-07-12,13,33,36
2020-07-19,26,35,30
2020-07-26,23,27,38
2020-08-02,28,23,30
2020-08-09,21,28,25
2020-08-16,24,29,28
2020-08-23,23,20,19
2020-08-30,19,30,16
2020-09-06,8,19,31
2020-09-13,23,27,40
2020-09-20,16,29,25
2020-09-27,13,17,27
2020-10-04,17,29,23
2020-10-11,23,20,22
2020-10-18,18,26,23
2020-10-25,17,27,27
2020-11-01,18,22,42
2020-11-08,19,28,41
2020-11-15,16,30,31
2020-11-22,31,22,27
2020-11-29,16,26,38
2020-12-06,23,25,25
2020-12-13,20,21,37
2020-12-20,15,15,41
2020-12-27,18,23,68
2021-01-03,16,13,35
2021-01-10,17,22,28
2021-01-17,12,23,28
2021-01-24,18,31,26
2021-01-31,18,23,24
2021-02-07,18,21,25
2021-02-14,9,19,26
2021-02-21,13,19,26
2021-02-28,14,22,37
2021-03-07,25,23,31
2021-03-14,13,20,37
2021-03-21,24,26,32
2021-03-28,31,23,24
2021-04-04,20,23,31
2021-04-11,35,23,32
2021-04-18,20,18,24
2021-04-25,14,17,20
2021-05-02,20,18,34
2021-05-09,29,23,24
2021-05-16,19,22,25
2021-05-23,26,26,26
2021-05-30,19,18,25
2021-06-06,14,26,39
2021-06-13,22,20,19
2021-06-20,25,25,31
2021-06-27,23,20,34
2021-07-04,30,29,40
2021-07-11,26,31,41
2021-07-18,21,30,37
2021-07-25,25,34,27
2021-08-01,26,24,30
2021-08-08,31,24,53
2021-08-15,31,21,63
2021-08-22,31,43,48
2021-08-29,51,28,67
2021-09-05,43,50,100
2021-09-12,33,43,77
2021-09-19,45,25,56
2021-09-26,35,34,50
2021-10-03,40,26,34
2021-10-10,16,19,41
2021-10-17,20,27,47
2021-10-24,20,23,28
2021-10-31,21,27,44
2021-11-07,18,17,37
2021-11-14,14,21,36
2021-11-21,21,24,57
2021-11-28,25,32,31
2021-12-05,25,31,14
2021-12-12,16,21,38
2021-12-19,15,39,38
2021-12-26,19,24,35
2022-01-02,19,30,39
2022-01-09,29,28,28
2022-01-16,35,26,41
2022-01-23,43,23,76
2022-01-30,39,34,58
2022-02-06,34,21,64
2022-02-13,32,31,46
2022-02-20,24,16,52
2022-02-27,21,38,42
2022-03-06,22,27,30
2022-03-13,25,25,34
2022-03-20,19,26,40
2022-03-27,17,28,41
2022-04-03,14,25,31
2022-04-10,21,12,49
2022-04-17,34,27,29
2022-04-24,27,19,35
2022-05-01,33,23,31
2022-05-08,27,25,36
2022-05-15,29,16,42
2022-05-22,35,27,34
2022-05-29,54,24,59
2022-06-05,0,0,0
