Category: All categories

Week,Fever: (Panama),Headache: (Panama),Cough: (Panama)
2020-01-05,30,25,36
2020-01-12,22,26,24
2020-01-19,37,27,37
2020-01-26,30,27,33
2020-02-02,19,20,34
2020-02-09,23,24,23
2020-02-16,37,25,24
2020-02-23,35,28,37
2020-03-01,34,33,27
2020-03-08,68,34,69
2020-03-15,92,32,100
2020-03-22,84,34,81
2020-03-29,67,44,49
2020-04-05,44,53,45
2020-04-12,56,49,48
2020-04-19,39,43,39
2020-04-26,40,48,35
2020-05-03,41,37,31
2020-05-10,37,39,21
2020-05-17,24,37,24
2020-05-24,37,30,27
2020-05-31,55,39,23
2020-06-07,49,41,30
2020-06-14,46,39,24
2020-06-21,47,56,23
2020-06-28,55,50,30
2020-07-05,61,47,31
2020-07-12,57,48,33
2020-07-19,37,39,34
2020-07-26,30,35,24
2020-08-02,37,29,32
2020-08-09,39,29,27
2020-08-16,25,30,27
2020-08-23,36,33,15
2020-08-30,30,30,21
2020-09-06,28,34,21
2020-09-13,27,29,20
2020-09-20,33,31,19
2020-09-27,27,23,15
2020-10-04,35,40,21
2020-10-11,30,31,23
2020-10-18,28,38,18
2020-10-25,35,28,22
2020-11-01,34,31,19
2020-11-08,33,23,23
2020-11-15,32,32,23
2020-11-22,35,28,24
2020-11-29,41,24,25
2020-12-06,54,32,34
2020-12-13,49,26,35
2020-12-20,55,37,42
2020-12-27,73,35,39
2021-01-03,48,47,43
2021-01-10,48,36,46
2021-01-17,39,44,35
2021-01-24,40,30,28
2021-01-31,33,26,23
2021-02-07,27,26,22
2021-02-14,28,31,20
2021-02-21,35,34,27
2021-02-28,31,28,17
2021-03-07,21,24,20
2021-03-14,24,23,19
2021-03-21,27,22,24
2021-03-28,20,25,21
2021-04-04,28,30,22
2021-04-11,24,36,20
2021-04-18,28,26,22
2021-04-25,15,27,22
2021-05-02,22,24,21
2021-05-09,27,19,21
2021-05-16,31,25,29
2021-05-23,27,33,26
2021-05-30,45,37,37
2021-06-06,48,32,30
2021-06-13,43,32,26
2021-06-20,49,34,34
2021-06-27,34,28,36
2021-07-04,33,23,27
2021-07-11,36,26,30
2021-07-18,29,32,37
2021-07-25,29,28,32
2021-08-01,29,30,31
2021-08-08,33,30,28
2021-08-15,34,30,25
2021-08-22,42,29,32
2021-08-29,28,28,22
2021-09-05,22,27,33
2021-09-12,28,33,32
2021-09-19,22,24,39
2021-09-26,23,19,33
2021-10-03,17,22,31
2021-10-10,24,23,29
2021-10-17,22,25,33
2021-10-24,28,33,34
2021-10-31,28,27,26
2021-11-07,22,23,33
2021-11-14,29,36,44
2021-11-21,31,28,42
2021-11-28,29,27,37
2021-12-05,32,22,38
2021-12-12,37,22,43
2021-12-19,56,35,65
2021-12-26,68,38,85
2022-01-02,81,40,78
2022-01-09,83,49,90
2022-01-16,93,40,84
2022-01-23,65,49,76
2022-01-30,50,26,52
2022-02-06,43,28,41
2022-02-13,30,30,24
2022-02-20,20,25,30
2022-02-27,27,35,30
2022-03-06,19,25,27
2022-03-13,28,26,33
2022-03-20,28,30,29
2022-03-27,33,24,30
2022-04-03,23,26,35
2022-04-10,27,34,35
2022-04-17,25,38,34
2022-04-24,25,26,33
2022-05-01,33,27,39
2022-05-08,52,37,54
2022-05-15,37,31,57
2022-05-22,58,26,47
2022-05-29,48,34,56
2022-06-05,0,0,0
