Category: All categories

Week,Fever: (Paraguay),Headache: (Paraguay),Cough: (Paraguay)
2020-01-05,40,19,8
2020-01-12,55,18,14
2020-01-19,63,29,15
2020-01-26,68,25,15
2020-02-02,72,26,10
2020-02-09,74,23,11
2020-02-16,55,29,17
2020-02-23,53,26,13
2020-03-01,34,18,17
2020-03-08,46,24,48
2020-03-15,71,26,43
2020-03-22,37,26,33
2020-03-29,39,17,28
2020-04-05,41,27,22
2020-04-12,31,21,19
2020-04-19,26,22,20
2020-04-26,21,18,12
2020-05-03,17,19,12
2020-05-10,22,25,11
2020-05-17,19,16,8
2020-05-24,17,18,12
2020-05-31,17,22,9
2020-06-07,19,20,10
2020-06-14,24,21,15
2020-06-21,21,20,15
2020-06-28,15,20,16
2020-07-05,20,18,13
2020-07-12,15,17,17
2020-07-19,23,22,13
2020-07-26,17,18,11
2020-08-02,24,17,23
2020-08-09,27,16,17
2020-08-16,15,16,16
2020-08-23,28,15,15
2020-08-30,25,24,15
2020-09-06,27,22,17
2020-09-13,17,23,12
2020-09-20,23,22,14
2020-09-27,20,16,12
2020-10-04,16,18,11
2020-10-11,19,22,12
2020-10-18,15,16,10
2020-10-25,25,21,13
2020-11-01,31,18,10
2020-11-08,21,14,16
2020-11-15,27,21,15
2020-11-22,28,23,17
2020-11-29,24,23,13
2020-12-06,28,26,17
2020-12-13,18,16,15
2020-12-20,27,21,24
2020-12-27,29,19,20
2021-01-03,30,20,22
2021-01-10,32,22,21
2021-01-17,28,27,19
2021-01-24,24,21,17
2021-01-31,27,18,16
2021-02-07,28,15,19
2021-02-14,30,22,19
2021-02-21,40,26,19
2021-02-28,34,21,15
2021-03-07,35,16,21
2021-03-14,39,17,22
2021-03-21,35,24,17
2021-03-28,43,31,29
2021-04-04,39,28,22
2021-04-11,39,24,22
2021-04-18,42,21,18
2021-04-25,30,19,22
2021-05-02,35,21,33
2021-05-09,27,14,30
2021-05-16,40,24,27
2021-05-23,31,20,39
2021-05-30,39,28,36
2021-06-06,37,26,35
2021-06-13,27,22,35
2021-06-20,27,21,26
2021-06-27,19,19,27
2021-07-04,38,18,31
2021-07-11,26,21,35
2021-07-18,23,23,24
2021-07-25,22,24,31
2021-08-01,23,15,22
2021-08-08,20,15,22
2021-08-15,31,20,25
2021-08-22,21,22,27
2021-08-29,20,18,26
2021-09-05,18,14,22
2021-09-12,17,21,22
2021-09-19,18,17,16
2021-09-26,21,15,19
2021-10-03,18,16,22
2021-10-10,21,16,26
2021-10-17,26,16,23
2021-10-24,20,19,29
2021-10-31,26,16,37
2021-11-07,29,18,24
2021-11-14,24,18,28
2021-11-21,25,20,26
2021-11-28,28,22,26
2021-12-05,30,16,26
2021-12-12,27,21,30
2021-12-19,52,17,34
2021-12-26,62,19,42
2022-01-02,86,31,62
2022-01-09,100,34,93
2022-01-16,75,35,75
2022-01-23,47,25,53
2022-01-30,39,24,33
2022-02-06,16,19,20
2022-02-13,26,19,22
2022-02-20,18,21,8
2022-02-27,18,18,16
2022-03-06,23,16,22
2022-03-13,24,11,21
2022-03-20,22,22,36
2022-03-27,24,22,28
2022-04-03,23,19,28
2022-04-10,23,26,37
2022-04-17,24,20,38
2022-04-24,29,22,40
2022-05-01,22,20,44
2022-05-08,34,15,55
2022-05-15,27,16,81
2022-05-22,35,22,75
2022-05-29,30,20,87
2022-06-05,0,0,0
