Category: All categories

Week,Fever: (Peru),Headache: (Peru),Cough: (Peru)
2020-01-05,27,21,23
2020-01-12,23,18,18
2020-01-19,25,18,17
2020-01-26,20,16,15
2020-02-02,20,19,17
2020-02-09,24,18,16
2020-02-16,23,20,16
2020-02-23,25,20,18
2020-03-01,23,19,21
2020-03-08,36,21,36
2020-03-15,57,32,63
2020-03-22,45,36,46
2020-03-29,40,29,36
2020-04-05,47,33,38
2020-04-12,50,32,41
2020-04-19,48,30,40
2020-04-26,47,30,33
2020-05-03,44,30,33
2020-05-10,39,26,30
2020-05-17,39,24,31
2020-05-24,38,30,29
2020-05-31,38,28,27
2020-06-07,31,26,25
2020-06-14,39,27,30
2020-06-21,45,26,27
2020-06-28,36,26,26
2020-07-05,31,26,24
2020-07-12,32,27,24
2020-07-19,36,28,25
2020-07-26,37,30,30
2020-08-02,34,26,27
2020-08-09,31,26,26
2020-08-16,30,25,24
2020-08-23,30,25,25
2020-08-30,21,24,17
2020-09-06,22,22,14
2020-09-13,24,23,17
2020-09-20,23,20,16
2020-09-27,19,22,15
2020-10-04,21,20,14
2020-10-11,18,22,13
2020-10-18,22,21,15
2020-10-25,20,20,18
2020-11-01,21,20,16
2020-11-08,24,22,14
2020-11-15,21,20,13
2020-11-22,20,17,16
2020-11-29,20,19,14
2020-12-06,18,16,15
2020-12-13,22,18,15
2020-12-20,23,19,20
2020-12-27,32,22,18
2021-01-03,35,25,24
2021-01-10,40,26,24
2021-01-17,40,32,27
2021-01-24,44,28,26
2021-01-31,43,28,29
2021-02-07,53,31,27
2021-02-14,40,26,25
2021-02-21,37,28,24
2021-02-28,44,29,24
2021-03-07,37,23,22
2021-03-14,34,25,21
2021-03-21,36,26,25
2021-03-28,43,27,36
2021-04-04,37,25,27
2021-04-11,34,23,26
2021-04-18,33,25,28
2021-04-25,30,22,23
2021-05-02,27,20,22
2021-05-09,28,21,20
2021-05-16,27,22,24
2021-05-23,29,27,26
2021-05-30,24,22,23
2021-06-06,18,18,19
2021-06-13,21,20,21
2021-06-20,21,20,20
2021-06-27,21,18,20
2021-07-04,21,20,19
2021-07-11,22,21,17
2021-07-18,21,20,20
2021-07-25,23,24,18
2021-08-01,24,24,20
2021-08-08,23,20,22
2021-08-15,21,20,22
2021-08-22,23,20,19
2021-08-29,24,19,18
2021-09-05,22,17,17
2021-09-12,20,19,19
2021-09-19,22,20,18
2021-09-26,20,19,15
2021-10-03,19,19,16
2021-10-10,24,21,17
2021-10-17,22,19,19
2021-10-24,22,21,22
2021-10-31,25,22,22
2021-11-07,21,21,23
2021-11-14,22,19,22
2021-11-21,25,20,24
2021-11-28,26,20,21
2021-12-05,24,17,20
2021-12-12,23,19,23
2021-12-19,34,23,31
2021-12-26,46,27,40
2022-01-02,73,31,55
2022-01-09,100,37,74
2022-01-16,84,34,76
2022-01-23,55,28,64
2022-01-30,37,26,38
2022-02-06,31,23,27
2022-02-13,28,23,20
2022-02-20,27,20,20
2022-02-27,27,20,19
2022-03-06,29,22,19
2022-03-13,26,18,26
2022-03-20,29,19,30
2022-03-27,26,20,30
2022-04-03,26,19,30
2022-04-10,27,20,33
2022-04-17,26,23,28
2022-04-24,24,21,29
2022-05-01,25,20,28
2022-05-08,26,18,37
2022-05-15,24,20,41
2022-05-22,26,20,32
2022-05-29,27,19,38
2022-06-05,0,0,0
