Category: All categories

Week,Fever: (St. Lucia),Headache: (St. Lucia),Cough: (St. Lucia)
2020-01-05,6,29,12
2020-01-12,0,23,30
2020-01-19,23,23,12
2020-01-26,19,25,0
2020-02-02,12,24,19
2020-02-09,17,52,12
2020-02-16,22,39,11
2020-02-23,5,38,11
2020-03-01,50,0,17
2020-03-08,28,11,17
2020-03-15,6,11,18
2020-03-22,38,16,28
2020-03-29,10,26,22
2020-04-05,22,28,6
2020-04-12,32,42,27
2020-04-19,20,10,15
2020-04-26,15,21,0
2020-05-03,5,5,5
2020-05-10,5,21,0
2020-05-17,10,21,5
2020-05-24,22,16,6
2020-05-31,11,51,12
2020-06-07,17,6,12
2020-06-14,0,6,0
2020-06-21,17,28,0
2020-06-28,23,23,6
2020-07-05,6,24,6
2020-07-12,24,12,0
2020-07-19,0,12,0
2020-07-26,29,53,0
2020-08-02,24,30,12
2020-08-09,18,42,6
2020-08-16,53,18,6
2020-08-23,49,12,0
2020-08-30,89,12,12
2020-09-06,100,24,6
2020-09-13,62,17,0
2020-09-20,64,29,12
2020-09-27,40,11,0
2020-10-04,72,30,12
2020-10-11,85,12,0
2020-10-18,70,17,6
2020-10-25,98,38,0
2020-11-01,43,24,10
2020-11-08,11,49,6
2020-11-15,33,22,11
2020-11-22,17,17,6
2020-11-29,22,28,6
2020-12-06,23,17,18
2020-12-13,29,18,6
2020-12-20,6,13,6
2020-12-27,12,17,0
2021-01-03,5,22,17
2021-01-10,29,23,12
2021-01-17,56,34,6
2021-01-24,16,16,6
2021-01-31,22,27,6
2021-02-07,5,21,11
2021-02-14,27,5,17
2021-02-21,16,21,6
2021-02-28,11,38,6
2021-03-07,11,11,6
2021-03-14,15,20,16
2021-03-21,23,46,12
2021-03-28,6,42,12
2021-04-04,23,6,0
2021-04-11,6,12,6
2021-04-18,0,12,12
2021-04-25,24,30,6
2021-05-02,0,12,6
2021-05-09,12,30,0
2021-05-16,0,48,6
2021-05-23,0,19,6
2021-05-30,12,37,6
2021-06-06,23,6,6
2021-06-13,16,22,11
2021-06-20,36,18,18
2021-06-27,18,12,0
2021-07-04,6,6,25
2021-07-11,18,24,12
2021-07-18,0,6,0
2021-07-25,19,26,0
2021-08-01,25,6,12
2021-08-08,11,17,17
2021-08-15,18,30,0
2021-08-22,6,18,6
2021-08-29,43,12,12
2021-09-05,6,18,12
2021-09-12,23,23,6
2021-09-19,17,28,0
2021-09-26,11,17,28
2021-10-03,11,11,6
2021-10-10,12,6,17
2021-10-17,24,30,0
2021-10-24,0,13,13
2021-10-31,6,19,25
2021-11-07,19,6,6
2021-11-14,17,29,0
2021-11-21,39,11,16
2021-11-28,16,16,0
2021-12-05,11,23,11
2021-12-12,17,6,6
2021-12-19,0,25,12
2021-12-26,11,0,22
2022-01-02,11,16,16
2022-01-09,11,11,16
2022-01-16,40,23,28
2022-01-23,17,17,28
2022-01-30,6,6,6
2022-02-06,12,12,6
2022-02-13,12,12,12
2022-02-20,6,6,12
2022-02-27,12,12,6
2022-03-06,6,17,0
2022-03-13,6,0,11
2022-03-20,12,30,6
2022-03-27,12,0,0
2022-04-03,0,6,6
2022-04-10,6,18,24
2022-04-17,0,6,24
2022-04-24,23,6,6
2022-05-01,12,31,24
2022-05-08,18,0,12
2022-05-15,34,6,28
2022-05-22,6,6,12
2022-05-29,12,0,18
2022-06-05,0,0,0
