Category: All categories

Week,Fever: (St. Vincent & Grenadines),Headache: (St. Vincent & Grenadines),Cough: (St. Vincent & Grenadines)
2020-01-05,5,19,5
2020-01-12,4,9,0
2020-01-19,5,9,0
2020-01-26,5,10,14
2020-02-02,5,10,14
2020-02-09,10,0,14
2020-02-16,5,9,0
2020-02-23,0,9,18
2020-03-01,5,5,0
2020-03-08,5,0,0
2020-03-15,30,10,29
2020-03-22,5,0,32
2020-03-29,10,0,5
2020-04-05,14,14,9
2020-04-12,23,5,9
2020-04-19,0,14,4
2020-04-26,4,14,18
2020-05-03,9,4,0
2020-05-10,4,5,0
2020-05-17,9,9,0
2020-05-24,4,0,13
2020-05-31,9,5,4
2020-06-07,0,4,0
2020-06-14,0,4,0
2020-06-21,9,5,0
2020-06-28,0,5,5
2020-07-05,0,5,5
2020-07-12,0,0,0
2020-07-19,18,5,4
2020-07-26,18,14,9
2020-08-02,0,5,0
2020-08-09,19,19,5
2020-08-16,14,23,0
2020-08-23,44,5,5
2020-08-30,54,0,0
2020-09-06,54,10,10
2020-09-13,83,0,0
2020-09-20,100,15,0
2020-09-27,56,5,5
2020-10-04,44,0,0
2020-10-11,59,0,11
2020-10-18,27,22,16
2020-10-25,21,11,5
2020-11-01,14,10,5
2020-11-08,25,10,15
2020-11-15,14,10,0
2020-11-22,10,5,15
2020-11-29,15,11,0
2020-12-06,0,0,0
2020-12-13,11,5,0
2020-12-20,6,6,6
2020-12-27,20,15,5
2021-01-03,13,0,0
2021-01-10,22,9,4
2021-01-17,8,8,12
2021-01-24,8,9,8
2021-01-31,17,13,0
2021-02-07,12,25,4
2021-02-14,25,13,0
2021-02-21,8,21,0
2021-02-28,4,4,0
2021-03-07,4,13,0
2021-03-14,9,9,8
2021-03-21,4,9,9
2021-03-28,0,0,0
2021-04-04,0,15,0
2021-04-11,5,11,5
2021-04-18,5,9,0
2021-04-25,9,9,0
2021-05-02,14,9,0
2021-05-09,0,14,9
2021-05-16,5,10,0
2021-05-23,0,4,4
2021-05-30,0,0,4
2021-06-06,13,4,4
2021-06-13,16,20,0
2021-06-20,0,4,13
2021-06-27,4,8,0
2021-07-04,4,0,0
2021-07-11,0,0,0
2021-07-18,9,5,5
2021-07-25,4,0,22
2021-08-01,5,5,0
2021-08-08,0,9,4
2021-08-15,0,18,9
2021-08-22,5,0,5
2021-08-29,24,5,10
2021-09-05,0,0,11
2021-09-12,0,15,5
2021-09-19,10,5,5
2021-09-26,15,0,5
2021-10-03,0,9,22
2021-10-10,4,13,4
2021-10-17,13,18,4
2021-10-24,9,0,9
2021-10-31,14,14,5
2021-11-07,19,0,5
2021-11-14,4,8,8
2021-11-21,4,0,0
2021-11-28,8,12,4
2021-12-05,17,17,17
2021-12-12,9,4,9
2021-12-19,5,10,10
2021-12-26,5,5,0
2022-01-02,31,4,8
2022-01-09,28,8,16
2022-01-16,8,21,8
2022-01-23,4,9,26
2022-01-30,19,5,32
2022-02-06,9,9,5
2022-02-13,18,18,5
2022-02-20,5,14,18
2022-02-27,5,5,9
2022-03-06,0,5,0
2022-03-13,9,0,5
2022-03-20,5,5,0
2022-03-27,10,10,0
2022-04-03,5,9,5
2022-04-10,5,10,0
2022-04-17,0,19,0
2022-04-24,5,5,9
2022-05-01,19,5,0
2022-05-08,14,9,0
2022-05-15,5,0,5
2022-05-22,10,10,5
2022-05-29,5,20,10
2022-06-05,0,0,0
