Category: All categories

Week,Fever: (Suriname),Headache: (Suriname),Cough: (Suriname)
2020-01-05,30,22,31
2020-01-12,58,43,23
2020-01-19,15,29,15
2020-01-26,59,29,31
2020-02-02,45,15,31
2020-02-09,7,22,16
2020-02-16,51,36,15
2020-02-23,51,22,31
2020-03-01,37,22,46
2020-03-08,38,15,47
2020-03-15,43,36,60
2020-03-22,14,62,29
2020-03-29,36,14,75
2020-04-05,22,59,31
2020-04-12,24,31,25
2020-04-19,16,32,43
2020-04-26,33,16,0
2020-05-03,16,32,9
2020-05-10,41,49,0
2020-05-17,0,59,0
2020-05-24,31,62,0
2020-05-31,22,37,23
2020-06-07,23,61,24
2020-06-14,15,72,30
2020-06-21,15,45,8
2020-06-28,30,22,8
2020-07-05,23,15,8
2020-07-12,16,23,8
2020-07-19,24,47,17
2020-07-26,24,55,0
2020-08-02,19,38,27
2020-08-09,26,25,7
2020-08-16,7,34,14
2020-08-23,43,49,7
2020-08-30,7,27,7
2020-09-06,33,20,0
2020-09-13,21,42,22
2020-09-20,23,30,24
2020-09-27,40,32,0
2020-10-04,43,17,0
2020-10-11,34,34,18
2020-10-18,8,33,0
2020-10-25,0,24,0
2020-11-01,16,8,8
2020-11-08,8,24,26
2020-11-15,16,8,17
2020-11-22,0,32,17
2020-11-29,8,41,17
2020-12-06,33,0,17
2020-12-13,16,49,9
2020-12-20,17,42,35
2020-12-27,9,26,18
2021-01-03,23,53,32
2021-01-10,32,39,33
2021-01-17,16,48,25
2021-01-24,8,55,58
2021-01-31,8,15,0
2021-02-07,15,54,16
2021-02-14,31,16,8
2021-02-21,39,39,32
2021-02-28,17,58,18
2021-03-07,36,0,19
2021-03-14,17,52,9
2021-03-21,19,47,10
2021-03-28,50,20,0
2021-04-04,9,18,36
2021-04-11,0,44,9
2021-04-18,0,17,17
2021-04-25,8,48,40
2021-05-02,25,33,17
2021-05-09,34,34,42
2021-05-16,33,42,25
2021-05-23,26,43,26
2021-05-30,35,35,17
2021-06-06,58,99,0
2021-06-13,51,68,25
2021-06-20,17,43,17
2021-06-27,17,17,25
2021-07-04,44,36,9
2021-07-11,30,50,0
2021-07-18,42,73,0
2021-07-25,0,19,10
2021-08-01,28,37,37
2021-08-08,47,57,19
2021-08-15,36,18,54
2021-08-22,18,98,27
2021-08-29,56,28,37
2021-09-05,40,40,50
2021-09-12,40,70,30
2021-09-19,39,29,29
2021-09-26,49,49,10
2021-10-03,20,39,10
2021-10-10,38,9,38
2021-10-17,17,42,25
2021-10-24,24,16,33
2021-10-31,25,0,34
2021-11-07,33,100,17
2021-11-14,16,33,16
2021-11-21,8,32,8
2021-11-28,55,24,16
2021-12-05,16,32,49
2021-12-12,32,32,32
2021-12-19,17,9,9
2021-12-26,44,62,97
2022-01-02,55,55,70
2022-01-09,63,16,55
2022-01-16,25,25,41
2022-01-23,33,66,50
2022-01-30,35,62,44
2022-02-06,25,51,51
2022-02-13,0,42,33
2022-02-20,41,41,16
2022-02-27,33,25,17
2022-03-06,8,59,34
2022-03-13,9,17,35
2022-03-20,17,61,17
2022-03-27,34,42,67
2022-04-03,56,32,32
2022-04-10,44,44,17
2022-04-17,34,34,25
2022-04-24,34,60,17
2022-05-01,26,43,78
2022-05-08,17,34,51
2022-05-15,59,42,50
2022-05-22,17,52,61
2022-05-29,27,45,27
2022-06-05,0,0,0
