Category: All categories

Week,Fever: (Trinidad & Tobago),Headache: (Trinidad & Tobago),Cough: (Trinidad & Tobago)
2020-01-05,19,32,45
2020-01-12,39,43,39
2020-01-19,32,40,44
2020-01-26,42,59,44
2020-02-02,48,36,40
2020-02-09,23,42,46
2020-02-16,40,42,31
2020-02-23,47,43,47
2020-03-01,38,38,56
2020-03-08,43,37,57
2020-03-15,83,55,95
2020-03-22,83,62,100
2020-03-29,88,55,96
2020-04-05,55,61,55
2020-04-12,37,61,44
2020-04-19,31,50,38
2020-04-26,54,66,44
2020-05-03,43,58,28
2020-05-10,24,58,22
2020-05-17,28,52,23
2020-05-24,35,60,37
2020-05-31,38,50,17
2020-06-07,26,54,21
2020-06-14,16,60,13
2020-06-21,23,44,8
2020-06-28,25,46,25
2020-07-05,33,65,16
2020-07-12,15,79,16
2020-07-19,38,65,18
2020-07-26,54,53,41
2020-08-02,52,52,30
2020-08-09,41,71,45
2020-08-16,76,66,51
2020-08-23,87,54,33
2020-08-30,42,53,41
2020-09-06,43,57,24
2020-09-13,40,63,39
2020-09-20,44,79,23
2020-09-27,29,43,15
2020-10-04,33,59,22
2020-10-11,36,52,26
2020-10-18,39,50,17
2020-10-25,31,52,24
2020-11-01,34,58,19
2020-11-08,16,46,35
2020-11-15,30,52,23
2020-11-22,37,32,26
2020-11-29,29,54,23
2020-12-06,22,33,23
2020-12-13,38,39,24
2020-12-20,34,50,30
2020-12-27,29,38,43
2021-01-03,33,62,23
2021-01-10,25,50,22
2021-01-17,21,66,25
2021-01-24,34,52,23
2021-01-31,19,47,14
2021-02-07,28,49,11
2021-02-14,17,36,20
2021-02-21,16,48,28
2021-02-28,21,55,12
2021-03-07,34,52,12
2021-03-14,35,57,34
2021-03-21,25,43,23
2021-03-28,19,42,22
2021-04-04,36,56,18
2021-04-11,34,47,24
2021-04-18,33,49,34
2021-04-25,43,60,31
2021-05-02,41,56,41
2021-05-09,86,67,45
2021-05-16,68,82,59
2021-05-23,60,84,65
2021-05-30,57,77,44
2021-06-06,65,62,42
2021-06-13,60,71,40
2021-06-20,41,71,45
2021-06-27,54,66,36
2021-07-04,38,49,42
2021-07-11,45,65,26
2021-07-18,31,64,33
2021-07-25,40,70,44
2021-08-01,50,62,15
2021-08-08,34,57,35
2021-08-15,28,57,29
2021-08-22,33,69,33
2021-08-29,41,49,33
2021-09-05,30,39,17
2021-09-12,30,37,23
2021-09-19,23,40,26
2021-09-26,30,46,25
2021-10-03,25,47,24
2021-10-10,36,34,27
2021-10-17,36,43,35
2021-10-24,36,38,32
2021-10-31,49,43,57
2021-11-07,47,35,36
2021-11-14,47,45,39
2021-11-21,45,48,65
2021-11-28,56,30,57
2021-12-05,74,56,63
2021-12-12,47,40,66
2021-12-19,52,59,70
2021-12-26,82,75,63
2022-01-02,57,31,59
2022-01-09,67,65,69
2022-01-16,62,60,64
2022-01-23,58,71,87
2022-01-30,65,51,61
2022-02-06,49,66,44
2022-02-13,72,41,45
2022-02-20,51,47,61
2022-02-27,32,41,49
2022-03-06,34,60,33
2022-03-13,47,42,44
2022-03-20,32,56,42
2022-03-27,32,56,57
2022-04-03,41,50,39
2022-04-10,38,37,28
2022-04-17,57,41,50
2022-04-24,87,51,81
2022-05-01,64,55,84
2022-05-08,57,71,61
2022-05-15,50,53,69
2022-05-22,49,56,64
2022-05-29,45,61,33
2022-06-05,0,0,0
