Category: All categories

Week,Fever: (Uruguay),Headache: (Uruguay),Cough: (Uruguay)
2020-01-05,24,18,16
2020-01-12,27,12,18
2020-01-19,22,17,13
2020-01-26,22,16,19
2020-02-02,17,20,12
2020-02-09,20,16,11
2020-02-16,18,18,12
2020-02-23,21,16,21
2020-03-01,23,16,11
2020-03-08,29,15,28
2020-03-15,89,36,62
2020-03-22,54,32,38
2020-03-29,29,30,25
2020-04-05,36,24,21
2020-04-12,20,14,17
2020-04-19,31,14,16
2020-04-26,20,18,20
2020-05-03,23,22,13
2020-05-10,24,18,18
2020-05-17,18,23,16
2020-05-24,26,18,10
2020-05-31,21,19,11
2020-06-07,28,23,7
2020-06-14,13,17,16
2020-06-21,22,19,12
2020-06-28,19,13,17
2020-07-05,27,18,21
2020-07-12,22,17,24
2020-07-19,24,22,22
2020-07-26,24,20,24
2020-08-02,19,17,16
2020-08-09,18,14,15
2020-08-16,20,15,16
2020-08-23,23,15,20
2020-08-30,14,17,12
2020-09-06,19,18,14
2020-09-13,23,19,13
2020-09-20,16,18,14
2020-09-27,17,17,16
2020-10-04,23,19,15
2020-10-11,26,22,16
2020-10-18,18,19,13
2020-10-25,20,23,13
2020-11-01,18,28,14
2020-11-08,29,17,10
2020-11-15,36,22,21
2020-11-22,21,20,20
2020-11-29,33,21,15
2020-12-06,29,19,13
2020-12-13,26,24,18
2020-12-20,34,20,18
2020-12-27,32,20,16
2021-01-03,33,26,16
2021-01-10,36,22,14
2021-01-17,35,28,12
2021-01-24,29,23,12
2021-01-31,29,16,16
2021-02-07,28,29,12
2021-02-14,22,24,17
2021-02-21,34,33,8
2021-02-28,38,26,16
2021-03-07,48,25,19
2021-03-14,40,18,24
2021-03-21,50,23,26
2021-03-28,53,26,28
2021-04-04,43,20,18
2021-04-11,35,23,19
2021-04-18,37,18,19
2021-04-25,31,32,15
2021-05-02,26,22,17
2021-05-09,26,21,18
2021-05-16,28,22,21
2021-05-23,35,26,14
2021-05-30,28,18,27
2021-06-06,33,19,26
2021-06-13,27,15,19
2021-06-20,26,22,22
2021-06-27,23,22,22
2021-07-04,21,15,24
2021-07-11,26,16,28
2021-07-18,27,19,30
2021-07-25,15,24,22
2021-08-01,16,15,40
2021-08-08,34,21,33
2021-08-15,26,17,57
2021-08-22,36,20,59
2021-08-29,31,15,57
2021-09-05,22,14,38
2021-09-12,28,16,38
2021-09-19,20,20,26
2021-09-26,21,23,26
2021-10-03,25,20,28
2021-10-10,33,15,25
2021-10-17,25,16,32
2021-10-24,38,22,34
2021-10-31,30,19,39
2021-11-07,31,17,26
2021-11-14,26,18,36
2021-11-21,29,15,31
2021-11-28,29,14,27
2021-12-05,29,19,25
2021-12-12,28,14,28
2021-12-19,45,18,35
2021-12-26,45,17,49
2022-01-02,48,21,44
2022-01-09,100,33,40
2022-01-16,87,30,51
2022-01-23,86,25,34
2022-01-30,69,27,28
2022-02-06,58,26,24
2022-02-13,34,32,21
2022-02-20,37,17,22
2022-02-27,24,21,16
2022-03-06,21,18,19
2022-03-13,28,22,27
2022-03-20,26,15,25
2022-03-27,22,14,25
2022-04-03,23,15,33
2022-04-10,39,20,41
2022-04-17,34,14,40
2022-04-24,30,19,45
2022-05-01,35,18,36
2022-05-08,37,24,50
2022-05-15,44,20,56
2022-05-22,44,18,61
2022-05-29,43,28,67
2022-06-05,0,0,0
