Category: All categories

Week,Fever: (Venezuela),Headache: (Venezuela),Cough: (Venezuela)
2020-01-05,35,24,42
2020-01-12,30,21,33
2020-01-19,26,25,32
2020-01-26,28,22,31
2020-02-02,31,20,33
2020-02-09,26,18,34
2020-02-16,37,27,44
2020-02-23,37,25,45
2020-03-01,34,26,37
2020-03-08,31,26,53
2020-03-15,53,31,91
2020-03-22,48,30,66
2020-03-29,46,37,51
2020-04-05,42,39,42
2020-04-12,46,33,36
2020-04-19,35,29,29
2020-04-26,37,38,27
2020-05-03,28,30,21
2020-05-10,28,25,20
2020-05-17,25,27,22
2020-05-24,29,30,20
2020-05-31,29,28,17
2020-06-07,28,28,21
2020-06-14,32,26,21
2020-06-21,34,28,25
2020-06-28,34,37,25
2020-07-05,38,31,31
2020-07-12,41,34,28
2020-07-19,45,28,30
2020-07-26,45,43,40
2020-08-02,57,42,39
2020-08-09,55,37,35
2020-08-16,54,38,41
2020-08-23,49,39,37
2020-08-30,45,38,40
2020-09-06,44,35,32
2020-09-13,37,33,35
2020-09-20,38,35,36
2020-09-27,37,29,29
2020-10-04,40,31,29
2020-10-11,36,27,28
2020-10-18,28,28,26
2020-10-25,34,23,24
2020-11-01,26,29,24
2020-11-08,29,21,26
2020-11-15,27,20,27
2020-11-22,34,25,30
2020-11-29,30,26,28
2020-12-06,31,26,28
2020-12-13,31,27,33
2020-12-20,33,24,34
2020-12-27,44,27,48
2021-01-03,51,34,63
2021-01-10,42,33,37
2021-01-17,36,38,40
2021-01-24,38,33,31
2021-01-31,34,33,32
2021-02-07,35,32,33
2021-02-14,37,34,38
2021-02-21,40,33,36
2021-02-28,34,35,40
2021-03-07,47,33,49
2021-03-14,47,39,44
2021-03-21,51,42,49
2021-03-28,54,49,66
2021-04-04,54,44,53
2021-04-11,40,39,39
2021-04-18,44,34,44
2021-04-25,35,30,37
2021-05-02,36,33,34
2021-05-09,41,31,33
2021-05-16,40,34,40
2021-05-23,47,32,41
2021-05-30,50,36,46
2021-06-06,46,36,42
2021-06-13,47,34,48
2021-06-20,46,44,45
2021-06-27,54,37,51
2021-07-04,52,39,49
2021-07-11,50,33,52
2021-07-18,42,38,52
2021-07-25,52,42,67
2021-08-01,56,35,53
2021-08-08,55,36,54
2021-08-15,50,40,58
2021-08-22,50,39,56
2021-08-29,52,35,51
2021-09-05,42,39,49
2021-09-12,50,43,42
2021-09-19,40,33,42
2021-09-26,48,34,52
2021-10-03,43,30,53
2021-10-10,43,36,46
2021-10-17,53,29,57
2021-10-24,47,33,53
2021-10-31,55,34,52
2021-11-07,60,35,56
2021-11-14,57,33,74
2021-11-21,51,30,54
2021-11-28,54,34,51
2021-12-05,47,31,65
2021-12-12,47,31,57
2021-12-19,47,29,60
2021-12-26,49,27,79
2022-01-02,67,35,81
2022-01-09,72,49,93
2022-01-16,80,45,100
2022-01-23,73,37,94
2022-01-30,55,32,76
2022-02-06,39,31,65
2022-02-13,31,26,41
2022-02-20,29,30,39
2022-02-27,33,27,37
2022-03-06,24,30,39
2022-03-13,23,33,36
2022-03-20,25,25,38
2022-03-27,26,32,38
2022-04-03,35,33,42
2022-04-10,31,29,39
2022-04-17,34,35,38
2022-04-24,27,28,38
2022-05-01,40,25,35
2022-05-08,31,28,43
2022-05-15,31,33,56
2022-05-22,42,32,55
2022-05-29,41,32,47
2022-06-05,0,0,0
