Week,Fever_Antigua and Barbuda,Headache_Antigua and Barbuda,Cough_Antigua and Barbuda,Fever_Bahamas,Headache_Bahamas,Cough_Bahamas,Fever_Barbados,Headache_Barbados,Cough_Barbados,Fever_Peru,Headache_Peru,Cough_Peru,Fever_Saint Lucia,Headache_Saint Lucia,Cough_Saint Lucia,Fever_Chile,Headache_Chile,Cough_Chile,Fever_Mexico,Headache_Mexico,Cough_Mexico,Fever_Belize,Headache_Belize,Cough_Belize,Fever_Uruguay,Headache_Uruguay,Cough_Uruguay,Fever_Dominican Republic,Headache_Dominican Republic,Cough_Dominican Republic,Fever_Guyana,Headache_Guyana,Cough_Guyana,Fever_Suriname,Headache_Suriname,Cough_Suriname,Fever_Dominica,Headache_Dominica,Cough_Dominica,Fever_Paraguay,Headache_Paraguay,Cough_Paraguay,Fever_Nicaragua,Headache_Nicaragua,Cough_Nicaragua,Fever_Haiti,Headache_Haiti,Cough_Haiti,Fever_Costa Rica,Headache_Costa Rica,Cough_Costa Rica,Fever_Brazil,Headache_Brazil,Cough_Brazil,Fever_Panama,Headache_Panama,Cough_Panama,Fever_Grenada,Headache_Grenada,Cough_Grenada,Fever_Ecuador,Headache_Ecuador,Cough_Ecuador,Fever_El Salvador,Headache_El Salvador,Cough_El Salvador,Fever_Saint Vincent and the Grenadines,Headache_Saint Vincent and the Grenadines,Cough_Saint Vincent and the Grenadines,Fever_Jamaica,Headache_Jamaica,Cough_Jamaica,Fever_Argentina,Headache_Argentina,Cough_Argentina,Fever_Venezuela,Headache_Venezuela,Cough_Venezuela,Fever_Colombia,Headache_Colombia,Cough_Colombia,Fever_Bolivia,Headache_Bolivia,Cough_Bolivia,Fever_Guatemala,Headache_Guatemala,Cough_Guatemala,Fever_Honduras,Headache_Honduras,Cough_Honduras,Fever_Trinidad and Tobago,Headache_Trinidad and Tobago,Cough_Trinidad and Tobago,Fever_Cuba,Headache_Cuba,Cough_Cuba
2020-01-05,77,0,19,21,23,26,19,38,19,27,21,23,6,29,12,35,28,18,20,25,54,23,11,17,24,18,16,31,23,25,48,32,24,30,22,31,27,27,0,40,19,8,24,32,40,22,7,11,28,38,40,23,24,18,30,25,36,13,27,13,25,22,29,12,20,31,5,19,5,49,30,19,19,13,10,35,24,42,38,26,38,22,19,17,21,26,42,11,18,22,19,32,45,26,14,43
2020-01-12,55,46,0,17,49,46,19,33,24,23,18,18,0,23,30,40,33,20,25,29,48,34,22,61,27,12,18,24,17,31,56,36,22,58,43,23,26,26,77,55,18,14,12,26,17,12,9,6,24,41,43,23,24,16,22,26,24,0,47,12,23,19,24,21,21,26,4,9,0,60,42,45,22,14,11,30,21,33,29,26,32,24,14,16,23,16,32,14,13,22,39,43,39,22,17,27
2020-01-19,8,8,25,18,24,22,24,33,33,25,18,17,23,23,12,35,29,16,25,26,50,41,34,23,22,17,13,34,20,27,47,49,23,15,29,15,27,0,27,63,29,15,15,21,20,12,6,12,28,47,49,28,24,15,37,27,37,23,35,12,25,20,27,10,23,25,5,9,0,44,33,52,18,14,10,26,25,32,25,26,28,32,22,15,23,20,29,12,14,20,32,40,44,29,20,23
2020-01-26,38,30,8,21,27,34,24,38,24,20,16,15,19,25,0,46,32,17,22,26,51,52,51,17,22,16,19,33,24,31,70,0,35,59,29,31,0,28,0,68,25,15,16,39,32,15,15,23,17,39,37,24,25,16,30,27,33,22,33,22,27,20,28,25,21,32,5,10,14,49,42,57,22,16,11,28,22,31,27,28,24,25,20,14,28,21,36,13,27,25,42,59,44,33,24,24
2020-02-02,39,15,8,38,36,26,29,62,33,20,19,17,12,24,19,34,28,18,24,27,52,48,30,30,17,20,12,40,26,35,88,12,35,45,15,31,84,28,28,72,26,10,17,23,22,21,6,15,29,23,34,23,24,15,19,20,34,48,24,36,28,21,26,14,20,32,5,10,14,51,38,54,22,14,12,31,20,33,24,25,24,31,15,13,26,19,28,12,17,19,48,36,40,29,24,21
2020-02-09,25,25,42,30,27,21,24,24,42,24,18,16,17,52,12,31,31,20,24,27,45,55,18,54,20,16,11,28,18,28,36,31,41,7,22,16,0,28,54,74,23,11,12,20,19,9,22,15,23,33,39,25,24,16,23,24,23,33,33,45,29,18,24,21,17,23,10,0,14,38,37,40,22,16,10,26,18,34,26,23,26,28,17,16,21,22,33,11,21,25,23,42,46,17,11,31
2020-02-16,17,17,17,31,25,39,27,31,31,23,20,16,22,39,11,32,36,20,25,28,47,52,6,46,18,18,12,33,19,25,89,38,47,51,36,15,26,0,51,55,29,17,11,19,26,19,13,16,24,46,34,27,24,20,37,25,24,0,41,0,25,22,26,24,21,26,5,9,0,38,37,25,19,16,10,37,27,44,27,25,26,31,16,15,24,24,34,17,11,22,40,42,31,19,13,37
2020-02-23,17,8,17,37,26,41,28,41,69,25,20,18,5,38,11,31,30,20,24,30,48,35,17,35,21,16,21,28,27,35,47,31,30,51,22,31,0,28,83,53,26,13,15,13,36,7,17,16,32,36,37,31,25,27,35,28,37,10,52,10,30,21,27,14,23,29,0,9,18,35,43,43,24,18,12,37,25,45,29,24,31,38,17,26,26,19,41,14,14,28,47,43,47,43,16,34
2020-03-01,18,18,36,29,22,42,28,18,42,23,19,21,50,0,17,34,39,23,25,34,48,35,29,29,23,16,11,38,24,35,22,6,27,37,22,46,0,26,0,34,18,17,15,28,27,19,26,6,24,26,40,29,25,25,34,33,27,11,32,32,37,22,42,17,27,31,5,5,0,58,44,43,23,14,12,34,26,37,30,23,29,33,16,24,25,23,43,18,10,20,38,38,56,31,20,33
2020-03-08,28,9,47,53,39,57,37,42,28,36,21,36,28,11,17,45,32,31,26,32,52,42,6,65,29,15,28,39,25,37,24,25,30,38,15,47,77,0,76,46,24,48,24,24,45,28,22,19,46,32,87,37,25,30,68,34,69,55,22,44,37,23,40,27,21,28,5,0,0,73,54,63,39,16,22,31,26,53,35,24,42,45,21,42,31,19,43,18,13,37,43,37,57,27,12,59
2020-03-15,38,38,47,100,51,84,71,38,71,57,32,63,6,11,18,100,46,71,36,35,64,41,17,70,89,36,62,82,39,79,54,32,60,43,36,60,54,27,0,71,26,43,39,19,60,39,25,50,77,45,100,76,33,66,92,32,100,12,23,47,82,34,69,23,22,54,30,10,29,93,61,90,73,21,41,53,31,91,53,27,64,46,21,48,57,22,82,34,23,57,83,55,95,35,10,50
2020-03-22,42,0,32,43,58,90,76,62,100,45,36,46,38,16,28,72,67,63,32,38,53,49,37,75,54,32,38,92,37,74,46,43,46,14,62,29,47,0,70,37,26,33,38,20,59,30,15,38,49,51,78,65,33,57,84,34,81,47,12,24,100,50,84,20,22,43,5,0,32,61,76,84,59,23,30,48,30,66,49,29,56,53,32,33,43,19,50,28,22,42,83,62,100,52,26,77
2020-03-29,63,53,11,50,45,73,57,22,35,40,29,36,10,26,22,46,49,37,28,38,43,35,29,23,29,30,25,53,54,63,69,61,52,36,14,75,48,49,0,39,17,28,17,24,40,16,16,35,39,53,46,40,30,30,67,44,49,35,58,0,71,42,72,25,18,26,10,0,5,54,54,46,37,17,18,46,37,51,37,32,38,46,38,29,32,30,36,20,18,36,88,55,96,26,10,49
2020-04-05,10,21,31,57,52,53,55,46,63,47,33,38,22,28,6,44,48,36,25,33,38,50,25,56,36,24,21,40,38,54,71,56,94,22,59,31,26,0,25,41,27,22,23,28,30,12,12,24,39,46,52,35,29,25,44,53,45,13,25,37,63,39,58,22,26,34,14,14,9,56,73,44,29,18,15,42,39,42,36,36,33,41,40,30,35,30,41,26,19,27,55,61,55,29,21,26
2020-04-12,11,32,42,32,38,47,22,82,17,50,32,41,32,42,27,43,44,29,28,34,33,57,56,100,20,14,17,45,44,35,89,38,24,24,31,25,25,26,0,31,21,19,19,23,33,20,12,29,29,47,45,35,29,22,56,49,48,0,39,0,46,33,47,29,30,35,23,5,9,44,78,39,28,18,13,46,33,36,33,32,30,43,34,34,33,36,27,27,26,22,37,61,44,16,24,32
2020-04-19,11,23,34,34,40,30,9,47,26,48,30,40,20,10,15,43,46,28,29,33,28,36,18,36,31,14,16,39,35,37,32,40,13,16,32,43,22,22,0,26,22,20,20,21,43,20,16,8,26,48,34,42,31,24,39,43,39,23,34,11,41,37,32,22,34,27,0,14,4,55,61,37,28,19,13,35,29,29,28,29,22,34,30,22,33,20,17,19,15,22,31,50,38,40,16,16
2020-04-26,24,12,0,8,29,31,35,26,17,47,30,33,15,21,0,34,44,22,25,34,27,6,24,35,20,18,20,36,42,37,56,46,56,33,16,0,43,22,0,21,18,12,34,30,53,25,8,17,19,53,33,46,34,23,40,48,35,11,34,11,39,37,29,19,23,21,4,14,18,41,62,26,23,18,11,37,38,27,28,26,20,34,35,22,30,22,20,16,24,19,54,66,44,24,10,18
2020-05-03,41,41,14,19,40,15,29,58,8,44,30,33,5,5,5,40,40,24,27,36,26,17,34,23,23,22,13,26,34,26,22,24,17,16,32,9,0,22,44,17,19,12,54,33,42,32,12,8,32,51,25,38,29,22,41,37,31,11,23,11,39,32,37,23,43,27,9,4,0,26,41,22,20,16,9,28,30,21,27,27,19,23,26,25,30,24,15,18,30,20,43,58,28,30,8,16
2020-05-10,11,11,11,15,25,15,30,51,17,39,26,30,5,21,0,49,43,29,25,34,27,18,35,18,24,18,18,36,33,20,23,48,40,41,49,0,0,23,0,22,25,11,62,31,72,33,37,21,27,46,25,36,29,21,37,39,21,12,0,12,35,28,33,18,30,18,4,5,0,26,45,18,20,18,10,28,25,20,28,27,18,33,31,20,39,24,17,19,22,16,24,58,22,17,17,14
2020-05-17,0,30,30,27,45,4,22,26,17,39,24,31,10,21,5,48,45,29,28,35,26,43,31,12,18,23,16,39,35,21,68,72,17,0,59,0,22,45,0,19,16,8,61,38,74,100,16,32,25,35,27,34,32,19,24,37,24,12,37,12,27,27,28,14,31,25,9,9,0,31,50,22,20,18,9,25,27,22,30,27,16,24,32,25,37,28,22,19,20,15,28,52,23,26,7,9
2020-05-24,10,10,31,19,36,15,35,52,0,38,30,29,22,16,6,54,52,31,28,34,28,24,36,12,26,18,10,24,37,17,28,30,51,31,62,0,0,0,0,17,18,12,58,48,72,56,28,20,17,35,24,29,29,17,37,30,27,26,26,13,34,22,21,26,28,34,4,0,13,27,47,14,22,19,10,29,30,20,30,27,17,26,29,17,29,24,27,23,18,17,35,60,37,16,26,12
2020-05-31,12,12,0,30,16,19,22,4,4,38,28,27,11,51,12,45,43,29,29,34,28,51,17,11,21,19,11,35,28,18,43,45,38,22,37,23,0,25,0,17,22,9,34,42,59,32,18,21,31,34,25,29,28,17,55,39,23,13,13,0,28,19,20,21,28,17,9,5,4,28,56,32,19,15,10,29,28,17,29,25,17,26,25,20,24,30,22,22,27,22,38,50,17,16,21,7
2020-06-07,11,11,0,23,17,4,13,31,18,31,26,25,17,6,12,44,44,27,28,35,24,46,51,17,28,23,7,32,34,16,21,56,16,23,61,24,0,28,0,19,20,10,45,43,64,45,20,16,35,43,20,30,31,16,49,41,30,26,13,13,27,27,20,44,31,29,0,4,0,22,40,15,21,17,11,28,28,21,30,25,16,41,32,25,48,37,28,36,30,32,26,54,21,38,8,5
