date,count,total_count,ratio
"2020-01-01","180","2699","0.06669136717302705"
"2020-01-02","528","6319","0.08355752492482987"
"2020-01-03","465","7209","0.06450270495214315"
"2020-01-04","268","3805","0.07043363994743758"
"2020-01-05","292","3771","0.07743304163351895"
"2020-01-06","546","6913","0.07898162881527557"
"2020-01-07","314","6603","0.04755414205664092"
"2020-01-08","490","7838","0.06251594794590457"
"2020-01-09","393","7632","0.0514937106918239"
"2020-01-10","409","6574","0.06221478551871007"
"2020-01-11","270","3708","0.07281553398058252"
"2020-01-12","254","3765","0.06746347941567066"
"2020-01-13","455","7331","0.062065202564452325"
"2020-01-14","488","7642","0.06385762889295996"
"2020-01-15","453","7358","0.06156564283772764"
"2020-01-16","401","7511","0.05338836373319132"
"2020-01-17","504","6844","0.07364114552893045"
"2020-01-18","440","3857","0.11407829919626652"
"2020-01-19","817","3951","0.2067830928878765"
"2020-01-20","661","7168","0.09221540178571429"
"2020-01-21","531","7594","0.069923623913616"
"2020-01-22","443","7318","0.060535665482372235"
"2020-01-23","485","6567","0.07385411908024973"
"2020-01-24","421","7299","0.05767913412796274"
"2020-01-25","235","3968","0.05922379032258065"
"2020-01-26","268","3897","0.06877084937131127"
"2020-01-27","437","7399","0.05906203541019057"
"2020-01-28","382","7461","0.051199571103069295"
"2020-01-29","446","7814","0.05707704120808805"
"2020-01-30","347","6406","0.05416796753044021"
"2020-01-31","371","5830","0.06363636363636363"
"2020-02-01","236","3917","0.06025019147306612"
"2020-02-02","276","3691","0.07477648333784882"
"2020-02-03","395","5955","0.06633081444164568"
"2020-02-04","342","5832","0.05864197530864197"
"2020-02-05","324","5966","0.05430774388199799"
"2020-02-06","418","5877","0.07112472349838353"
"2020-02-07","539","5989","0.08999833027216564"
"2020-02-08","332","4022","0.08254599701640974"
"2020-02-09","327","3968","0.08240927419354839"
"2020-02-10","558","7464","0.0747588424437299"
"2020-02-11","487","8001","0.060867391576053"
"2020-02-12","528","7833","0.0674071237073918"
"2020-02-13","556","8348","0.06660277910876856"
"2020-02-14","568","7348","0.07729994556341861"
"2020-02-15","383","3951","0.09693748418121995"
"2020-02-16","332","3923","0.08462911037471323"
"2020-02-17","584","8216","0.07108081791626096"
"2020-02-18","711","8836","0.08046627433227704"
"2020-02-19","1591","8922","0.17832324590898901"
"2020-02-20","791","9023","0.08766485647788984"
