date,count,total_count,ratio
"2020-01-01","0","12","0"
"2020-01-02","0","51","0"
"2020-01-03","3","60","0.05"
"2020-01-04","1","39","0.02564102564102564"
"2020-01-05","2","34","0.058823529411764705"
"2020-01-06","0","38","0"
"2020-01-07","4","74","0.05405405405405406"
"2020-01-08","3","65","0.046153846153846156"
"2020-01-09","4","66","0.06060606060606061"
"2020-01-10","2","20","0.1"
"2020-01-11","3","23","0.13043478260869565"
"2020-01-12","4","42","0.09523809523809523"
"2020-01-13","6","61","0.09836065573770492"
"2020-01-14","4","59","0.06779661016949153"
"2020-01-15","5","42","0.11904761904761904"
"2020-01-16","3","61","0.04918032786885246"
"2020-01-17","6","52","0.11538461538461539"
"2020-01-18","2","16","0.125"
"2020-01-19","4","56","0.07142857142857142"
"2020-01-20","7","56","0.125"
"2020-01-21","1","66","0.015151515151515152"
"2020-01-22","3","61","0.04918032786885246"
"2020-01-23","9","81","0.1111111111111111"
"2020-01-24","8","70","0.11428571428571428"
"2020-01-25","0","19","0"
"2020-01-26","3","23","0.13043478260869565"
"2020-01-27","4","60","0.06666666666666667"
"2020-01-28","9","54","0.16666666666666666"
"2020-01-29","7","68","0.10294117647058823"
"2020-01-30","6","82","0.07317073170731707"
"2020-01-31","4","76","0.05263157894736842"
"2020-02-01","2","18","0.1111111111111111"
"2020-02-02","4","28","0.14285714285714285"
"2020-02-03","3","49","0.061224489795918366"
"2020-02-04","4","52","0.07692307692307693"
"2020-02-05","3","64","0.046875"
"2020-02-06","1","58","0.017241379310344827"
"2020-02-07","2","64","0.03125"
"2020-02-08","1","28","0.03571428571428571"
"2020-02-09","1","31","0.03225806451612903"
"2020-02-10","6","62","0.0967741935483871"
"2020-02-11","5","55","0.09090909090909091"
"2020-02-12","5","49","0.10204081632653061"
"2020-02-13","4","78","0.05128205128205128"
"2020-02-14","6","67","0.08955223880597014"
"2020-02-15","2","38","0.05263157894736842"
"2020-02-16","2","30","0.06666666666666667"
"2020-02-17","6","71","0.08450704225352113"
"2020-02-18","9","65","0.13846153846153847"
"2020-02-19","13","50","0.26"
"2020-02-20","9","61","0.14754098360655737"
"2020-02-21","3","65","0.046153846153846156"
"2020-02-22","4","42","0.09523809523809523"
"2020-02-23","1","11","0.09090909090909091"
"2020-02-24","4","65","0.06153846153846154"
"2020-02-25","8","90","0.08888888888888889"
"2020-02-26","8","55","0.14545454545454545"
"2020-02-27","5","57","0.08771929824561403"
"2020-02-28","5","47","0.10638297872340426"
"2020-02-29","3","33","0.09090909090909091"
"2020-03-01","4","28","0.14285714285714285"
"2020-03-02","7","57","0.12280701754385964"
"2020-03-03","7","45","0.15555555555555556"
"2020-03-04","10","56","0.17857142857142858"
"2020-03-05","9","59","0.15254237288135594"
"2020-03-06","12","70","0.17142857142857143"
"2020-03-07","3","21","0.14285714285714285"
"2020-03-08","8","34","0.23529411764705882"
"2020-03-09","13","62","0.20967741935483872"
"2020-03-10","9","61","0.14754098360655737"
"2020-03-11","28","82","0.34146341463414637"
"2020-03-12","20","71","0.28169014084507044"
"2020-03-13","25","51","0.49019607843137253"
"2020-03-14","21","45","0.4666666666666667"
"2020-03-15","28","41","0.6829268292682927"
"2020-03-16","36","76","0.47368421052631576"
"2020-03-17","27","52","0.5192307692307693"
"2020-03-18","55","86","0.6395348837209303"
"2020-03-19","59","93","0.6344086021505376"
"2020-03-20","56","77","0.7272727272727273"
"2020-03-21","19","40","0.475"
"2020-03-22","6","13","0.46153846153846156"
"2020-03-23","35","62","0.5645161290322581"
"2020-03-24","46","73","0.6301369863013698"
"2020-03-25","63","91","0.6923076923076923"
"2020-03-26","28","41","0.6829268292682927"
"2020-03-27","42","57","0.7368421052631579"
"2020-03-28","50","69","0.7246376811594203"
"2020-03-29","7","10","0.7"
"2020-03-30","55","75","0.7333333333333333"
"2020-03-31","58","76","0.7631578947368421"
"2020-04-01","31","39","0.7948717948717948"
"2020-04-02","26","48","0.5416666666666666"
"2020-04-03","34","57","0.5964912280701754"
"2020-04-04","14","23","0.6086956521739131"
"2020-04-05","19","34","0.5588235294117647"
"2020-04-06","85","119","0.7142857142857143"
"2020-04-07","40","63","0.6349206349206349"
"2020-04-08","37","52","0.7115384615384616"
"2020-04-09","60","81","0.7407407407407407"
"2020-04-10","36","57","0.631578947368421"
"2020-04-11","16","29","0.5517241379310345"
"2020-04-12","5","13","0.38461538461538464"
"2020-04-13","21","38","0.5526315789473685"
"2020-04-14","59","74","0.7972972972972973"
"2020-04-15","41","67","0.6119402985074627"
"2020-04-16","85","131","0.648854961832061"
"2020-04-17","34","47","0.723404255319149"
"2020-04-18","49","82","0.5975609756097561"
"2020-04-19","18","32","0.5625"
"2020-04-20","45","64","0.703125"
"2020-04-21","52","77","0.6753246753246753"
"2020-04-22","38","64","0.59375"
"2020-04-23","71","90","0.7888888888888889"
"2020-04-24","30","48","0.625"
"2020-04-25","21","42","0.5"
"2020-04-26","25","42","0.5952380952380952"
"2020-04-27","59","88","0.6704545454545454"
"2020-04-28","21","42","0.5"
"2020-04-29","70","124","0.5645161290322581"
"2020-04-30","40","71","0.5633802816901409"
"2020-05-01","32","55","0.5818181818181818"
"2020-05-02","25","47","0.5319148936170213"
"2020-05-03","21","34","0.6176470588235294"
"2020-05-04","39","50","0.78"
"2020-05-05","69","117","0.5897435897435898"
"2020-05-06","33","53","0.6226415094339622"
"2020-05-07","35","58","0.603448275862069"
"2020-05-08","54","96","0.5625"
"2020-05-09","13","21","0.6190476190476191"
"2020-05-10","15","23","0.6521739130434783"
"2020-05-11","60","82","0.7317073170731707"
"2020-05-12","39","67","0.582089552238806"
"2020-05-13","59","99","0.5959595959595959"
"2020-05-14","16","34","0.47058823529411764"
"2020-05-15","40","59","0.6779661016949152"
"2020-05-16","30","43","0.6976744186046512"
"2020-05-17","8","17","0.47058823529411764"
"2020-05-18","52","75","0.6933333333333334"
"2020-05-19","86","116","0.7413793103448276"
