date,count,total_count,ratio
"2020-01-01","1","27","0.037037037037037035"
"2020-01-02","5","28","0.17857142857142858"
"2020-01-03","3","34","0.08823529411764706"
"2020-01-04","1","27","0.037037037037037035"
"2020-01-05","1","25","0.04"
"2020-01-06","1","33","0.030303030303030304"
"2020-01-07","3","30","0.1"
"2020-01-08","2","22","0.09090909090909091"
"2020-01-09","2","42","0.047619047619047616"
"2020-01-10","2","29","0.06896551724137931"
"2020-01-11","0","27","0"
"2020-01-12","0","30","0"
"2020-01-13","4","42","0.09523809523809523"
"2020-01-14","0","43","0"
"2020-01-15","3","25","0.12"
"2020-01-16","6","59","0.1016949152542373"
"2020-01-17","3","34","0.08823529411764706"
"2020-01-18","4","35","0.11428571428571428"
"2020-01-19","4","35","0.11428571428571428"
"2020-01-20","4","42","0.09523809523809523"
"2020-01-21","3","33","0.09090909090909091"
"2020-01-22","6","47","0.1276595744680851"
"2020-01-23","1","35","0.02857142857142857"
"2020-01-24","3","43","0.06976744186046512"
"2020-01-25","1","29","0.034482758620689655"
"2020-01-26","4","27","0.14814814814814814"
"2020-01-27","2","39","0.05128205128205128"
"2020-01-28","3","42","0.07142857142857142"
"2020-01-29","4","52","0.07692307692307693"
"2020-01-30","2","30","0.06666666666666667"
"2020-01-31","3","39","0.07692307692307693"
"2020-02-01","3","28","0.10714285714285714"
"2020-02-02","2","22","0.09090909090909091"
"2020-02-03","2","43","0.046511627906976744"
"2020-02-04","3","46","0.06521739130434782"
"2020-02-05","3","46","0.06521739130434782"
"2020-02-06","1","27","0.037037037037037035"
"2020-02-07","3","41","0.07317073170731707"
"2020-02-08","8","36","0.2222222222222222"
"2020-02-09","0","22","0"
"2020-02-10","0","27","0"
"2020-02-11","1","25","0.04"
"2020-02-12","10","56","0.17857142857142858"
"2020-02-13","11","43","0.2558139534883721"
"2020-02-14","1","32","0.03125"
"2020-02-15","4","31","0.12903225806451613"
"2020-02-16","3","24","0.125"
"2020-02-17","5","44","0.11363636363636363"
"2020-02-18","7","37","0.1891891891891892"
"2020-02-19","16","49","0.32653061224489793"
"2020-02-20","5","34","0.14705882352941177"
"2020-02-21","2","57","0.03508771929824561"
"2020-02-22","1","38","0.02631578947368421"
"2020-02-23","3","31","0.0967741935483871"
"2020-02-24","6","40","0.15"
"2020-02-25","3","32","0.09375"
"2020-02-26","7","51","0.13725490196078433"
"2020-02-27","6","46","0.13043478260869565"
"2020-02-28","5","33","0.15151515151515152"
"2020-02-29","5","18","0.2777777777777778"
"2020-03-01","12","39","0.3076923076923077"
"2020-03-02","10","40","0.25"
"2020-03-03","2","30","0.06666666666666667"
"2020-03-04","5","42","0.11904761904761904"
"2020-03-05","11","53","0.20754716981132076"
"2020-03-06","9","43","0.20930232558139536"
"2020-03-07","5","43","0.11627906976744186"
"2020-03-08","8","28","0.2857142857142857"
"2020-03-09","10","32","0.3125"
"2020-03-10","17","56","0.30357142857142855"
"2020-03-11","25","50","0.5"
"2020-03-12","21","51","0.4117647058823529"
"2020-03-13","41","56","0.7321428571428571"
"2020-03-14","17","40","0.425"
"2020-03-15","22","46","0.4782608695652174"
"2020-03-16","17","42","0.40476190476190477"
"2020-03-17","44","62","0.7096774193548387"
"2020-03-18","30","44","0.6818181818181818"
"2020-03-19","35","47","0.7446808510638298"
"2020-03-20","33","53","0.6226415094339622"
"2020-03-21","23","33","0.696969696969697"
"2020-03-22","16","26","0.6153846153846154"
"2020-03-23","27","43","0.627906976744186"
"2020-03-24","29","46","0.6304347826086957"
"2020-03-25","26","37","0.7027027027027027"
"2020-03-26","33","52","0.6346153846153846"
"2020-03-27","11","20","0.55"
"2020-03-28","9","15","0.6"
"2020-03-29","7","10","0.7"
"2020-03-30","24","32","0.75"
"2020-03-31","22","37","0.5945945945945946"
"2020-04-01","13","27","0.48148148148148145"
"2020-04-02","16","34","0.47058823529411764"
"2020-04-03","8","15","0.5333333333333333"
"2020-04-04","23","40","0.575"
"2020-04-05","24","43","0.5581395348837209"
"2020-04-06","25","46","0.5434782608695652"
"2020-04-07","34","49","0.6938775510204082"
"2020-04-08","34","57","0.5964912280701754"
"2020-04-09","35","54","0.6481481481481481"
"2020-04-10","42","64","0.65625"
"2020-04-11","17","25","0.68"
"2020-04-12","34","43","0.7906976744186046"
"2020-04-13","24","29","0.8275862068965517"
"2020-04-14","36","52","0.6923076923076923"
"2020-04-15","43","59","0.7288135593220338"
"2020-04-16","30","40","0.75"
"2020-04-17","28","43","0.6511627906976745"
"2020-04-18","35","59","0.5932203389830508"
"2020-04-19","25","35","0.7142857142857143"
"2020-04-20","23","42","0.5476190476190477"
"2020-04-21","40","56","0.7142857142857143"
"2020-04-22","41","66","0.6212121212121212"
"2020-04-23","40","73","0.547945205479452"
"2020-04-24","51","67","0.7611940298507462"
"2020-04-25","52","64","0.8125"
"2020-04-26","23","29","0.7931034482758621"
"2020-04-27","29","46","0.6304347826086957"
"2020-04-28","35","55","0.6363636363636364"
"2020-04-29","21","35","0.6"
"2020-04-30","42","64","0.65625"
"2020-05-01","33","45","0.7333333333333333"
"2020-05-02","21","44","0.4772727272727273"
"2020-05-03","15","26","0.5769230769230769"
"2020-05-04","16","35","0.45714285714285713"
"2020-05-05","38","66","0.5757575757575758"
"2020-05-06","35","56","0.625"
"2020-05-07","29","56","0.5178571428571429"
"2020-05-08","25","37","0.6756756756756757"
"2020-05-09","31","62","0.5"
"2020-05-10","26","39","0.6666666666666666"
"2020-05-11","14","23","0.6086956521739131"
"2020-05-12","34","63","0.5396825396825397"
"2020-05-13","47","70","0.6714285714285714"
"2020-05-14","34","54","0.6296296296296297"
"2020-05-15","41","64","0.640625"
"2020-05-16","32","48","0.6666666666666666"
"2020-05-17","23","42","0.5476190476190477"
"2020-05-18","12","31","0.3870967741935484"
"2020-05-19","41","59","0.6949152542372882"
"2020-05-20","32","54","0.5925925925925926"
"2020-05-21","23","50","0.46"
"2020-05-22","21","46","0.45652173913043476"
"2020-05-23","28","55","0.509090909090909"
"2020-05-24","15","23","0.6521739130434783"
"2020-05-25","23","40","0.575"
"2020-05-26","26","42","0.6190476190476191"
"2020-05-27","30","62","0.4838709677419355"
"2020-05-28","30","51","0.5882352941176471"
"2020-05-29","22","51","0.43137254901960786"
"2020-05-30","22","59","0.3728813559322034"
"2020-05-31","15","25","0.6"
"2020-06-01","21","38","0.5526315789473685"
"2020-06-02","8","21","0.38095238095238093"
"2020-06-03","35","63","0.5555555555555556"
"2020-06-04","27","48","0.5625"
"2020-06-05","33","60","0.55"
"2020-06-06","26","46","0.5652173913043478"
"2020-06-07","16","38","0.42105263157894735"
"2020-06-08","23","49","0.46938775510204084"
"2020-06-09","24","49","0.4897959183673469"
"2020-06-10","16","34","0.47058823529411764"
"2020-06-11","37","64","0.578125"
"2020-06-12","31","58","0.5344827586206896"
"2020-06-13","25","43","0.5813953488372093"
"2020-06-14","14","44","0.3181818181818182"
"2020-06-15","17","42","0.40476190476190477"
"2020-06-16","24","54","0.4444444444444444"
"2020-06-17","37","64","0.578125"
"2020-06-18","34","69","0.4927536231884058"
"2020-06-19","39","65","0.6"
"2020-06-20","10","32","0.3125"
"2020-06-21","25","48","0.5208333333333334"
"2020-06-22","17","30","0.5666666666666667"
"2020-06-23","13","56","0.23214285714285715"
"2020-06-24","11","32","0.34375"
"2020-06-25","27","56","0.48214285714285715"
"2020-06-26","30","67","0.44776119402985076"
"2020-06-27","25","41","0.6097560975609756"
"2020-06-28","16","29","0.5517241379310345"
"2020-06-29","18","31","0.5806451612903226"
"2020-06-30","19","57","0.3333333333333333"
"2020-07-01","28","47","0.5957446808510638"
"2020-07-02","27","73","0.3698630136986301"
"2020-07-03","21","53","0.39622641509433965"
"2020-07-04","28","41","0.6829268292682927"
"2020-07-05","16","37","0.43243243243243246"
"2020-07-06","14","44","0.3181818181818182"
"2020-07-07","33","82","0.4024390243902439"
"2020-07-08","14","65","0.2153846153846154"
"2020-07-09","26","80","0.325"
"2020-07-10","30","85","0.35294117647058826"
"2020-07-11","21","56","0.375"
"2020-07-12","12","37","0.32432432432432434"
"2020-07-13","18","53","0.33962264150943394"
"2020-07-14","28","68","0.4117647058823529"
"2020-07-15","30","72","0.4166666666666667"
"2020-07-16","25","69","0.36231884057971014"
"2020-07-17","33","74","0.44594594594594594"
"2020-07-18","20","44","0.45454545454545453"
"2020-07-19","15","39","0.38461538461538464"
"2020-07-20","24","52","0.46153846153846156"
"2020-07-21","34","85","0.4"
"2020-07-22","35","67","0.5223880597014925"
"2020-07-23","28","62","0.45161290322580644"
"2020-07-24","15","49","0.30612244897959184"
"2020-07-25","0","0","0"
"2020-07-26","0","1","0"
"2020-07-27","3","8","0.375"
"2020-07-28","12","32","0.375"
"2020-07-29","19","54","0.35185185185185186"
"2020-07-30","30","76","0.39473684210526316"
"2020-07-31","20","64","0.3125"
"2020-08-01","21","51","0.4117647058823529"
"2020-08-02","17","39","0.4358974358974359"
"2020-08-03","27","52","0.5192307692307693"
"2020-08-04","16","42","0.38095238095238093"
"2020-08-05","1","4","0.25"
"2020-08-06","5","12","0.4166666666666667"
"2020-08-07","19","46","0.41304347826086957"
"2020-08-08","17","43","0.3953488372093023"
"2020-08-09","17","49","0.3469387755102041"
"2020-08-10","27","83","0.3253012048192771"
"2020-08-11","34","79","0.43037974683544306"
"2020-08-12","44","85","0.5176470588235295"
"2020-08-13","26","68","0.38235294117647056"
"2020-08-14","30","77","0.38961038961038963"
"2020-08-15","19","48","0.3958333333333333"
"2020-08-16","21","48","0.4375"
"2020-08-17","27","66","0.4090909090909091"
"2020-08-18","42","79","0.5316455696202531"
"2020-08-19","42","88","0.4772727272727273"
"2020-08-20","33","94","0.35106382978723405"
"2020-08-21","25","59","0.423728813559322"
"2020-08-22","29","61","0.47540983606557374"
"2020-08-23","13","34","0.38235294117647056"
"2020-08-24","22","41","0.5365853658536586"
"2020-08-25","38","68","0.5588235294117647"
"2020-08-26","42","89","0.47191011235955055"
