date,count,total_count,ratio
"2020-01-01","5","101","0.04950495049504951"
"2020-01-02","20","242","0.08264462809917356"
"2020-01-03","15","269","0.055762081784386616"
"2020-01-04","19","228","0.08333333333333333"
"2020-01-05","14","182","0.07692307692307693"
"2020-01-06","22","281","0.07829181494661921"
"2020-01-07","14","303","0.0462046204620462"
"2020-01-08","18","333","0.05405405405405406"
"2020-01-09","16","304","0.05263157894736842"
"2020-01-10","16","295","0.05423728813559322"
"2020-01-11","19","250","0.076"
"2020-01-12","14","211","0.06635071090047394"
"2020-01-13","10","325","0.03076923076923077"
"2020-01-14","22","319","0.06896551724137931"
"2020-01-15","19","316","0.060126582278481014"
"2020-01-16","18","320","0.05625"
"2020-01-17","29","349","0.0830945558739255"
"2020-01-18","21","261","0.08045977011494253"
"2020-01-19","56","212","0.2641509433962264"
"2020-01-20","18","302","0.059602649006622516"
"2020-01-21","19","283","0.06713780918727916"
"2020-01-22","20","260","0.07692307692307693"
"2020-01-23","23","274","0.08394160583941605"
"2020-01-24","17","304","0.05592105263157895"
"2020-01-25","16","273","0.05860805860805861"
"2020-01-26","12","224","0.05357142857142857"
"2020-01-27","11","282","0.03900709219858156"
"2020-01-28","17","328","0.051829268292682924"
"2020-01-29","11","297","0.037037037037037035"
"2020-01-30","24","331","0.07250755287009064"
"2020-01-31","19","264","0.07196969696969698"
"2020-02-01","10","227","0.04405286343612335"
"2020-02-02","12","191","0.06282722513089005"
"2020-02-03","21","310","0.06774193548387097"
"2020-02-04","15","328","0.04573170731707317"
"2020-02-05","20","329","0.060790273556231005"
"2020-02-06","19","272","0.06985294117647059"
"2020-02-07","19","302","0.06291390728476821"
"2020-02-08","10","163","0.06134969325153374"
"2020-02-09","11","168","0.06547619047619048"
"2020-02-10","17","283","0.06007067137809187"
"2020-02-11","17","255","0.06666666666666667"
"2020-02-12","24","312","0.07692307692307693"
"2020-02-13","31","267","0.11610486891385768"
"2020-02-14","21","298","0.07046979865771812"
"2020-02-15","19","220","0.08636363636363636"
"2020-02-16","21","165","0.12727272727272726"
"2020-02-17","25","280","0.08928571428571429"
