date,count,total_count,ratio
"2020-01-01","74","937","0.07897545357524013"
"2020-01-02","90","1465","0.06143344709897611"
"2020-01-03","105","1490","0.07046979865771812"
"2020-01-04","64","866","0.07390300230946882"
"2020-01-05","53","940","0.05638297872340425"
"2020-01-06","82","1633","0.05021432945499082"
"2020-01-07","110","1720","0.06395348837209303"
"2020-01-08","64","1856","0.034482758620689655"
"2020-01-09","97","1814","0.053472987872105845"
"2020-01-10","87","1719","0.0506108202443281"
"2020-01-11","66","939","0.07028753993610223"
"2020-01-12","53","832","0.06370192307692307"
"2020-01-13","94","1697","0.0553918680023571"
"2020-01-14","103","1802","0.05715871254162042"
"2020-01-15","100","1956","0.05112474437627812"
"2020-01-16","108","1876","0.057569296375266525"
"2020-01-17","141","1829","0.07709130672498633"
"2020-01-18","84","1069","0.07857811038353602"
"2020-01-19","285","880","0.32386363636363635"
"2020-01-20","319","1732","0.18418013856812934"
"2020-01-21","151","1812","0.08333333333333333"
"2020-01-22","123","1803","0.06821963394342762"
"2020-01-23","121","2018","0.0599603567888999"
"2020-01-24","82","2013","0.04073522106308992"
"2020-01-25","70","1163","0.06018916595012898"
"2020-01-26","60","1068","0.056179775280898875"
"2020-01-27","78","1818","0.0429042904290429"
"2020-01-28","85","1946","0.04367934224049332"
"2020-01-29","97","1992","0.048694779116465865"
"2020-01-30","95","1799","0.0528071150639244"
"2020-01-31","81","1567","0.05169112954690491"
"2020-02-01","52","1078","0.04823747680890538"
"2020-02-02","37","846","0.04373522458628842"
"2020-02-03","84","1430","0.05874125874125874"
"2020-02-04","74","1435","0.05156794425087108"
"2020-02-05","75","1482","0.05060728744939271"
"2020-02-06","52","1459","0.03564084989718986"
"2020-02-07","83","1719","0.048283885980221056"
"2020-02-08","64","1116","0.05734767025089606"
"2020-02-09","84","1024","0.08203125"
"2020-02-10","93","1777","0.05233539673607203"
"2020-02-11","116","1965","0.059033078880407125"
"2020-02-12","140","1895","0.07387862796833773"
"2020-02-13","152","1917","0.0792905581637976"
"2020-02-14","153","1782","0.08585858585858586"
"2020-02-15","126","1155","0.10909090909090909"
"2020-02-16","93","955","0.09738219895287958"
"2020-02-17","153","1832","0.08351528384279476"
"2020-02-18","213","2211","0.09633649932157395"
"2020-02-19","865","2283","0.3788874288217258"
"2020-02-20","447","2315","0.19308855291576674"
"2020-02-21","219","2221","0.09860423232778028"
"2020-02-22","145","1577","0.09194673430564362"
"2020-02-23","151","1343","0.11243484735666419"
"2020-02-24","138","1627","0.08481868469575907"
"2020-02-25","155","1613","0.09609423434593925"
"2020-02-26","291","2229","0.13055181695827725"
"2020-02-27","299","2365","0.12642706131078224"
"2020-02-28","307","2229","0.13772992373261553"
"2020-02-29","169","1350","0.12518518518518518"
"2020-03-01","153","1218","0.12561576354679804"
"2020-03-02","232","2201","0.10540663334847797"
"2020-03-03","233","2413","0.09656029838375466"
"2020-03-04","227","2317","0.09797151488994389"
"2020-03-05","258","2448","0.1053921568627451"
"2020-03-06","246","2399","0.10254272613588995"
"2020-03-07","176","1347","0.13066072754268745"
"2020-03-08","174","1244","0.13987138263665594"
"2020-03-09","264","2242","0.11775200713648529"
"2020-03-10","341","2436","0.13998357963875205"
"2020-03-11","430","2512","0.17117834394904458"
"2020-03-12","538","2520","0.21349206349206348"
"2020-03-13","591","2297","0.25729212015672615"
"2020-03-14","350","1318","0.26555386949924126"
"2020-03-15","505","1520","0.33223684210526316"
"2020-03-16","850","2641","0.32184778492995075"
"2020-03-17","1007","2814","0.35785358919687277"
"2020-03-18","1054","2793","0.3773720014321518"
"2020-03-19","1604","2732","0.5871156661786238"
"2020-03-20","1286","2599","0.4948056944978838"
"2020-03-21","681","1581","0.4307400379506641"
"2020-03-22","573","1375","0.4167272727272727"
"2020-03-23","1096","2737","0.40043843624406283"
"2020-03-24","1146","2742","0.4179431072210066"
"2020-03-25","1146","2917","0.39286938635584506"
"2020-03-26","1013","2572","0.3938569206842924"
"2020-03-27","989","2348","0.4212095400340716"
"2020-03-28","638","1544","0.41321243523316065"
"2020-03-29","607","1376","0.44113372093023256"
"2020-03-30","1045","2653","0.3938937052393517"
"2020-03-31","1126","2725","0.4132110091743119"
"2020-04-01","1319","3054","0.43189259986902423"
"2020-04-02","1284","3101","0.41405998065140276"
"2020-04-03","1264","3134","0.40331844288449265"
"2020-04-04","713","1697","0.42015321154979374"
"2020-04-05","615","1488","0.41330645161290325"
"2020-04-06","1293","3045","0.4246305418719212"
"2020-04-07","1299","3055","0.42520458265139116"
"2020-04-08","1272","3060","0.41568627450980394"
"2020-04-09","1014","2704","0.375"
"2020-04-10","768","2015","0.38114143920595533"
"2020-04-11","687","1731","0.3968804159445407"
"2020-04-12","747","1724","0.4332946635730858"
"2020-04-13","1334","3311","0.4028994261552401"
"2020-04-14","905","2195","0.4123006833712984"
"2020-04-15","1602","3790","0.42269129287598944"
"2020-04-16","1479","3537","0.4181509754028838"
"2020-04-17","1291","3158","0.40880303989867006"
"2020-04-18","787","1888","0.4168432203389831"
"2020-04-19","967","1823","0.5304443225452551"
"2020-04-20","1430","3178","0.4499685336689742"
"2020-04-21","1035","2443","0.42365943512075316"
"2020-04-22","1403","3318","0.4228450874020494"
"2020-04-23","1358","3375","0.4023703703703704"
"2020-04-24","1114","3555","0.3133614627285513"
"2020-04-25","716","1863","0.3843263553408481"
"2020-04-26","642","1740","0.3689655172413793"
"2020-04-27","1366","3469","0.39377342173537044"
"2020-04-28","1293","3396","0.38074204946996465"
"2020-04-29","1440","3551","0.40551957195156296"
"2020-04-30","1560","3669","0.42518397383483236"
"2020-05-01","1068","2519","0.4239777689559349"
"2020-05-02","719","1772","0.4057562076749436"
"2020-05-03","643","1679","0.3829660512209649"
"2020-05-04","1284","3269","0.39278066687060265"
"2020-05-05","1346","3413","0.3943744506299443"
"2020-05-06","1300","3433","0.37867754150888433"
"2020-05-07","1334","3415","0.39062957540263543"
"2020-05-08","1323","3261","0.40570377184912604"
"2020-05-09","835","1888","0.4422669491525424"
"2020-05-10","637","1610","0.39565217391304347"
"2020-05-11","1350","3175","0.4251968503937008"
"2020-05-12","1378","3369","0.40902344909468685"
"2020-05-13","1364","3368","0.40498812351543945"
"2020-05-14","1513","3616","0.41841814159292035"
"2020-05-15","1590","3694","0.43042772062804546"
"2020-05-16","747","1853","0.4031300593631948"
"2020-05-17","676","1698","0.39811542991755006"
"2020-05-18","1403","3136","0.4473852040816326"
