date,count,total_count,ratio
"2020-01-01","79","697","0.1133428981348637"
"2020-01-02","131","1288","0.10170807453416149"
"2020-01-03","59","1351","0.043671354552183565"
"2020-01-04","71","736","0.09646739130434782"
"2020-01-05","45","710","0.06338028169014084"
"2020-01-06","99","1311","0.07551487414187644"
"2020-01-07","59","1270","0.046456692913385826"
"2020-01-08","94","1385","0.06787003610108304"
"2020-01-09","105","1455","0.07216494845360824"
"2020-01-10","120","1289","0.09309542280837858"
"2020-01-11","21","544","0.03860294117647059"
"2020-01-12","71","633","0.11216429699842022"
"2020-01-13","135","1386","0.09740259740259741"
"2020-01-14","81","1365","0.05934065934065934"
"2020-01-15","112","1426","0.0785413744740533"
"2020-01-16","105","1354","0.0775480059084195"
"2020-01-17","94","1342","0.07004470938897168"
"2020-01-18","62","729","0.0850480109739369"
"2020-01-19","410","788","0.5203045685279187"
"2020-01-20","116","1376","0.08430232558139535"
"2020-01-21","73","1241","0.058823529411764705"
"2020-01-22","93","1345","0.0691449814126394"
"2020-01-23","116","1379","0.08411892675852067"
"2020-01-24","76","1433","0.05303558967201675"
"2020-01-25","63","742","0.08490566037735849"
"2020-01-26","56","725","0.07724137931034483"
"2020-01-27","93","1213","0.07666941467436109"
"2020-01-28","43","1277","0.033672670321064996"
"2020-01-29","81","1436","0.056406685236768804"
"2020-01-30","29","828","0.035024154589371984"
"2020-01-31","41","752","0.05452127659574468"
"2020-02-01","29","451","0.06430155210643015"
"2020-02-02","39","493","0.07910750507099391"
"2020-02-03","29","728","0.03983516483516483"
"2020-02-04","35","780","0.04487179487179487"
"2020-02-05","45","1189","0.03784693019343986"
"2020-02-06","58","1208","0.048013245033112585"
"2020-02-07","90","1148","0.078397212543554"
"2020-02-08","31","572","0.05419580419580419"
"2020-02-09","45","590","0.07627118644067797"
"2020-02-10","102","1295","0.07876447876447877"
"2020-02-11","127","1352","0.09393491124260354"
"2020-02-12","98","1330","0.07368421052631578"
"2020-02-13","172","1443","0.1191961191961192"
"2020-02-14","128","1251","0.10231814548361311"
"2020-02-15","70","680","0.10294117647058823"
"2020-02-16","61","619","0.09854604200323101"
"2020-02-17","115","1427","0.0805886475122635"
"2020-02-18","167","1556","0.10732647814910026"
"2020-02-19","783","1347","0.5812917594654788"
"2020-02-20","157","1480","0.10608108108108108"
"2020-02-21","129","1212","0.10643564356435643"
"2020-02-22","115","639","0.17996870109546165"
"2020-02-23","71","747","0.09504685408299866"
"2020-02-24","131","1245","0.10522088353413654"
"2020-02-25","193","1463","0.1319207108680793"
"2020-02-26","156","1351","0.1154700222057735"
"2020-02-27","217","1443","0.15038115038115038"
"2020-02-28","120","1441","0.08327550312283137"
"2020-02-29","91","751","0.12117177097203728"
"2020-03-01","95","728","0.1304945054945055"
"2020-03-02","172","1451","0.11853893866299105"
"2020-03-03","206","1334","0.15442278860569716"
"2020-03-04","204","1479","0.13793103448275862"
"2020-03-05","267","1518","0.17588932806324112"
"2020-03-06","173","1371","0.1261852662290299"
"2020-03-07","123","652","0.18865030674846625"
"2020-03-08","85","640","0.1328125"
"2020-03-09","265","1441","0.1839000693962526"
"2020-03-10","237","1386","0.170995670995671"
"2020-03-11","251","1561","0.16079436258808455"
"2020-03-12","334","1460","0.22876712328767124"
"2020-03-13","272","1229","0.22131814483319773"
"2020-03-14","303","809","0.37453646477132263"
"2020-03-15","349","762","0.458005249343832"
"2020-03-16","504","1380","0.3652173913043478"
"2020-03-17","617","1452","0.424931129476584"
"2020-03-18","783","1663","0.47083583884546"
"2020-03-19","1030","1503","0.6852960745176314"
"2020-03-20","664","1530","0.4339869281045752"
"2020-03-21","371","615","0.6032520325203252"
"2020-03-22","431","670","0.6432835820895523"
"2020-03-23","722","1461","0.4941820670773443"
"2020-03-24","663","1452","0.45661157024793386"
"2020-03-25","628","1611","0.3898199875853507"
"2020-03-26","586","1558","0.3761232349165597"
"2020-03-27","672","1525","0.44065573770491806"
"2020-03-28","305","682","0.4472140762463343"
"2020-03-29","357","663","0.5384615384615384"
"2020-03-30","871","1643","0.5301278149726111"
"2020-03-31","627","1434","0.4372384937238494"
"2020-04-01","729","1559","0.4676074406670943"
"2020-04-02","645","1422","0.45358649789029537"
"2020-04-03","672","1393","0.4824120603015075"
"2020-04-04","418","883","0.4733861834654587"
"2020-04-05","292","652","0.44785276073619634"
"2020-04-06","600","1288","0.4658385093167702"
"2020-04-07","550","1312","0.4192073170731707"
"2020-04-08","595","1488","0.39986559139784944"
"2020-04-09","642","1490","0.43087248322147653"
"2020-04-10","360","716","0.5027932960893855"
"2020-04-11","357","691","0.516642547033285"
"2020-04-12","381","785","0.4853503184713376"
"2020-04-13","692","1693","0.4087418783225044"
"2020-04-14","446","1102","0.4047186932849365"
"2020-04-15","747","1808","0.4131637168141593"
"2020-04-16","723","1641","0.4405850091407678"
"2020-04-17","664","1477","0.44955991875423157"
"2020-04-18","407","727","0.5598349381017882"
"2020-04-19","607","788","0.7703045685279187"
"2020-04-20","587","1423","0.4125087842586086"
"2020-04-21","614","1503","0.4085163007318696"
"2020-04-22","694","1844","0.37635574837310193"
"2020-04-23","618","1750","0.35314285714285715"
"2020-04-24","693","1508","0.45954907161803715"
"2020-04-25","362","707","0.512022630834512"
"2020-04-26","342","801","0.42696629213483145"
"2020-04-27","707","1828","0.38676148796498905"
"2020-04-28","595","1561","0.3811659192825112"
"2020-04-29","708","1814","0.39029768467475195"
"2020-04-30","626","1604","0.39027431421446385"
"2020-05-01","348","879","0.39590443686006827"
"2020-05-02","330","662","0.4984894259818731"
"2020-05-03","355","675","0.5259259259259259"
"2020-05-04","437","1479","0.2954699121027721"
"2020-05-05","513","1571","0.32654360280076383"
"2020-05-06","538","1621","0.33189389265885255"
"2020-05-07","472","1555","0.3035369774919614"
"2020-05-08","538","1648","0.32645631067961167"
