date,count,total_count,ratio
"2020-01-01","25","727","0.0343878954607978"
"2020-01-02","58","1252","0.0463258785942492"
"2020-01-03","57","1314","0.04337899543378995"
"2020-01-04","50","873","0.0572737686139748"
"2020-01-05","42","1047","0.04011461318051576"
"2020-01-06","54","1109","0.04869251577998197"
"2020-01-07","69","1469","0.04697072838665759"
"2020-01-08","74","1527","0.04846103470857891"
"2020-01-09","59","1524","0.03871391076115486"
"2020-01-10","56","1347","0.041573867854491464"
"2020-01-11","64","1006","0.0636182902584493"
"2020-01-12","60","975","0.06153846153846154"
"2020-01-13","78","1559","0.05003207184092367"
"2020-01-14","71","1596","0.044486215538847115"
"2020-01-15","101","1667","0.060587882423515295"
"2020-01-16","93","1725","0.05391304347826087"
"2020-01-17","80","1426","0.056100981767180924"
"2020-01-18","102","1006","0.10139165009940358"
"2020-01-19","288","1027","0.2804284323271665"
"2020-01-20","138","1503","0.09181636726546906"
"2020-01-21","91","1608","0.056592039800995024"
"2020-01-22","87","1639","0.05308114704087859"
"2020-01-23","97","1588","0.06108312342569269"
"2020-01-24","81","1494","0.05421686746987952"
"2020-01-25","74","1146","0.06457242582897033"
"2020-01-26","80","1181","0.06773920406435224"
"2020-01-27","73","1477","0.04942450914014895"
"2020-01-28","81","1584","0.05113636363636364"
"2020-01-29","73","1520","0.04802631578947368"
"2020-01-30","63","1036","0.060810810810810814"
"2020-01-31","50","1020","0.049019607843137254"
"2020-02-01","46","818","0.05623471882640587"
"2020-02-02","53","766","0.06919060052219321"
"2020-02-03","64","1048","0.061068702290076333"
"2020-02-04","56","1234","0.04538087520259319"
"2020-02-05","64","1241","0.0515713134568896"
"2020-02-06","71","1322","0.05370650529500756"
"2020-02-07","85","1251","0.06794564348521183"
"2020-02-08","66","1151","0.05734144222415291"
"2020-02-09","66","1107","0.05962059620596206"
"2020-02-10","89","1624","0.05480295566502463"
"2020-02-11","117","1667","0.07018596280743851"
"2020-02-12","144","1804","0.07982261640798226"
"2020-02-13","140","1605","0.08722741433021806"
"2020-02-14","138","1536","0.08984375"
"2020-02-15","133","1149","0.11575282854656223"
"2020-02-16","115","1153","0.0997398091934085"
"2020-02-17","126","1564","0.08056265984654731"
"2020-02-18","217","1882","0.1153028692879915"
