date,count,total_count,ratio
"2020-01-01","1","43","0.023255813953488372"
"2020-01-02","4","114","0.03508771929824561"
"2020-01-03","5","177","0.02824858757062147"
"2020-01-04","6","115","0.05217391304347826"
"2020-01-05","4","80","0.05"
"2020-01-06","11","174","0.06321839080459771"
"2020-01-07","4","191","0.020942408376963352"
"2020-01-08","7","193","0.03626943005181347"
"2020-01-09","4","160","0.025"
"2020-01-10","13","163","0.07975460122699386"
"2020-01-11","10","98","0.10204081632653061"
"2020-01-12","8","77","0.1038961038961039"
"2020-01-13","12","138","0.08695652173913043"
"2020-01-14","14","174","0.08045977011494253"
"2020-01-15","11","206","0.05339805825242718"
"2020-01-16","12","183","0.06557377049180328"
"2020-01-17","13","174","0.07471264367816093"
"2020-01-18","18","125","0.144"
"2020-01-19","33","103","0.32038834951456313"
"2020-01-20","13","153","0.08496732026143791"
"2020-01-21","8","192","0.041666666666666664"
"2020-01-22","6","188","0.031914893617021274"
"2020-01-23","10","167","0.059880239520958084"
"2020-01-24","5","180","0.027777777777777776"
"2020-01-25","6","99","0.06060606060606061"
"2020-01-26","6","70","0.08571428571428572"
"2020-01-27","11","173","0.06358381502890173"
"2020-01-28","9","207","0.043478260869565216"
"2020-01-29","3","190","0.015789473684210527"
"2020-01-30","6","198","0.030303030303030304"
"2020-01-31","6","188","0.031914893617021274"
"2020-02-01","6","116","0.05172413793103448"
"2020-02-02","5","94","0.05319148936170213"
"2020-02-03","3","176","0.017045454545454544"
"2020-02-04","2","174","0.011494252873563218"
"2020-02-05","4","188","0.02127659574468085"
"2020-02-06","10","176","0.056818181818181816"
"2020-02-07","6","173","0.03468208092485549"
"2020-02-08","6","112","0.05357142857142857"
"2020-02-09","1","50","0.02"
"2020-02-10","8","178","0.0449438202247191"
"2020-02-11","16","199","0.08040201005025126"
"2020-02-12","16","186","0.08602150537634409"
"2020-02-13","16","206","0.07766990291262135"
"2020-02-14","14","172","0.08139534883720931"
"2020-02-15","15","125","0.12"
"2020-02-16","6","71","0.08450704225352113"
"2020-02-17","15","165","0.09090909090909091"
"2020-02-18","25","211","0.11848341232227488"
"2020-02-19","60","230","0.2608695652173913"
"2020-02-20","25","229","0.1091703056768559"
"2020-02-21","15","216","0.06944444444444445"
"2020-02-22","9","133","0.06766917293233082"
"2020-02-23","8","79","0.10126582278481013"
"2020-02-24","18","206","0.08737864077669903"
"2020-02-25","15","229","0.06550218340611354"
"2020-02-26","12","207","0.057971014492753624"
"2020-02-27","16","195","0.08205128205128205"
"2020-02-28","27","237","0.11392405063291139"
"2020-02-29","18","141","0.1276595744680851"
"2020-03-01","15","98","0.15306122448979592"
"2020-03-02","28","165","0.1696969696969697"
"2020-03-03","36","222","0.16216216216216217"
"2020-03-04","31","239","0.1297071129707113"
"2020-03-05","34","196","0.17346938775510204"
"2020-03-06","54","211","0.2559241706161137"
"2020-03-07","47","145","0.32413793103448274"
"2020-03-08","44","94","0.46808510638297873"
"2020-03-09","69","261","0.26436781609195403"
"2020-03-10","89","250","0.356"
"2020-03-11","104","255","0.40784313725490196"
"2020-03-12","113","281","0.40213523131672596"
"2020-03-13","105","230","0.45652173913043476"
"2020-03-14","84","172","0.4883720930232558"
"2020-03-15","59","111","0.5315315315315315"
"2020-03-16","127","229","0.5545851528384279"
"2020-03-17","151","264","0.571969696969697"
"2020-03-18","167","270","0.6185185185185185"
"2020-03-19","185","279","0.6630824372759857"
"2020-03-20","209","325","0.6430769230769231"
"2020-03-21","153","238","0.6428571428571429"
"2020-03-22","99","153","0.6470588235294118"
"2020-03-23","171","298","0.5738255033557047"
"2020-03-24","209","334","0.625748502994012"
"2020-03-25","186","313","0.5942492012779552"
"2020-03-26","187","328","0.5701219512195121"
"2020-03-27","192","317","0.6056782334384858"
"2020-03-28","111","192","0.578125"
"2020-03-29","88","145","0.6068965517241379"
"2020-03-30","153","274","0.5583941605839416"
"2020-03-31","168","284","0.5915492957746479"
"2020-04-01","171","273","0.6263736263736264"
"2020-04-02","183","326","0.5613496932515337"
"2020-04-03","175","291","0.6013745704467354"
"2020-04-04","136","226","0.6017699115044248"
"2020-04-05","100","148","0.6756756756756757"
"2020-04-06","159","234","0.6794871794871795"
"2020-04-07","198","343","0.577259475218659"
"2020-04-08","200","323","0.6191950464396285"
"2020-04-09","100","169","0.591715976331361"
"2020-04-10","98","156","0.6282051282051282"
"2020-04-11","109","184","0.592391304347826"
"2020-04-12","117","189","0.6190476190476191"
"2020-04-13","178","325","0.5476923076923077"
"2020-04-14","113","213","0.5305164319248826"
"2020-04-15","188","291","0.6460481099656358"
"2020-04-16","199","322","0.6180124223602484"
"2020-04-17","172","277","0.6209386281588448"
"2020-04-18","112","186","0.6021505376344086"
"2020-04-19","112","157","0.7133757961783439"
"2020-04-20","140","254","0.5511811023622047"
"2020-04-21","170","303","0.5610561056105611"
"2020-04-22","154","285","0.5403508771929825"
"2020-04-23","182","317","0.5741324921135647"
"2020-04-24","161","307","0.5244299674267101"
"2020-04-25","114","196","0.5816326530612245"
"2020-04-26","84","146","0.5753424657534246"
"2020-04-27","144","271","0.5313653136531366"
"2020-04-28","146","300","0.4866666666666667"
"2020-04-29","165","298","0.5536912751677853"
"2020-04-30","167","326","0.5122699386503068"
"2020-05-01","144","304","0.47368421052631576"
"2020-05-02","94","196","0.47959183673469385"
"2020-05-03","58","119","0.48739495798319327"
"2020-05-04","149","310","0.4806451612903226"
"2020-05-05","161","323","0.4984520123839009"
"2020-05-06","181","372","0.48655913978494625"
"2020-05-07","168","339","0.49557522123893805"
"2020-05-08","172","322","0.5341614906832298"
"2020-05-09","107","222","0.481981981981982"
"2020-05-10","80","131","0.6106870229007634"
"2020-05-11","160","323","0.4953560371517028"
"2020-05-12","183","362","0.505524861878453"
"2020-05-13","181","349","0.5186246418338109"
"2020-05-14","145","337","0.43026706231454004"
"2020-05-15","173","334","0.5179640718562875"
"2020-05-16","118","220","0.5363636363636364"
"2020-05-17","79","182","0.4340659340659341"
"2020-05-18","120","280","0.42857142857142855"
"2020-05-19","155","305","0.5081967213114754"
"2020-05-20","136","333","0.4084084084084084"
"2020-05-21","151","353","0.42776203966005666"
"2020-05-22","129","320","0.403125"
"2020-05-23","79","203","0.3891625615763547"
"2020-05-24","67","173","0.3872832369942196"
"2020-05-25","148","335","0.4417910447761194"
"2020-05-26","140","362","0.3867403314917127"
"2020-05-27","147","319","0.4608150470219436"
"2020-05-28","143","355","0.4028169014084507"
"2020-05-29","149","325","0.4584615384615385"
"2020-05-30","103","248","0.4153225806451613"
"2020-05-31","68","178","0.38202247191011235"
"2020-06-01","135","298","0.45302013422818793"
"2020-06-02","143","375","0.38133333333333336"
"2020-06-03","150","393","0.3816793893129771"
"2020-06-04","141","355","0.3971830985915493"
"2020-06-05","122","347","0.3515850144092219"
"2020-06-06","63","196","0.32142857142857145"
