date,count,total_count,ratio
"2020-01-01","3","16","0.1875"
"2020-01-02","1","14","0.07142857142857142"
"2020-01-03","0","19","0"
"2020-01-04","2","11","0.18181818181818182"
"2020-01-05","0","13","0"
"2020-01-06","0","18","0"
"2020-01-07","0","18","0"
"2020-01-08","0","25","0"
"2020-01-09","0","22","0"
"2020-01-10","0","14","0"
"2020-01-11","2","14","0.14285714285714285"
"2020-01-12","0","15","0"
"2020-01-13","1","23","0.043478260869565216"
"2020-01-14","1","20","0.05"
"2020-01-15","0","20","0"
"2020-01-16","3","24","0.125"
"2020-01-17","0","21","0"
"2020-01-18","0","6","0"
"2020-01-19","7","19","0.3684210526315789"
"2020-01-20","2","15","0.13333333333333333"
"2020-01-21","0","11","0"
"2020-01-22","0","17","0"
"2020-01-23","0","21","0"
"2020-01-24","0","16","0"
"2020-01-25","2","20","0.1"
"2020-01-26","0","11","0"
"2020-01-27","0","17","0"
"2020-01-28","0","23","0"
"2020-01-29","2","22","0.09090909090909091"
"2020-01-30","1","14","0.07142857142857142"
"2020-01-31","0","12","0"
"2020-02-01","0","7","0"
"2020-02-02","0","7","0"
"2020-02-03","1","16","0.0625"
"2020-02-04","0","11","0"
"2020-02-05","0","14","0"
"2020-02-06","0","16","0"
"2020-02-07","1","26","0.038461538461538464"
"2020-02-08","1","11","0.09090909090909091"
"2020-02-09","1","9","0.1111111111111111"
"2020-02-10","0","18","0"
"2020-02-11","0","16","0"
"2020-02-12","0","27","0"
"2020-02-13","2","23","0.08695652173913043"
"2020-02-14","3","25","0.12"
"2020-02-15","0","5","0"
"2020-02-16","0","13","0"
"2020-02-17","2","25","0.08"
"2020-02-18","2","18","0.1111111111111111"
"2020-02-19","2","21","0.09523809523809523"
"2020-02-20","4","23","0.17391304347826086"
"2020-02-21","4","19","0.21052631578947367"
"2020-02-22","2","14","0.14285714285714285"
"2020-02-23","2","10","0.2"
"2020-02-24","1","16","0.0625"
"2020-02-25","1","15","0.06666666666666667"
"2020-02-26","3","18","0.16666666666666666"
"2020-02-27","1","19","0.05263157894736842"
"2020-02-28","0","21","0"
"2020-02-29","0","11","0"
"2020-03-01","1","9","0.1111111111111111"
"2020-03-02","3","11","0.2727272727272727"
"2020-03-03","2","15","0.13333333333333333"
"2020-03-04","2","13","0.15384615384615385"
"2020-03-05","2","15","0.13333333333333333"
"2020-03-06","2","16","0.125"
"2020-03-07","3","8","0.375"
"2020-03-08","1","8","0.125"
"2020-03-09","4","21","0.19047619047619047"
"2020-03-10","6","24","0.25"
"2020-03-11","4","14","0.2857142857142857"
"2020-03-12","8","17","0.47058823529411764"
"2020-03-13","8","20","0.4"
"2020-03-14","7","16","0.4375"
"2020-03-15","4","11","0.36363636363636365"
"2020-03-16","10","23","0.43478260869565216"
"2020-03-17","13","27","0.48148148148148145"
"2020-03-18","14","25","0.56"
"2020-03-19","8","17","0.47058823529411764"
"2020-03-20","17","28","0.6071428571428571"
"2020-03-21","4","10","0.4"
"2020-03-22","9","13","0.6923076923076923"
"2020-03-23","10","18","0.5555555555555556"
"2020-03-24","17","34","0.5"
"2020-03-25","14","31","0.45161290322580644"
"2020-03-26","6","19","0.3157894736842105"
"2020-03-27","12","22","0.5454545454545454"
"2020-03-28","6","16","0.375"
"2020-03-29","3","6","0.5"
"2020-03-30","19","27","0.7037037037037037"
"2020-03-31","9","20","0.45"
"2020-04-01","13","24","0.5416666666666666"
"2020-04-02","10","27","0.37037037037037035"
"2020-04-03","9","17","0.5294117647058824"
"2020-04-04","7","12","0.5833333333333334"
"2020-04-05","4","7","0.5714285714285714"
"2020-04-06","12","22","0.5454545454545454"
"2020-04-07","13","31","0.41935483870967744"
"2020-04-08","9","18","0.5"
"2020-04-09","12","26","0.46153846153846156"
"2020-04-10","8","18","0.4444444444444444"
"2020-04-11","6","17","0.35294117647058826"
"2020-04-12","5","15","0.3333333333333333"
"2020-04-13","9","18","0.5"
"2020-04-14","17","29","0.5862068965517241"
"2020-04-15","18","27","0.6666666666666666"
"2020-04-16","18","31","0.5806451612903226"
"2020-04-17","22","35","0.6285714285714286"
"2020-04-18","6","12","0.5"
"2020-04-19","4","8","0.5"
"2020-04-20","17","27","0.6296296296296297"
"2020-04-21","18","32","0.5625"
"2020-04-22","15","29","0.5172413793103449"
"2020-04-23","12","19","0.631578947368421"
"2020-04-24","16","24","0.6666666666666666"
"2020-04-25","2","9","0.2222222222222222"
"2020-04-26","5","9","0.5555555555555556"
"2020-04-27","11","18","0.6111111111111112"
"2020-04-28","16","22","0.7272727272727273"
"2020-04-29","12","31","0.3870967741935484"
"2020-04-30","9","24","0.375"
"2020-05-01","6","11","0.5454545454545454"
"2020-05-02","3","5","0.6"
"2020-05-03","2","7","0.2857142857142857"
"2020-05-04","2","9","0.2222222222222222"
"2020-05-05","5","20","0.25"
"2020-05-06","10","19","0.5263157894736842"
"2020-05-07","6","16","0.375"
"2020-05-08","6","8","0.75"
"2020-05-09","3","4","0.75"
"2020-05-10","1","5","0.2"
"2020-05-11","6","14","0.42857142857142855"
"2020-05-12","10","15","0.6666666666666666"
"2020-05-13","3","10","0.3"
"2020-05-14","7","17","0.4117647058823529"
"2020-05-15","5","12","0.4166666666666667"
"2020-05-16","2","6","0.3333333333333333"
"2020-05-17","1","6","0.16666666666666666"
"2020-05-18","5","12","0.4166666666666667"
"2020-05-19","11","16","0.6875"
"2020-05-20","4","15","0.26666666666666666"
"2020-05-21","6","13","0.46153846153846156"
"2020-05-22","6","15","0.4"
"2020-05-23","0","4","0"
"2020-05-24","3","4","0.75"
"2020-05-25","5","10","0.5"
"2020-05-26","3","13","0.23076923076923078"
"2020-05-27","6","16","0.375"
"2020-05-28","5","13","0.38461538461538464"
"2020-05-29","2","12","0.16666666666666666"
"2020-05-30","2","5","0.4"
"2020-05-31","1","6","0.16666666666666666"
"2020-06-01","2","6","0.3333333333333333"
"2020-06-02","8","23","0.34782608695652173"
"2020-06-03","3","8","0.375"
"2020-06-04","4","19","0.21052631578947367"
"2020-06-05","9","14","0.6428571428571429"
"2020-06-06","3","8","0.375"
"2020-06-07","0","4","0"
"2020-06-08","11","21","0.5238095238095238"
"2020-06-09","11","20","0.55"
"2020-06-10","7","15","0.4666666666666667"
"2020-06-11","7","20","0.35"
"2020-06-12","7","17","0.4117647058823529"
"2020-06-13","1","4","0.25"
"2020-06-14","3","9","0.3333333333333333"
"2020-06-15","1","9","0.1111111111111111"
"2020-06-16","5","17","0.29411764705882354"
"2020-06-17","6","14","0.42857142857142855"
"2020-06-18","13","28","0.4642857142857143"
"2020-06-19","6","15","0.4"
"2020-06-20","0","3","0"
"2020-06-21","1","5","0.2"
"2020-06-22","9","19","0.47368421052631576"
"2020-06-23","7","17","0.4117647058823529"
"2020-06-24","5","19","0.2631578947368421"
"2020-06-25","6","21","0.2857142857142857"
"2020-06-26","3","18","0.16666666666666666"
"2020-06-27","1","8","0.125"
"2020-06-28","0","6","0"
"2020-06-29","7","19","0.3684210526315789"
"2020-06-30","3","14","0.21428571428571427"
"2020-07-01","7","20","0.35"
"2020-07-02","9","22","0.4090909090909091"
"2020-07-03","2","14","0.14285714285714285"
"2020-07-04","0","7","0"
"2020-07-05","1","5","0.2"
"2020-07-06","9","24","0.375"
"2020-07-07","5","17","0.29411764705882354"
"2020-07-08","5","19","0.2631578947368421"
"2020-07-09","8","21","0.38095238095238093"
"2020-07-10","5","17","0.29411764705882354"
"2020-07-11","2","15","0.13333333333333333"
"2020-07-12","1","9","0.1111111111111111"
"2020-07-13","6","16","0.375"
"2020-07-14","6","14","0.42857142857142855"
"2020-07-15","5","13","0.38461538461538464"
"2020-07-16","5","15","0.3333333333333333"
"2020-07-17","3","19","0.15789473684210525"
"2020-07-18","1","4","0.25"
"2020-07-19","1","7","0.14285714285714285"
"2020-07-20","5","18","0.2777777777777778"
"2020-07-21","7","20","0.35"
"2020-07-22","3","15","0.2"
"2020-07-23","3","18","0.16666666666666666"
"2020-07-24","0","3","0"
"2020-07-25","1","1","1.0"
"2020-07-26","0","0","0"
"2020-07-27","2","11","0.18181818181818182"
"2020-07-28","6","19","0.3157894736842105"
"2020-07-29","4","12","0.3333333333333333"
"2020-07-30","6","20","0.3"
"2020-07-31","2","12","0.16666666666666666"
"2020-08-01","0","8","0"
"2020-08-02","2","11","0.18181818181818182"
"2020-08-03","4","16","0.25"
"2020-08-04","0","2","0"
"2020-08-05","4","8","0.5"
"2020-08-06","2","5","0.4"
"2020-08-07","8","24","0.3333333333333333"
"2020-08-08","3","14","0.21428571428571427"
"2020-08-09","4","20","0.2"
"2020-08-10","9","29","0.3103448275862069"
"2020-08-11","23","37","0.6216216216216216"
"2020-08-12","12","29","0.41379310344827586"
"2020-08-13","11","38","0.2894736842105263"
"2020-08-14","10","28","0.35714285714285715"
"2020-08-15","4","16","0.25"
"2020-08-16","3","15","0.2"
"2020-08-17","5","15","0.3333333333333333"
"2020-08-18","5","21","0.23809523809523808"
"2020-08-19","7","25","0.28"
"2020-08-20","9","34","0.2647058823529412"
"2020-08-21","12","34","0.35294117647058826"
"2020-08-22","5","16","0.3125"
"2020-08-23","5","16","0.3125"
"2020-08-24","9","16","0.5625"
"2020-08-25","6","22","0.2727272727272727"
"2020-08-26","8","27","0.2962962962962963"
"2020-08-27","6","26","0.23076923076923078"
"2020-08-28","14","26","0.5384615384615384"
"2020-08-29","4","15","0.26666666666666666"
"2020-08-30","4","16","0.25"
"2020-08-31","17","29","0.5862068965517241"
"2020-09-01","11","25","0.44"
"2020-09-02","7","29","0.2413793103448276"
"2020-09-03","15","34","0.4411764705882353"
"2020-09-04","12","38","0.3157894736842105"
"2020-09-05","4","14","0.2857142857142857"
"2020-09-06","5","22","0.22727272727272727"
