date,count,total_count,ratio
"2020-01-01","19","363","0.05234159779614325"
"2020-01-02","23","676","0.034023668639053255"
"2020-01-03","44","610","0.07213114754098361"
"2020-01-04","25","402","0.06218905472636816"
"2020-01-05","28","446","0.06278026905829596"
"2020-01-06","36","662","0.054380664652567974"
"2020-01-07","31","766","0.04046997389033943"
"2020-01-08","44","814","0.05405405405405406"
"2020-01-09","44","878","0.05011389521640091"
"2020-01-10","41","747","0.05488621151271754"
"2020-01-11","36","502","0.07171314741035857"
"2020-01-12","30","357","0.08403361344537816"
"2020-01-13","55","797","0.06900878293601004"
"2020-01-14","61","856","0.07126168224299065"
"2020-01-15","57","893","0.06382978723404255"
"2020-01-16","37","774","0.04780361757105943"
"2020-01-17","40","669","0.059790732436472344"
"2020-01-18","28","332","0.08433734939759036"
"2020-01-19","30","326","0.09202453987730061"
"2020-01-20","48","606","0.07920792079207921"
"2020-01-21","22","562","0.03914590747330961"
"2020-01-22","18","796","0.022613065326633167"
"2020-01-23","46","815","0.05644171779141104"
"2020-01-24","41","814","0.05036855036855037"
"2020-01-25","22","424","0.05188679245283019"
"2020-01-26","33","587","0.056218057921635436"
"2020-01-27","34","783","0.04342273307790549"
"2020-01-28","39","898","0.043429844097995544"
"2020-01-29","26","810","0.03209876543209877"
"2020-01-30","36","806","0.04466501240694789"
"2020-01-31","31","507","0.0611439842209073"
"2020-02-01","19","417","0.045563549160671464"
"2020-02-02","36","395","0.09113924050632911"
"2020-02-03","41","584","0.0702054794520548"
"2020-02-04","33","648","0.05092592592592592"
"2020-02-05","53","610","0.08688524590163935"
"2020-02-06","42","649","0.06471494607087827"
"2020-02-07","41","727","0.05639614855570839"
"2020-02-08","22","371","0.05929919137466307"
"2020-02-09","48","546","0.08791208791208792"
"2020-02-10","34","728","0.046703296703296704"
"2020-02-11","74","851","0.08695652173913043"
"2020-02-12","81","838","0.09665871121718377"
"2020-02-13","121","926","0.1306695464362851"
"2020-02-14","75","728","0.10302197802197802"
"2020-02-15","56","406","0.13793103448275862"
"2020-02-16","75","822","0.09124087591240876"
"2020-02-17","65","702","0.09259259259259259"
"2020-02-18","97","868","0.11175115207373272"
"2020-02-19","244","896","0.27232142857142855"
"2020-02-20","100","918","0.10893246187363835"
"2020-02-21","104","948","0.10970464135021098"
"2020-02-22","62","466","0.13304721030042918"
