date,count,total_count,ratio
"2020-01-01","2","156","0.01282051282051282"
"2020-01-02","11","372","0.02956989247311828"
"2020-01-03","16","418","0.03827751196172249"
"2020-01-04","9","258","0.03488372093023256"
"2020-01-05","4","227","0.01762114537444934"
"2020-01-06","13","372","0.03494623655913978"
"2020-01-07","13","424","0.030660377358490566"
"2020-01-08","7","385","0.01818181818181818"
"2020-01-09","11","401","0.02743142144638404"
"2020-01-10","13","373","0.03485254691689008"
"2020-01-11","11","181","0.06077348066298342"
"2020-01-12","12","187","0.06417112299465241"
"2020-01-13","15","371","0.04043126684636118"
"2020-01-14","11","377","0.029177718832891247"
"2020-01-15","18","415","0.043373493975903614"
"2020-01-16","24","420","0.05714285714285714"
"2020-01-17","14","363","0.03856749311294766"
"2020-01-18","8","202","0.039603960396039604"
"2020-01-19","34","188","0.18085106382978725"
"2020-01-20","26","382","0.06806282722513089"
"2020-01-21","26","442","0.058823529411764705"
"2020-01-22","29","413","0.07021791767554479"
"2020-01-23","22","442","0.049773755656108594"
"2020-01-24","10","397","0.02518891687657431"
"2020-01-25","7","195","0.035897435897435895"
"2020-01-26","9","220","0.04090909090909091"
"2020-01-27","9","350","0.025714285714285714"
"2020-01-28","14","401","0.034912718204488775"
"2020-01-29","14","381","0.03674540682414698"
"2020-01-30","14","403","0.034739454094292806"
"2020-01-31","11","320","0.034375"
"2020-02-01","2","212","0.009433962264150943"
"2020-02-02","9","191","0.04712041884816754"
"2020-02-03","14","305","0.04590163934426229"
"2020-02-04","19","364","0.0521978021978022"
"2020-02-05","17","399","0.042606516290726815"
"2020-02-06","22","418","0.05263157894736842"
"2020-02-07","20","409","0.0488997555012225"
"2020-02-08","13","214","0.06074766355140187"
"2020-02-09","14","232","0.0603448275862069"
"2020-02-10","19","382","0.049738219895287955"
"2020-02-11","28","455","0.06153846153846154"
"2020-02-12","39","410","0.0951219512195122"
"2020-02-13","28","396","0.0707070707070707"
"2020-02-14","34","408","0.08333333333333333"
"2020-02-15","13","223","0.05829596412556054"
"2020-02-16","20","212","0.09433962264150944"
"2020-02-17","28","359","0.07799442896935933"
"2020-02-18","37","423","0.08747044917257683"
"2020-02-19","117","487","0.2402464065708419"
"2020-02-20","65","466","0.13948497854077252"
"2020-02-21","38","399","0.09523809523809523"
"2020-02-22","17","227","0.07488986784140969"
"2020-02-23","11","254","0.04330708661417323"
"2020-02-24","10","280","0.03571428571428571"
"2020-02-25","25","319","0.07836990595611286"
"2020-02-26","64","487","0.13141683778234087"
"2020-02-27","40","465","0.08602150537634409"
"2020-02-28","56","436","0.12844036697247707"
"2020-02-29","42","268","0.15671641791044777"
"2020-03-01","42","270","0.15555555555555556"
"2020-03-02","86","457","0.18818380743982493"
"2020-03-03","90","495","0.18181818181818182"
"2020-03-04","78","507","0.15384615384615385"
"2020-03-05","73","465","0.15698924731182795"
"2020-03-06","67","429","0.1561771561771562"
"2020-03-07","41","273","0.15018315018315018"
"2020-03-08","40","245","0.16326530612244897"
"2020-03-09","81","429","0.1888111888111888"
"2020-03-10","87","525","0.1657142857142857"
"2020-03-11","102","548","0.18613138686131386"
"2020-03-12","166","550","0.3018181818181818"
"2020-03-13","147","489","0.3006134969325153"
"2020-03-14","103","361","0.2853185595567867"
"2020-03-15","112","343","0.32653061224489793"
"2020-03-16","190","504","0.376984126984127"
"2020-03-17","181","535","0.3383177570093458"
"2020-03-18","188","579","0.32469775474956825"
"2020-03-19","244","571","0.4273204903677758"
"2020-03-20","219","529","0.41398865784499056"
"2020-03-21","140","361","0.3878116343490305"
"2020-03-22","141","361","0.39058171745152354"
"2020-03-23","215","536","0.40111940298507465"
"2020-03-24","226","579","0.3903281519861831"
"2020-03-25","213","559","0.3810375670840787"
"2020-03-26","214","538","0.39776951672862454"
"2020-03-27","197","497","0.3963782696177062"
"2020-03-28","153","362","0.42265193370165743"
"2020-03-29","135","293","0.46075085324232085"
"2020-03-30","222","502","0.44223107569721115"
"2020-03-31","207","505","0.4099009900990099"
"2020-04-01","257","601","0.4276206322795341"
"2020-04-02","220","542","0.4059040590405904"
"2020-04-03","215","533","0.40337711069418386"
"2020-04-04","115","329","0.3495440729483283"
"2020-04-05","127","325","0.39076923076923076"
"2020-04-06","201","493","0.4077079107505071"
"2020-04-07","199","536","0.3712686567164179"
"2020-04-08","193","559","0.34525939177101966"
"2020-04-09","214","536","0.39925373134328357"
"2020-04-10","149","386","0.3860103626943005"
"2020-04-11","138","338","0.40828402366863903"
"2020-04-12","145","382","0.3795811518324607"
"2020-04-13","259","605","0.428099173553719"
"2020-04-14","199","471","0.42250530785562634"
"2020-04-15","237","642","0.3691588785046729"
"2020-04-16","218","589","0.3701188455008489"
"2020-04-17","253","577","0.43847487001733104"
"2020-04-18","139","351","0.396011396011396"
"2020-04-19","149","341","0.436950146627566"
"2020-04-20","246","577","0.42634315424610053"
"2020-04-21","253","619","0.4087237479806139"
"2020-04-22","245","661","0.37065052950075644"
"2020-04-23","250","644","0.38819875776397517"
"2020-04-24","235","620","0.3790322580645161"
"2020-04-25","128","360","0.35555555555555557"
"2020-04-26","137","351","0.3903133903133903"
"2020-04-27","235","602","0.3903654485049834"
"2020-04-28","222","599","0.37061769616026713"
"2020-04-29","213","572","0.3723776223776224"
"2020-04-30","201","578","0.3477508650519031"
"2020-05-01","149","447","0.3333333333333333"
"2020-05-02","126","340","0.37058823529411766"
"2020-05-03","113","345","0.32753623188405795"
"2020-05-04","175","547","0.31992687385740404"
"2020-05-05","187","589","0.3174872665534805"
"2020-05-06","205","620","0.33064516129032256"
"2020-05-07","211","635","0.33228346456692914"
"2020-05-08","214","617","0.34683954619124796"
"2020-05-09","102","333","0.3063063063063063"
"2020-05-10","99","330","0.3"
"2020-05-11","198","549","0.36065573770491804"
"2020-05-12","188","557","0.3375224416517056"
"2020-05-13","218","609","0.3579638752052545"
"2020-05-14","176","587","0.29982964224872233"
"2020-05-15","184","584","0.3150684931506849"
"2020-05-16","102","344","0.29651162790697677"
"2020-05-17","110","333","0.3303303303303303"
"2020-05-18","199","543","0.3664825046040516"
"2020-05-19","218","595","0.3663865546218487"
"2020-05-20","184","587","0.313458262350937"
"2020-05-21","200","619","0.32310177705977383"
"2020-05-22","179","559","0.32021466905187834"
"2020-05-23","104","361","0.2880886426592798"
"2020-05-24","105","323","0.32507739938080493"
"2020-05-25","148","470","0.3148936170212766"
"2020-05-26","191","571","0.3345008756567426"
"2020-05-27","218","602","0.36212624584717606"
"2020-05-28","194","620","0.31290322580645163"
"2020-05-29","154","547","0.28153564899451555"
"2020-05-30","81","348","0.23275862068965517"
"2020-05-31","112","315","0.35555555555555557"
"2020-06-01","166","537","0.3091247672253259"
"2020-06-02","160","609","0.2627257799671593"
"2020-06-03","168","665","0.25263157894736843"
"2020-06-04","174","665","0.26165413533834586"
"2020-06-05","166","564","0.29432624113475175"
"2020-06-06","93","332","0.28012048192771083"
"2020-06-07","82","313","0.26198083067092653"
"2020-06-08","177","597","0.2964824120603015"
"2020-06-09","144","573","0.2513089005235602"
"2020-06-10","147","607","0.24217462932454695"
"2020-06-11","172","599","0.2871452420701169"
"2020-06-12","138","535","0.25794392523364484"
"2020-06-13","65","283","0.22968197879858657"
"2020-06-14","70","282","0.24822695035460993"
"2020-06-15","168","552","0.30434782608695654"
"2020-06-16","165","579","0.2849740932642487"
